code,date,name,weight
600000,2018-03-30,浦发银行,1.21
600008,2018-03-30,首创股份,0.11
600009,2018-03-30,上海机场,0.42
600010,2018-03-30,包钢股份,0.26
600011,2018-03-30,华能国际,0.25
600015,2018-03-30,华夏银行,0.5
600016,2018-03-30,民生银行,1.67
600018,2018-03-30,上港集团,0.19
600019,2018-03-30,宝钢股份,0.66
600021,2018-03-30,上海电力,0.08
600023,2018-03-30,浙能电力,0.2
600028,2018-03-30,中国石化,0.6
600029,2018-03-30,南方航空,0.32
600030,2018-03-30,中信证券,1.29
600031,2018-03-30,三一重工,0.32
600036,2018-03-30,招商银行,2.65
600038,2018-03-30,中直股份,0.1
600048,2018-03-30,保利地产,0.85
600050,2018-03-30,中国联通,0.46
600061,2018-03-30,国投资本,0.1
600066,2018-03-30,宇通客车,0.26
600068,2018-03-30,葛洲坝,0.21
600074,2018-03-30,ST保千里,0.02
600085,2018-03-30,同仁堂,0.17
600089,2018-03-30,特变电工,0.29
600100,2018-03-30,同方股份,0.16
600104,2018-03-30,上汽集团,1.05
600109,2018-03-30,国金证券,0.16
600111,2018-03-30,北方稀土,0.25
600115,2018-03-30,东方航空,0.25
600118,2018-03-30,中国卫星,0.12
600153,2018-03-30,建发股份,0.14
600157,2018-03-30,永泰能源,0.18
600170,2018-03-30,上海建工,0.15
600177,2018-03-30,雅戈尔,0.19
600188,2018-03-30,兖州煤业,0.05
600196,2018-03-30,复星医药,0.39
600208,2018-03-30,新湖中宝,0.18
600219,2018-03-30,南山铝业,0.16
600221,2018-03-30,海航控股,0.33
600233,2018-03-30,圆通速递,0.05
600271,2018-03-30,航天信息,0.25
600276,2018-03-30,恒瑞医药,1.3
600297,2018-03-30,广汇汽车,0.16
600309,2018-03-30,万华化学,0.44
600332,2018-03-30,白云山,0.15
600340,2018-03-30,华夏幸福,0.34
600352,2018-03-30,浙江龙盛,0.22
600362,2018-03-30,江西铜业,0.16
600369,2018-03-30,西南证券,0.11
600372,2018-03-30,中航电子,0.07
600373,2018-03-30,中文传媒,0.08
600376,2018-03-30,首开股份,0.1
600383,2018-03-30,金地集团,0.23
600390,2018-03-30,五矿资本,0.03
600406,2018-03-30,国电南瑞,0.25
600415,2018-03-30,小商品城,0.13
600436,2018-03-30,片仔癀,0.22
600482,2018-03-30,中国动力,0.19
600485,2018-03-30,信威集团,0.23
600489,2018-03-30,中金黄金,0.14
600498,2018-03-30,烽火通信,0.14
600518,2018-03-30,康美药业,0.59
600519,2018-03-30,贵州茅台,3.03
600522,2018-03-30,中天科技,0.23
600535,2018-03-30,天士力,0.26
600547,2018-03-30,山东黄金,0.19
600549,2018-03-30,厦门钨业,0.1
600570,2018-03-30,恒生电子,0.26
600583,2018-03-30,海油工程,0.12
600585,2018-03-30,海螺水泥,0.57
600588,2018-03-30,用友网络,0.25
600606,2018-03-30,绿地控股,0.24
600637,2018-03-30,东方明珠,0.19
600649,2018-03-30,城投控股,0.09
600660,2018-03-30,福耀玻璃,0.31
600663,2018-03-30,陆家嘴,0.12
600674,2018-03-30,川投能源,0.18
600682,2018-03-30,南京新百,0.13
600685,2018-03-30,中船防务,0.07
600688,2018-03-30,上海石化,0.08
600690,2018-03-30,青岛海尔,0.47
600703,2018-03-30,三安光电,0.5
600704,2018-03-30,物产中大,0.1
600705,2018-03-30,中航资本,0.21
600739,2018-03-30,辽宁成大,0.2
600741,2018-03-30,华域汽车,0.34
600795,2018-03-30,国电电力,0.31
600804,2018-03-30,鹏博士,0.19
600816,2018-03-30,安信信托,0.19
600820,2018-03-30,隧道股份,0.12
600827,2018-03-30,百联股份,0.08
600837,2018-03-30,海通证券,0.82
600871,2018-03-30,*ST油服,0.03
600886,2018-03-30,国投电力,0.26
600887,2018-03-30,伊利股份,1.53
600893,2018-03-30,航发动力,0.22
600895,2018-03-30,张江高科,0.09
600900,2018-03-30,长江电力,0.93
600909,2018-03-30,华安证券,0.07
600919,2018-03-30,江苏银行,0.45
600926,2018-03-30,杭州银行,0.04
600958,2018-03-30,东方证券,0.33
600959,2018-03-30,江苏有线,0.1
600977,2018-03-30,中国电影,0.11
600999,2018-03-30,招商证券,0.35
601006,2018-03-30,大秦铁路,0.43
601009,2018-03-30,南京银行,0.37
601012,2018-03-30,隆基股份,0.42
601018,2018-03-30,宁波港,0.19
601021,2018-03-30,春秋航空,0.07
601088,2018-03-30,中国神华,0.36
601099,2018-03-30,太平洋,0.17
601111,2018-03-30,中国国航,0.21
601117,2018-03-30,中国化学,0.13
601118,2018-03-30,海南橡胶,0.07
601155,2018-03-30,新城控股,0.28
601163,2018-03-30,三角轮胎,0.04
601166,2018-03-30,兴业银行,1.83
601169,2018-03-30,北京银行,0.9
601186,2018-03-30,中国铁建,0.4
601198,2018-03-30,东兴证券,0.14
601211,2018-03-30,国泰君安,0.57
601212,2018-03-30,白银有色,0.04
601216,2018-03-30,君正集团,0.14
601225,2018-03-30,陕西煤业,0.27
601228,2018-03-30,广州港,0.04
601229,2018-03-30,上海银行,0.11
601288,2018-03-30,农业银行,1.32
601318,2018-03-30,中国平安,6.24
601328,2018-03-30,交通银行,1.5
601333,2018-03-30,广深铁路,0.14
601336,2018-03-30,新华保险,0.34
601375,2018-03-30,中原证券,0.04
601377,2018-03-30,兴业证券,0.27
601390,2018-03-30,中国中铁,0.36
601398,2018-03-30,工商银行,1.16
601555,2018-03-30,东吴证券,0.18
601600,2018-03-30,中国铝业,0.27
601601,2018-03-30,中国太保,0.94
601607,2018-03-30,上海医药,0.25
601608,2018-03-30,中信重工,0.05
601611,2018-03-30,中国核建,0.07
601618,2018-03-30,中国中冶,0.18
601628,2018-03-30,中国人寿,0.37
601633,2018-03-30,长城汽车,0.12
601668,2018-03-30,中国建筑,1.15
601669,2018-03-30,中国电建,0.27
601688,2018-03-30,华泰证券,0.5
601718,2018-03-30,际华集团,0.07
601727,2018-03-30,上海电气,0.19
601766,2018-03-30,中国中车,0.65
601788,2018-03-30,光大证券,0.21
601800,2018-03-30,中国交建,0.17
601818,2018-03-30,光大银行,0.57
601857,2018-03-30,中国石油,0.44
601866,2018-03-30,中远海发,0.09
601872,2018-03-30,招商轮船,0.07
601877,2018-03-30,正泰电器,0.1
601878,2018-03-30,浙商证券,0.04
601881,2018-03-30,中国银河,0.06
601888,2018-03-30,中国国旅,0.46
601898,2018-03-30,中煤能源,0.08
601899,2018-03-30,紫金矿业,0.4
601901,2018-03-30,方正证券,0.23
601919,2018-03-30,中远海控,0.2
601933,2018-03-30,永辉超市,0.33
601939,2018-03-30,建设银行,0.46
601958,2018-03-30,金钼股份,0.06
601966,2018-03-30,玲珑轮胎,0.07
601985,2018-03-30,中国核电,0.28
601988,2018-03-30,中国银行,0.73
601989,2018-03-30,中国重工,0.44
601991,2018-03-30,大唐发电,0.08
601992,2018-03-30,金隅集团,0.15
601997,2018-03-30,贵阳银行,0.18
601998,2018-03-30,中信银行,0.17
603160,2018-03-30,汇顶科技,0.04
603799,2018-03-30,华友钴业,0.31
603833,2018-03-30,欧派家居,0.05
603858,2018-03-30,步长制药,0.03
603993,2018-03-30,洛阳钼业,0.2
