code,name
000403,ST生化
000511,*ST烯碳
000526,*ST紫学
000585,*ST东电
000595,*ST宝实
000629,*ST钒钛
000659,*ST中富
000693,*ST华泽
000737,*ST南风
000755,*ST三维
000780,*ST平能
000803,*ST金宇
000809,*ST新城
000912,*ST天化
000922,*ST佳电
000950,*ST建峰
000953,*ST河化
000972,*ST中基
000982,*ST 中绒
002070,*ST众和
002134,*ST普林
002188,ST巴士
002207,*ST准油
002248,*ST东数
002306,*ST云网
002312,*ST三泰
002427,ST尤夫
002473,*ST圣莱
002490,*ST墨龙
002504,*ST弘高
002604,ST龙力
600074,ST保千里
600091,ST明科
600112,*ST天成
600145,*ST新亿
600149,*ST坊展
600225,*ST松江
600228,*ST昌九
600234,ST山水
600247,ST成城
600265,ST景谷
600275,*ST昌鱼
600289,ST信通
600301,ST南化
600321,*ST正源
600401,*ST海润
600421,ST仰帆
600423,*ST柳化
600425,*ST青松
600432,*ST吉恩
600556,ST慧球
600608,ST沪科
600636,*ST爱富
600654,*ST中安
600680,*ST上普
600696,ST匹凸
600725,ST云维
600732,ST新梅
600733,SST前锋
600747,*ST大控
600767,ST运盛
600806,*ST昆机
600815,*ST厦工
600817,*ST宏盛
600847,*ST万里
600871,*ST油服
600877,ST嘉陵
601106,*ST一重
601519,*ST智慧
601558,ST锐电
