code,date,name,weight
600004,2018-03-30,白云机场,0.4
600006,2018-03-30,东风汽车,0.1
600017,2018-03-30,日照港,0.17
600022,2018-03-30,山东钢铁,0.33
600026,2018-03-30,中远海能,0.18
600037,2018-03-30,歌华有线,0.22
600039,2018-03-30,四川路桥,0.17
600053,2018-03-30,九鼎投资,0.08
600056,2018-03-30,中国医药,0.31
600058,2018-03-30,五矿发展,0.11
600059,2018-03-30,古越龙山,0.1
600060,2018-03-30,海信电器,0.3
600062,2018-03-30,华润双鹤,0.25
600064,2018-03-30,南京高科,0.19
600073,2018-03-30,上海梅林,0.12
600079,2018-03-30,人福医药,0.36
600086,2018-03-30,东方金钰,0.17
600094,2018-03-30,大名城,0.28
600098,2018-03-30,广州发展,0.12
600108,2018-03-30,亚盛集团,0.14
600120,2018-03-30,浙江东方,0.18
600122,2018-03-30,宏图高科,0.2
600125,2018-03-30,铁龙物流,0.2
600126,2018-03-30,杭钢股份,0.06
600138,2018-03-30,中青旅,0.33
600141,2018-03-30,兴发集团,0.13
600143,2018-03-30,金发科技,0.24
600151,2018-03-30,航天机电,0.15
600155,2018-03-30,宝硕股份,0.12
600158,2018-03-30,中体产业,0.19
600160,2018-03-30,巨化股份,0.31
600161,2018-03-30,天坛生物,0.24
600166,2018-03-30,福田汽车,0.29
600169,2018-03-30,太原重工,0.13
600171,2018-03-30,上海贝岭,0.19
600176,2018-03-30,中国巨石,0.67
600179,2018-03-30,安通控股,0.17
600183,2018-03-30,生益科技,0.32
600184,2018-03-30,光电股份,0.09
600187,2018-03-30,国中水务,0.15
600195,2018-03-30,中牧股份,0.11
600201,2018-03-30,生物股份,0.6
600216,2018-03-30,浙江医药,0.22
600240,2018-03-30,华业资本,0.24
600256,2018-03-30,广汇能源,0.38
600259,2018-03-30,广晟有色,0.12
600260,2018-03-30,凯乐科技,0.34
600266,2018-03-30,北京城建,0.27
600267,2018-03-30,海正药业,0.22
600270,2018-03-30,外运发展,0.16
600277,2018-03-30,亿利洁能,0.11
600280,2018-03-30,中央商场,0.11
600282,2018-03-30,南钢股份,0.24
600284,2018-03-30,浦东建设,0.13
600289,2018-03-30,ST信通,0.04
600291,2018-03-30,西水股份,0.31
600292,2018-03-30,远达环保,0.07
600298,2018-03-30,安琪酵母,0.38
600300,2018-03-30,维维股份,0.12
600307,2018-03-30,酒钢宏兴,0.18
600312,2018-03-30,平高电气,0.15
600315,2018-03-30,上海家化,0.46
600316,2018-03-30,洪都航空,0.14
600317,2018-03-30,营口港,0.14
600325,2018-03-30,华发股份,0.32
600329,2018-03-30,中新药业,0.1
600335,2018-03-30,国机汽车,0.11
600338,2018-03-30,西藏珠峰,0.1
600346,2018-03-30,恒力股份,0.33
600348,2018-03-30,阳泉煤业,0.21
600366,2018-03-30,宁波韵升,0.16
600380,2018-03-30,健康元,0.24
600388,2018-03-30,龙净环保,0.31
600392,2018-03-30,盛和资源,0.34
600393,2018-03-30,粤泰股份,0.15
600395,2018-03-30,盘江股份,0.1
600409,2018-03-30,三友化工,0.22
600410,2018-03-30,华胜天成,0.26
600416,2018-03-30,湘电股份,0.18
600418,2018-03-30,江淮汽车,0.25
600422,2018-03-30,昆药集团,0.14
600426,2018-03-30,华鲁恒升,0.44
600428,2018-03-30,中远海特,0.1
600435,2018-03-30,北方导航,0.24
600438,2018-03-30,通威股份,0.4
600458,2018-03-30,时代新材,0.1
600460,2018-03-30,士兰微,0.31
600466,2018-03-30,蓝光发展,0.21
600478,2018-03-30,科力远,0.15
600481,2018-03-30,双良节能,0.08
600499,2018-03-30,科达洁能,0.29
600500,2018-03-30,中化国际,0.19
600503,2018-03-30,华丽家族,0.22
600511,2018-03-30,国药股份,0.23
600516,2018-03-30,方大炭素,0.7
600517,2018-03-30,置信电气,0.1
600521,2018-03-30,华海药业,0.5
600525,2018-03-30,长园集团,0.57
600536,2018-03-30,中国软件,0.12
600545,2018-03-30,卓郎智能,0.13
600557,2018-03-30,康缘药业,0.15
600563,2018-03-30,法拉电子,0.15
600565,2018-03-30,迪马股份,0.14
600566,2018-03-30,济川药业,0.27
600572,2018-03-30,康恩贝,0.23
600575,2018-03-30,皖江物流,0.18
600578,2018-03-30,京能电力,0.12
600580,2018-03-30,卧龙电气,0.14
600582,2018-03-30,天地科技,0.13
600584,2018-03-30,长电科技,0.51
600587,2018-03-30,新华医疗,0.13
600594,2018-03-30,益佰制药,0.17
600597,2018-03-30,光明乳业,0.19
600598,2018-03-30,北大荒,0.19
600600,2018-03-30,青岛啤酒,0.34
600611,2018-03-30,大众交通,0.15
600614,2018-03-30,鹏起科技,0.26
600618,2018-03-30,氯碱化工,0.06
600623,2018-03-30,华谊集团,0.14
600628,2018-03-30,新世界,0.09
600633,2018-03-30,浙数文化,0.18
600635,2018-03-30,大众公用,0.23
600639,2018-03-30,浦东金桥,0.1
600640,2018-03-30,号百控股,0.08
600642,2018-03-30,申能股份,0.39
600643,2018-03-30,爱建集团,0.31
600645,2018-03-30,中源协和,0.18
600648,2018-03-30,外高桥,0.16
600651,2018-03-30,飞乐音响,0.16
600655,2018-03-30,豫园股份,0.25
600657,2018-03-30,信达地产,0.1
600664,2018-03-30,哈药股份,0.2
600673,2018-03-30,东阳光科,0.43
600687,2018-03-30,刚泰控股,0.12
600694,2018-03-30,大商股份,0.15
600717,2018-03-30,天津港,0.2
600718,2018-03-30,东软集团,0.31
600729,2018-03-30,重庆百货,0.18
600737,2018-03-30,中粮糖业,0.19
600743,2018-03-30,华远地产,0.08
600748,2018-03-30,上实发展,0.08
600750,2018-03-30,江中药业,0.11
600751,2018-03-30,天海投资,0.2
600754,2018-03-30,锦江股份,0.13
600755,2018-03-30,厦门国贸,0.29
600757,2018-03-30,长江传媒,0.1
600759,2018-03-30,洲际油气,0.11
600765,2018-03-30,中航重机,0.12
600770,2018-03-30,综艺股份,0.14
600773,2018-03-30,西藏城投,0.12
600776,2018-03-30,东方通信,0.08
600787,2018-03-30,中储股份,0.24
600801,2018-03-30,华新水泥,0.18
600808,2018-03-30,马钢股份,0.26
600811,2018-03-30,东方集团,0.33
600823,2018-03-30,世茂股份,0.18
600826,2018-03-30,兰生股份,0.07
600835,2018-03-30,上海机电,0.17
600839,2018-03-30,四川长虹,0.28
600848,2018-03-30,上海临港,0.19
600859,2018-03-30,王府井,0.15
600862,2018-03-30,中航高科,0.09
600863,2018-03-30,内蒙华电,0.19
600869,2018-03-30,智慧能源,0.12
600872,2018-03-30,中炬高新,0.32
600874,2018-03-30,创业环保,0.15
600875,2018-03-30,东方电气,0.26
600879,2018-03-30,航天电子,0.37
600880,2018-03-30,博瑞传播,0.09
600881,2018-03-30,亚泰集团,0.19
600884,2018-03-30,杉杉股份,0.27
600885,2018-03-30,宏发股份,0.33
600894,2018-03-30,广日股份,0.09
600908,2018-03-30,无锡银行,0.16
600917,2018-03-30,重庆燃气,0.03
600936,2018-03-30,广西广电,0.18
600939,2018-03-30,重庆建工,0.03
600967,2018-03-30,内蒙一机,0.24
600970,2018-03-30,中材国际,0.23
600971,2018-03-30,恒源煤电,0.1
600978,2018-03-30,宜华生活,0.23
600993,2018-03-30,马应龙,0.14
600996,2018-03-30,贵广网络,0.07
601000,2018-03-30,唐山港,0.27
601001,2018-03-30,大同煤业,0.11
601002,2018-03-30,晋亿实业,0.1
601016,2018-03-30,节能风电,0.13
601020,2018-03-30,华钰矿业,0.06
601127,2018-03-30,小康股份,0.08
601128,2018-03-30,常熟银行,0.04
601168,2018-03-30,西部矿业,0.32
601200,2018-03-30,上海环境,0.16
601231,2018-03-30,环旭电子,0.2
601233,2018-03-30,桐昆股份,0.35
601311,2018-03-30,骆驼股份,0.14
601678,2018-03-30,滨化股份,0.18
601689,2018-03-30,拓普集团,0.11
601699,2018-03-30,潞安环能,0.31
601717,2018-03-30,郑煤机,0.14
601777,2018-03-30,力帆股份,0.1
601811,2018-03-30,新华文轩,0.05
601880,2018-03-30,大连港,0.19
601928,2018-03-30,凤凰传媒,0.14
601969,2018-03-30,海南矿业,0.04
603000,2018-03-30,人民网,0.15
603001,2018-03-30,奥康国际,0.05
603019,2018-03-30,中科曙光,0.6
603025,2018-03-30,大豪科技,0.04
603077,2018-03-30,和邦生物,0.18
603169,2018-03-30,兰石重装,0.06
603188,2018-03-30,亚邦股份,0.11
603198,2018-03-30,迎驾贡酒,0.09
603225,2018-03-30,新凤鸣,0.07
603228,2018-03-30,景旺电子,0.06
603328,2018-03-30,依顿电子,0.09
603355,2018-03-30,莱克电气,0.06
603369,2018-03-30,今世缘,0.19
603377,2018-03-30,东方时尚,0.12
603444,2018-03-30,吉比特,0.09
603515,2018-03-30,欧普照明,0.13
603528,2018-03-30,多伦科技,0.06
603556,2018-03-30,海兴电力,0.1
603568,2018-03-30,伟明环保,0.07
603569,2018-03-30,长久物流,0.03
603589,2018-03-30,口子窖,0.32
603658,2018-03-30,安图生物,0.11
603766,2018-03-30,隆鑫通用,0.17
603806,2018-03-30,福斯特,0.07
603816,2018-03-30,顾家家居,0.13
603868,2018-03-30,飞科电器,0.07
603877,2018-03-30,太平鸟,0.04
603883,2018-03-30,老百姓,0.15
