报告期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业收入(万元),1960066,1865409,2068860,1841428,1394162,1014522,663935,410669,333770,346334,177531,
营业成本(万元),1635770,1533227,1687533,1514503,1155072,841533,551789,341505,280890,302123,145276,
营业利润(万元),197470,188674,223446,186578,132571,90223,54912,28556,18617,13989,10661,
利润总额(万元),199730,189551,224960,188504,132299,90215,54931,28567,19520,14819,10724,
所得税费用(万元),30170,28983,35136,29705,20736,16235,14144,7443,5124,5349,3415,
净利润(万元),169559,160568,189825,158799,111563,73979,40787,21124,14396,9470,7309,
基本每股收益,0.64,0.91,1.07,1.33,1.43,1.52,1.22,0.95,0.98,0.96,0.93,
货币资金(万元),187309,122285,198324,359789,380537,244090,85337,61724,33068,37480,41924,
应收账款(万元),1784914,1664210,1484252,1107381,754230,416315,235924,138274,119870,99132,61580,
存货(万元),19477,15487,10651,8386,6399,5113,3529,3044,2445,1795,82274,
流动资产合计(万元),2206947,2073356,1958129,1625681,1203359,710537,350343,227161,165212,145670,190821,
固定资产净额(万元),100417,110796,97532,56721,58112,41254,36726,35521,11535,8230,7323,
资产总计(万元),2682252,2480489,2170780,1785263,1335010,770537,406069,276103,197536,163467,201783,
流动负债合计(万元),1666643,1551208,1364725,1108899,792733,457877,281240,182110,124737,103511,149420,
非流动负债合计(万元),1424,54648,73457,114505,120917,256,437,439,448,174,0,
负债合计(万元),1668067,1605856,1438182,1223404,913650,458132,281678,182549,125185,103685,149420,
所有者权益(或股东权益)合计(万元),1014184,874633,732598,561860,421360,312404,124391,93554,72350,59782,52364,
期初现金及现金等价物余额(万元),121011,174038,336469,357237,244090,85337,61724,33072,37480,41924,11043,
经营活动产生的现金流量净额(万元),110057,8191,-34601,100036,77450,55411,33853,54835,11016,5768,6137,
投资活动产生的现金流量净额(万元),-4934,-163888,-100446,-97271,-46649,-22312,-122,-26027,-13326,-5830,-2302,
筹资活动产生的现金流量净额(万元),-40654,103845,-26865,-22663,82311,125667,-10103,-173,-2101,-4380,27049,
现金及现金等价物净增加额(万元),65025,-53028,-162431,-20768,113147,158753,23613,28652,-4412,-4444,30881,
期末现金及现金等价物余额(万元),186035,121011,174038,336469,357237,244090,85337,61724,33068,37480,41924,
