报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
销售商品、提供劳务收到的现金(万元),1891683,1635886,1594518,1473023,1053428,808025,558733,404266,306956,238852,184122,
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,
向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,0,0,
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,
收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,0,0,
收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,0,0,
保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,
处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,0,
拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,
回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,
收到的税费返还(万元),20,--,--,--,--,--,--,--,10,0,25,
收到的其他与经营活动有关的现金(万元),7832,8849,2035,1169,208,367,2002,2961,1344,617,80,
经营活动现金流入小计(万元),1899535,1644734,1596553,1474192,1053636,808392,560735,407227,308310,239469,184226,
购买商品、接受劳务支付的现金(万元),1469123,1314502,1350688,1130121,815954,646383,445263,292905,238484,193167,147991,
客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,0,0,
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,0,
支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,0,0,
支付给职工以及为职工支付的现金(万元),197797,200320,162093,138240,80444,37743,30115,26255,29215,18152,14442,
支付的各项税费(万元),95436,97999,88739,76572,62012,57050,41181,23594,20863,14337,10894,
支付的其他与经营活动有关的现金(万元),27122,23722,29634,29223,17775,11805,10322,9638,8732,8045,4762,
经营活动现金流出小计(万元),1789478,1636543,1631154,1374156,976186,752981,526882,352391,297294,233701,178089,
经营活动产生的现金流量净额(万元),110057,8191,-34601,100036,77450,55411,33853,54835,11016,5768,6137,
收回投资所收到的现金(万元),805955,292622,809071,363276,--,3600,17600,4000,--,0,0,
取得投资收益所收到的现金(万元),18100,9104,149,3782,145,122,196,48,23,2,2,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),6750,253,61,10959,1349,54,16,64,1301,0,4,
处置子公司及其他营业单位收到的现金净额(万元),3143,2636,--,--,--,--,--,--,2379,0,0,
收到的其他与投资活动有关的现金(万元),1110,4079,2922,3815,5015,993,563,422,407,545,68,
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,0,0,
投资活动现金流入小计(万元),835059,308695,812204,381832,6508,4768,18375,4533,4110,547,75,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),22234,25933,23410,35116,19562,11754,8017,9616,14042,4853,2376,
投资所支付的现金(万元),817759,446650,889240,443662,--,15326,6600,15529,1000,0,0,
质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,
取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,33595,--,3880,5416,2393,1524,0,
支付的其他与投资活动有关的现金(万元),--,--,--,325,--,--,--,--,--,0,0,
增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,0,0,
投资活动现金流出小计(万元),839993,472583,912650,479103,53157,27080,18497,30561,17435,6377,2376,
投资活动产生的现金流量净额(万元),-4934,-163888,-100446,-97271,-46649,-22312,-122,-26027,-13326,-5830,-2302,
吸收投资收到的现金(万元),55722,480,1000,1034,72481,132274,--,2793,72,134,29091,
其中：子公司吸收少数股东投资收到的现金(万元),55722,480,1000,--,--,--,--,--,--,0,0,
取得借款收到的现金(万元),163009,169616,5660,1524,43999,--,--,18700,15900,800,13650,
发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,0,0,
收到其他与筹资活动有关的现金(万元),--,23012,--,--,--,--,--,--,--,0,0,
筹资活动现金流入小计(万元),218731,193108,6660,2558,116479,132274,0,21493,15972,934,42741,
偿还债务支付的现金(万元),212454,69347,3633,4431,400,--,--,18700,15900,3100,13850,
分配股利、利润或偿付利息所支付的现金(万元),46931,19916,28926,20790,10519,6405,10103,2965,2144,2212,1827,
其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,0,0,
支付其他与筹资活动有关的现金(万元),--,--,966,--,23250,202,--,--,29,1,15,
筹资活动现金流出小计(万元),259385,89263,33525,25221,34169,6607,10103,21665,18073,5313,15692,
筹资活动产生的现金流量净额(万元),-40654,103845,-26865,-22663,82311,125667,-10103,-173,-2101,-4380,27049,
汇率变动对现金及现金等价物的影响(万元),555,-1176,-519,-870,35,-14,-15,17,-1,-2,-4,
现金及现金等价物净增加额(万元),65025,-53028,-162431,-20768,113147,158753,23613,28652,-4412,-4444,30881,
加:期初现金及现金等价物余额(万元),121011,174038,336469,357237,244090,85337,61724,33072,37480,41924,11043,
期末现金及现金等价物余额(万元),186035,121011,174038,336469,357237,244090,85337,61724,33068,37480,41924,
净利润(万元),169559,160568,189825,158799,111563,73979,40787,21124,14396,9042,7309,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,428,0,
未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,
资产减值准备(万元),38821,35561,43178,32701,26975,18358,9773,4236,2883,2920,2396,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),7588,7592,6371,4784,3710,3155,2781,1660,1009,854,801,
无形资产摊销(万元),1113,885,976,855,293,223,189,183,173,59,51,
长期待摊费用摊销(万元),2250,1019,982,605,23,--,--,--,--,0,0,
待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,0,0,
预提费用的增加(万元),--,--,--,--,--,--,--,--,--,0,0,
处置固定资产、无形资产和其他长期资产的损失(万元),-1819,4,127,-1580,68,-17,-3,-13,-1131,5,0,
固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,0,6,
公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,0,0,
递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,0,0,
预计负债(万元),--,--,--,--,--,--,--,--,--,0,0,
财务费用(万元),5984,3068,1648,167,-4427,-995,-683,-401,-238,-509,253,
投资损失(万元),-18676,-14590,-7577,-3634,-215,-122,-196,-48,-42,-2,-2,
递延所得税资产减少(万元),-7620,-6115,-5293,-5589,-4533,-666,-2446,-1026,-1462,22,-463,
递延所得税负债增加(万元),-31,-6,107,-952,-9,-182,-1,-9,274,174,0,
存货的减少(万元),-3990,-18630,-2264,-1988,-1232,-1584,-484,-599,-1541,80624,-29149,
经营性应收项目的减少(万元),-164281,-250919,-471173,-398259,-365623,-215419,-117254,-21831,-25194,-42155,-22010,
经营性应付项目的增加(万元),81158,89755,208493,314125,310822,178588,101273,51351,21810,-44992,46945,
已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,0,0,
已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,0,0,
其他(万元),--,--,--,--,35,93,119,209,81,-702,0,
经营活动产生现金流量净额(万元),110057,8191,-34601,100036,77450,55411,33853,54835,11016,5768,6137,
债务转为资本(万元),--,--,--,--,--,--,--,--,--,0,0,
一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,0,0,
