报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2004-12-31,2003-12-31,
流动比率(%),1.44,1.38,1.38,1.32,1.37,1.4,1.46,1.34,1.41,1.47,1.52,1.43,1.51,1.53,1.57,1.47,1.56,1.59,1.68,1.52,1.54,1.59,1.72,1.55,1.27,1.29,1.31,1.25,1.27,1.25,1.32,1.25,1.24,1.28,1.38,1.32,1.38,1.39,1.51,1.41,1.49,1.52,1.59,1.28,1.08,--,1.09,1.08,--,1.06,1.05,
速动比率(%),1.43,1.37,1.37,1.31,1.36,1.39,1.44,1.33,1.4,1.46,1.51,1.43,1.5,1.52,1.56,1.46,1.55,1.58,1.67,1.51,1.53,1.58,1.71,1.54,1.25,1.28,1.29,1.23,1.25,1.23,1.3,1.23,1.22,1.26,1.36,1.3,1.33,1.35,1.47,1.39,1.47,1.49,1.57,0.73,0.52,--,0.49,0.57,--,0.58,0.71,
现金比率(%),13.38,10.32,10.67,11.24,8.68,9.37,7.71,7.88,7.84,8.44,9.08,14.53,14.97,22.4,23.46,32.45,27.56,32.27,47.25,48,40.66,44.8,50.96,53.31,21.23,22.79,24.02,30.34,33.71,33.39,39.27,33.89,38.35,31.07,30.59,26.51,25.64,24.04,25.81,36.21,34.13,37.49,42.47,28.06,4.6,--,5.8,10.74,--,9.38,8.25,
利息支付倍数(%),1937.85,1740.49,1581.1,3175.29,2870.36,2743.44,4757.93,5785.25,4557.2,4198.92,3725.13,11990.79,5682.41,6430.47,6382.15,22449.73,-18097.64,-9294.2,-23041.19,-3017.23,-2536.52,-2015.08,-2255.3,-9542.98,-11519.58,-10833.41,-9974.58,-8462.95,-13843.91,-10385.4,-9182.55,-7660.46,-8475.67,-6747.47,-10547.59,-9206.4,-97279.16,-26426.84,-18706.76,-2951.66,-18563.16,-14347.99,-9004.53,4042.87,3512.76,3707.72,4403.44,3150.29,--,4184.36,-55279.85,
资产负债率(%),59.63,59.99,58.57,62.19,63.08,62.42,59.7,64.74,65.03,63.84,61.75,66.25,66.08,65.47,64.38,68.53,65.3,65.03,62.86,68.44,59.95,57.71,53.05,59.46,69.4,67.36,64.83,69.37,66.42,65.81,61.12,66.12,64.91,63.16,59.29,63.37,60.47,60.49,56.64,63.43,60.79,59.9,57.17,74.05,87.76,--,85.1,86.45,--,86.29,83.61,
长期债务与营运资金比率(%),--,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.08,0.08,0.08,0.08,0.09,0.1,0.11,0.11,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,
股东权益比率(%),40.37,40.01,41.43,37.81,36.92,37.58,40.3,35.26,34.97,36.16,38.25,33.75,33.92,34.53,35.62,31.47,34.7,34.97,37.14,31.56,40.05,42.29,46.95,40.54,30.6,32.64,35.17,30.63,33.58,34.19,38.88,33.88,35.09,36.84,40.71,36.63,39.53,39.51,43.36,36.57,39.21,40.1,42.83,25.95,12.24,--,14.9,13.55,--,13.71,16.39,
长期负债比率(%),--,0.04,0.04,0.04,0.16,0.17,0.18,0.17,0.17,0.14,0.15,0.14,2.3,2.4,2.55,2.39,2.95,3.26,3.81,3.48,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,
股东权益与固定资产比率(%),--,1085.44,--,1009.34,--,864.59,--,788.95,--,810.08,--,750.42,--,694.49,--,988.93,--,783.44,--,723.9,--,804.07,--,755.4,--,351.67,--,337.75,--,262.22,--,262.61,--,385.94,--,620.98,--,728.38,--,716.3,--,646.22,--,703.92,253.5,--,264.91,245.58,--,235.24,167.86,
负债与所有者权益比率(%),147.7,149.94,141.4,164.47,170.88,166.08,148.16,183.6,185.96,176.52,161.4,196.31,194.82,189.57,180.75,217.74,188.22,185.97,169.22,216.83,149.7,136.47,113.01,146.65,226.78,206.35,184.36,226.45,197.81,192.52,157.2,195.13,184.99,171.47,145.62,173.03,153,153.12,130.63,173.44,155.04,149.4,133.47,285.35,716.95,--,571.3,637.78,--,629.19,510.04,
长期资产与长期资金比率(%),--,43.05,46.6,46.82,43.84,41.15,40.89,46.33,36.13,30.3,30.71,28.91,25.41,25.72,25.41,26.4,27.63,28.06,27.2,28.14,--,--,--,--,--,--,--,44.8,--,51.76,--,52.31,56.14,52.49,--,--,--,--,--,--,--,--,--,20.94,--,--,46.54,47.91,--,--,--,
资本化比率(%),--,0.1,0.1,0.1,0.44,0.46,0.45,0.48,0.49,0.38,0.39,0.42,6.36,6.49,6.67,7.06,7.84,8.53,9.3,9.94,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,
固定资产净值率(%),--,71.56,--,73.52,--,75.25,--,77.5,--,77.43,--,79.18,--,80.17,--,74.16,--,75.01,--,75.72,--,76.34,--,78.18,--,80.26,--,80.94,--,83.31,--,85.78,--,79.13,--,71.21,--,67.27,--,68.47,--,70.12,--,70.87,72.29,--,72.62,73.76,--,74.93,78.52,
资本固定化比率(%),34.92,43.09,46.64,46.87,44.04,41.34,41.08,46.55,36.31,30.41,30.83,29.03,27.13,27.51,27.23,28.4,29.98,30.67,29.99,31.24,19.94,19.62,18.6,19.21,38.38,39.8,44.01,44.8,47.25,51.76,50.13,52.31,56.14,52.49,45.88,44.68,42.89,40.71,33.27,29.77,23.64,22.35,20.61,20.94,43.93,--,46.54,47.91,--,62.06,74.37,
产权比率(%),147.67,149.91,141.36,164.44,165.73,160.66,142.68,177.84,177.64,167.73,152.34,186.7,184.49,178.01,168.83,204.96,173.87,169.96,152.75,199.18,149.64,136.4,112.94,146.57,226.5,206.05,184.02,226.09,197.41,192.07,156.75,194.66,184.46,170.89,145.04,172.41,152.75,152.86,130.36,173.15,155.04,149.4,133.47,285.35,716.95,--,571.3,637.78,--,629.19,510.04,
清算价值比率(%),--,166.17,170.16,160.29,162.88,165.03,173.25,158.9,160.38,164.21,170.83,158.04,159.06,161.84,165.39,154.22,164.7,167.09,174.94,157.95,--,--,--,--,--,--,--,141.55,--,148.69,--,147.91,150.97,154.7,--,--,--,--,--,--,--,--,--,134.55,--,--,116.75,114.91,--,--,--,
固定资产比重(%),--,3.69,--,3.75,--,4.35,--,4.47,--,4.46,--,4.5,--,4.97,--,3.18,--,4.46,--,4.36,--,5.26,--,5.37,--,9.28,--,9.07,--,13.04,--,12.9,0,9.54,--,5.9,--,5.42,--,5.11,--,6.2,--,3.69,4.83,--,5.62,5.52,--,5.83,9.77,
