报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,
流动比率(%),1.32,1.34,1.43,1.47,1.52,1.55,1.25,1.25,1.32,1.41,1.28,1.08,1.06,1.05,
速动比率(%),1.31,1.33,1.43,1.46,1.51,1.54,1.23,1.23,1.3,1.39,0.73,0.57,0.58,0.71,
现金比率(%),11.24,7.88,14.53,32.45,48,53.31,30.34,33.89,26.51,36.21,28.06,10.74,9.38,8.25,
利息支付倍数(%),3175.29,5785.25,11990.79,22449.73,-3017.23,-9542.98,-8462.95,-7660.46,-9206.4,-2951.66,4042.87,3150.29,4184.36,-55279.85,
资产负债率(%),62.19,64.74,66.25,68.53,68.44,59.46,69.37,66.12,63.37,63.43,74.05,86.45,86.29,83.61,
长期债务与营运资金比率(%),0,0.01,0.01,0.08,0.11,--,0,0,--,--,0,0,--,--,
股东权益比率(%),37.81,35.26,33.75,31.47,31.56,40.54,30.63,33.88,36.63,36.57,25.95,13.55,13.71,16.39,
长期负债比率(%),0.04,0.17,0.14,2.39,3.48,--,0,0,--,--,0,0,--,--,
股东权益与固定资产比率(%),1009.34,788.95,750.42,988.93,723.9,755.4,337.75,262.61,620.98,716.3,703.92,245.58,235.24,167.86,
负债与所有者权益比率(%),164.47,183.6,196.31,217.74,216.83,146.65,226.45,195.13,173.03,173.44,285.35,637.78,629.19,510.04,
长期资产与长期资金比率(%),46.82,46.33,28.91,26.4,28.14,--,44.8,52.31,--,--,20.94,47.91,--,--,
资本化比率(%),0.1,0.48,0.42,7.06,9.94,--,0,0,--,--,0,0,--,--,
固定资产净值率(%),73.52,77.5,79.18,74.16,75.72,78.18,80.94,85.78,71.21,68.47,70.87,73.76,74.93,78.52,
资本固定化比率(%),46.87,46.55,29.03,28.4,31.24,19.21,44.8,52.31,44.68,29.77,20.94,47.91,62.06,74.37,
产权比率(%),164.44,177.84,186.7,204.96,199.18,146.57,226.09,194.66,172.41,173.15,285.35,637.78,629.19,510.04,
清算价值比率(%),160.29,158.9,158.04,154.22,157.95,--,141.55,147.91,--,--,134.55,114.91,--,--,
固定资产比重(%),3.75,4.47,4.5,3.18,4.36,5.37,9.07,12.9,5.9,5.11,3.69,5.52,5.83,9.77,
