报告日期,2017-09-30,2017-06-30,2017-03-31,2016-09-30,2016-06-30,2016-03-31,2015-09-30,2015-06-30,2015-03-31,2014-09-30,2014-06-30,2014-03-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-03-31,
基本每股收益(元),0.54,0.34,0.18,0.52,0.34,0.26,0.76,0.48,0.25,0.75,0.46,0.34,0.86,0.51,0.37,1.43,0.91,0.53,0.39,1.52,0.91,0.51,0.24,1.22,0.71,0.37,0.27,0.95,0.6,0.31,0.24,0.98,0.68,0.39,0.29,0.96,0.63,0.34,0.18,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.3,4.78,4.4,6.39,6,3.16,2.93,2.63,3.78,3.27,2.94,4.51,4.24,3.78,3.49,5.2,4.96,4.65,4.36,6.45,6.16,5.82,5.53,5.57,5.21,2.37,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.05,-0.27,-0.94,1.07,0.28,-0.09,-0.45,1.06,0.45,0.08,-0.2,2.58,1.68,0.46,0.2,0.78,0.21,-0.5,-1.29,0.61,-0.32,-0.6,-1.06,0.65,-1.2,
主营业务收入(万元),623374,514977,434791,578096,491847,418313,572903,480267,405677,592093,460739,404853,487060,366792,308889,515871,360865,280385,237040,371304,268493,206356,168368,238747,180423,132700,112066,132632,110388,83985,83665,97153,81472,79615,75530,80444,71413,51053,143425,46455,40489,
主营业务利润(万元),101040,88288,66206,87468,73558,60756,84788,76982,57759,88526,72677,56289,73942,57458,42127,73658,49596,39997,30039,51786,36986,28561,21296,36273,23987,16533,14386,20488,14814,10416,10583,13262,10265,9268,9551,9823,9007,6598,7767,7720,5563,
营业利润(万元),65133,51300,55424,55258,49714,56205,56012,49822,52132,58727,50339,47105,49937,37634,35096,47793,34931,25795,24052,30788,25898,17566,15972,22882,15090,8767,8173,10753,8538,4610,4655,6335,4638,3896,3748,5165,4057,2447,2321,3420,2294,
投资收益(万元),3863,4551,4855,4765,4512,4681,4891,2625,2131,1619,1515,1148,1107,795,-244,-9,0,232,-9,0,0,111,11,2,0,106,88,6,38,--,--,19,--,--,--,0,0,2,0,0,--,
营业外收支净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),65492,51509,55602,55661,49959,56320,56491,49886,52444,60297,50276,48224,49967,37618,35143,47775,34846,25685,23993,30789,25918,17545,15963,22886,15111,8766,8168,10740,8515,4618,4694,6262,5731,3759,3768,5920,4136,2446,2317,3484,2293,
净利润(万元),54063,41824,47826,47553,42426,46388,48142,41712,43657,50329,41604,39669,41129,31168,28589,40392,29246,21471,20034,29698,19226,12738,11616,16123,10804,6214,5724,7299,6104,3265,3393,4237,4129,2707,2761,3119,2702,1575,1645,1783,1571,
净利润(扣除非经常性损益后)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),19595,-24545,-33335,28423,-53439,-46961,-78210,-91578,-109192,-69559,-59483,-65974,-8266,-19715,-50807,77450,3560,-20697,-48501,55411,13302,-4542,-21599,33853,14301,2668,-4362,54835,35466,9809,2783,11016,2981,-7023,-12160,5768,-3033,-5656,-9963,6137,-8374,
现金及现金等价物净增加额(万元),35798,-22079,-27224,18108,17240,-21325,-80639,-85254,-91191,-181354,-121874,-131492,-149810,-139970,-76600,113147,-16678,-33522,-52801,158753,-11711,-17018,-27918,23613,9745,-146,-1385,28652,25429,7473,595,-4412,-10318,-13574,-15880,-4444,-12070,-11969,-11307,30881,-5173,
总资产(万元),2785486,2671391,2564389,2651036,2473468,2284593,2423620,2214277,2030873,2004026,1797838,1690526,1458974,1327115,1215265,1335010,933427,814876,707980,770537,500369,445624,369379,406069,319813,280863,252097,276103,235642,207254,186340,197536,175431,164672,148037,163467,143897,133398,126115,199976,119010,
流动资产(万元),2392804,2210809,2068915,2220040,2089176,1906418,2115902,1970732,1791367,1819604,1627049,1526549,1307239,1184764,1079872,1203359,858884,747274,646171,710537,441608,387723,312214,350343,269073,231166,202966,227161,189225,167178,151531,165212,145689,138187,126680,145670,130560,121446,114979,190821,110759,
总负债(万元),1660953,1602588,1502076,1672366,1543869,1363975,1576068,1413512,1253964,1324288,1176974,1088380,952778,863038,763871,913650,559614,470273,375616,458132,347247,300160,239479,281678,212425,184849,154081,182549,152957,130909,110476,125185,106089,99616,83849,103685,87476,79910,72097,149420,101282,
流动负债(万元),1660603,1601211,1500671,1617629,1489160,1309379,1501489,1340074,1180491,1207886,1062120,973523,837104,745471,643213,792733,559365,470023,375364,457877,346818,299728,239045,281240,211993,184416,153645,182110,152516,130466,110031,124737,105922,99447,83677,103511,87476,79910,72097,149420,101282,
股东权益不含少数股东权益(万元),1098850,1045845,1043876,964944,916798,908408,835509,785645,761678,662469,612421,593998,499397,457867,443765,414416,371513,342272,331233,311171,152007,141136,125956,120692,104530,93689,95949,90186,80008,73851,73353,69906,65608,61459,60631,57870,54726,52024,52329,49017,16608,
净资产收益率加权(%),13.69,8.66,4.69,14.9,9.86,5.24,17,11.27,5.9,21.59,13.75,6.91,22.03,13.52,6.67,30.8,20.69,12.57,6.24,45.3,31.34,18.78,9.18,37.36,23.47,12.79,6.15,23.93,--,9.21,0,21.72,0,9.12,0,16.71,0,6.23,--,31.8,9.93,
