报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,
基本每股收益(元),0.64,0.91,1.07,1.33,1.43,1.52,1.22,0.95,0.98,0.96,--,--,--,--,
每股净资产(元),--,--,--,--,5.3,6,3.78,4.24,4.96,6.16,5.21,2.15,1.49,2.4,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,1.07,1.06,2.58,0.78,0.61,0.65,0.77,0.53,1.14,
主营业务收入(万元),1960066,1865409,2068860,1841428,1394162,1014522,663935,410669,333770,346334,177441,129313,98218,68211,
主营业务利润(万元),302689,283506,325732,274568,193290,138629,91180,56301,42346,33194,26632,19345,14805,10842,
营业利润(万元),197470,188674,223446,186578,132571,90223,54912,28556,18617,13989,10659,7644,6470,4786,
投资收益(万元),18676,14590,7577,3634,215,122,196,48,42,2,2,2,1,-10,
营业外收支净额(万元),2260,877,1514,1926,-272,-8,19,11,903,--,63,0,0,0,
利润总额(万元),199730,189551,224960,188504,132299,90215,54931,28567,19520,14819,10724,7651,5815,4642,
净利润(万元),168339,160234,187726,156361,111143,73278,38864,20061,13835,9042,6295,4612,3314,3063,
净利润(扣除非经常性损益后)(万元),161445,154493,180085,151238,111290,73211,38694,20099,13144,8378,6049,4553,3881,2511,
经营活动产生的现金流量净额(万元),110057,8191,-34601,100036,77450,55411,33853,54835,11016,5768,6137,5420,3744,3390,
现金及现金等价物净增加额(万元),65025,-53028,-162431,-20768,113147,158753,23613,28652,-4412,-4444,30881,4339,3328,-149,
总资产(万元),2682252,2480489,2170780,1785263,1335010,770537,406069,276103,197536,163467,199976,118998,82865,48939,
流动资产(万元),2206947,2073356,1958129,1625681,1203359,710537,350343,227161,165212,145670,190821,111271,75813,42973,
总负债(万元),1668067,1605856,1438182,1223404,913650,458132,281678,182549,125185,103685,149420,102868,71501,40917,
流动负债(万元),1666643,1551208,1364725,1108899,792733,457877,281240,182110,124737,103511,149420,102868,71501,40917,
股东权益不含少数股东权益(万元),996884,861698,717704,554288,414416,311171,120692,90186,69906,57870,49017,15038,10426,7111,
净资产收益率加权(%),18.11,20.29,29.52,32.36,30.8,45.3,37.36,23.93,21.72,16.71,31.8,36.22,37.8,54.39,
