报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2004-12-31,2003-12-31,
总资产利润率(%),5.21,3.37,1.83,6.32,5.14,3.6,2.05,6.47,5.47,3.84,2.16,8.74,6.65,4.58,2.38,8.9,7.02,4.58,2.41,8.36,7.59,5.1,2.83,9.6,8.87,5.61,3.21,10.04,7.45,4.45,2.38,7.65,5.58,3.31,1.86,7.29,5.61,3.37,1.88,5.79,4.25,2.5,1.33,3.62,3.03,--,1.3,4.01,--,4.07,6.22,
主营业务利润率(%),16.24,16.27,15.23,15.44,14.9,14.76,14.52,15.2,15.05,15.21,14.24,15.74,14.92,14.9,13.9,14.91,14.92,14.74,13.64,13.86,13.62,13.54,12.67,13.66,13.5,13.3,12.65,13.73,12.91,12.63,12.84,13.71,12.88,12.53,12.65,12.69,12.29,12.13,12.65,9.58,8.79,7.39,5.42,15.02,14.45,15.11,13.77,14.96,--,15.07,15.9,
总资产净利润率(%),5.31,3.36,1.79,6.57,5.31,3.59,1.97,6.9,5.77,3.88,2.09,9.6,7.03,4.6,2.32,10.18,7.33,4.56,2.29,10.6,8.31,5.25,2.71,12.58,9.79,5.87,3.06,11.96,8,4.48,2.27,8.92,6.07,3.39,1.8,7.98,5.81,3.39,1.79,5.19,3.54,1.99,1.02,4.56,3.46,--,1.3,4.73,--,5.12,6.22,
成本费用利润率(%),12.25,12.54,14.09,11.46,12.24,13.07,15,11.45,12.27,12.98,14.29,12.43,12.31,12.79,13.17,11.59,11.88,12.01,12.49,10.71,10.8,10.73,11.14,9.96,10.28,9.88,10.34,9.16,8.21,7.46,7.81,7.56,6.89,5.9,5.93,6.25,5.94,5.12,5.24,4.5,3.49,2.53,1.65,6.52,5.91,6.06,5.95,6.29,--,6.34,7.32,
营业利润率(%),10.92,11.24,12.75,10.07,10.83,11.64,13.44,10.11,10.83,11.51,12.85,10.8,10.71,11.26,11.64,10.13,10.55,10.76,11.36,9.51,9.65,9.63,10.15,8.89,9.24,8.95,9.49,8.27,7.53,6.92,7.29,6.95,6.4,5.53,5.56,5.58,5.19,4.93,4.96,4.04,3.32,2.45,1.62,6.01,5.53,5.67,5.66,5.91,--,6.59,7,
主营业务成本率(%),83.39,83.35,84.26,83.45,84.33,84.14,82.83,82.19,82.26,82.13,83.19,81.57,82.35,82.34,83.32,82.25,82.25,82.44,83.4,82.85,83.09,83.15,83.95,82.95,83.1,83.23,83.92,83.11,83.95,84.22,83.99,83.16,83.98,84.31,84.16,84.16,84.54,84.7,84.19,87.23,88.03,89.45,91.42,81.83,82.41,81.73,83.08,81.92,--,81.84,81.02,
销售净利率(%),9.23,9.47,10.79,8.65,9.16,9.78,11.21,8.61,9.08,9.61,10.81,9.18,9.14,9.52,9.95,8.62,8.81,8.99,9.47,8,8.06,8.04,8.46,7.29,6.9,6.67,7.04,6.14,5.6,5.1,5.36,5.14,4.73,4.09,4.14,4.31,4.16,3.58,3.69,2.73,2.3,1.72,1.17,4.12,3.66,3.76,3.82,3.69,--,3.43,4.46,
净资产收益率(%),13.08,8.57,4.58,16.89,14.13,9.69,5.11,18.6,15.98,10.87,5.73,26.16,19.87,13.27,6.68,28.21,20.2,13.05,6.44,26.82,19.04,12.13,6.05,23.55,28.67,17.26,9.22,32.2,21.76,12.74,5.97,22.24,15.95,9.02,4.63,19.79,14.63,8.9,4.55,15.62,10.82,6.19,3.14,12.84,24.86,16.57,9.46,30.67,--,31.79,43.08,
股本报酬率(%),54.95,48.82,17.75,77.84,51.56,47.06,26.62,109.38,75.18,64.66,24.89,122.29,75.58,59.29,34.29,152.02,87.2,68.55,37.39,166.64,91.08,70.58,38.71,165.02,92.16,73.47,24.77,154.96,74.63,62.09,28.23,127.02,62.13,57.08,24.54,135.51,69.79,70.21,29.67,141.63,65.07,73.07,17.86,110.29,--,--,--,--,--,--,--,
净资产报酬率(%),12.92,12.07,4.42,20.29,13.93,13.38,5.1,22.04,15.63,14.23,5.65,29.42,19.59,16.83,6.69,31.79,20.24,17.34,6.48,30.91,18.94,15.92,6.04,27.37,28.98,24.18,9.13,39.76,22.18,20.64,6.13,28.89,15.89,15.81,4.56,26.41,14.19,15.22,4.34,22.27,10.84,12.84,3.11,19.8,39.88,--,22.96,44.07,--,43.91,54.21,
资产报酬率(%),5.21,4.83,1.83,7.67,5.14,5.03,2.05,7.77,5.47,5.15,2.16,9.93,6.65,5.81,2.38,10,7.02,6.06,2.41,9.75,7.59,6.73,2.83,11.1,8.87,7.89,3.21,12.18,7.45,7.06,2.38,9.79,5.58,5.82,1.86,9.67,5.61,6.01,1.88,8.14,4.25,5.15,1.33,5.14,4.88,--,3.42,5.97,--,6.02,8.89,
销售毛利率(%),16.61,16.65,15.74,--,15.67,15.86,17.17,--,17.74,17.87,16.81,--,17.65,17.66,16.68,--,17.75,17.56,16.6,--,16.91,16.85,16.05,--,16.9,16.77,16.08,16.89,16.05,15.78,16.01,16.84,16.02,15.69,15.84,15.84,15.46,15.3,15.81,12.77,11.97,10.55,8.58,18.16,17.57,18.27,16.89,18.08,--,18.16,18.98,
三项费用比重(%),5.81,6.21,6,4.34,3.82,4.13,4.3,3.96,3.8,4.18,4.69,3.22,3.42,3.89,4.34,3.2,3.81,4.4,4.73,2.44,2.73,2.99,3.54,2.97,3.41,3.83,4.31,4.02,4.7,5.38,6.16,5.74,5.97,6.6,7.23,6.26,6.59,6.84,7.93,4.7,4.61,4.16,3.24,7.67,7.97,8.58,8.84,9.06,--,8.49,8.88,
非主营比重(%),8.12,9.14,9.05,10.48,9.09,8.99,8.51,8.16,6.61,5.02,4.66,4.04,4.35,3.78,4.7,2.95,1.4,0.8,-0.56,-0.04,-0.04,0.11,-0.28,0.13,0.19,0.28,0.02,0.39,0.65,1.11,1.02,0.21,0.37,0.55,0.83,4.84,7.54,-1.55,0.53,5.61,0.85,-0.06,-0.17,0.61,0.01,0.02,-0.05,0.09,--,-11.25,-3.1,
主营利润比重(%),148.05,144.24,119.07,151.55,136.95,126.38,107.88,149.57,138.22,131.67,110.14,144.8,136.96,130.93,116.72,145.66,141.39,136.87,119.88,146.1,141.54,140.98,125.2,153.67,146.14,148.79,133.41,165.99,171.34,182.58,176.13,197.08,200.89,225.5,225.46,216.94,219.38,250.02,253.46,224,262.63,301.59,335.24,248.69,261.65,266.79,243.36,252.83,--,254.59,233.55,
