报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,
总资产利润率(%),6.32,6.47,8.74,8.9,8.36,9.6,10.04,7.65,7.29,5.79,3.62,4.01,4.07,6.22,
主营业务利润率(%),15.44,15.2,15.74,14.91,13.86,13.66,13.73,13.71,12.69,9.58,15.02,14.96,15.07,15.9,
总资产净利润率(%),6.57,6.9,9.6,10.18,10.6,12.58,11.96,8.92,7.98,5.19,4.56,4.73,5.12,6.22,
成本费用利润率(%),11.46,11.45,12.43,11.59,10.71,9.96,9.16,7.56,6.25,4.5,6.52,6.29,6.34,7.32,
营业利润率(%),10.07,10.11,10.8,10.13,9.51,8.89,8.27,6.95,5.58,4.04,6.01,5.91,6.59,7,
主营业务成本率(%),83.45,82.19,81.57,82.25,82.85,82.95,83.11,83.16,84.16,87.23,81.83,81.92,81.84,81.02,
销售净利率(%),8.65,8.61,9.18,8.62,8,7.29,6.14,5.14,4.31,2.73,4.12,3.69,3.43,4.46,
净资产收益率(%),16.89,18.6,26.16,28.21,26.82,23.55,32.2,22.24,19.79,15.62,12.84,30.67,31.79,43.08,
股本报酬率(%),77.84,109.38,122.29,152.02,166.64,165.02,154.96,127.02,135.51,141.63,110.29,--,--,--,
净资产报酬率(%),20.29,22.04,29.42,31.79,30.91,27.37,39.76,28.89,26.41,22.27,19.8,44.07,43.91,54.21,
资产报酬率(%),7.67,7.77,9.93,10,9.75,11.1,12.18,9.79,9.67,8.14,5.14,5.97,6.02,8.89,
销售毛利率(%),--,--,--,--,--,--,16.89,16.84,15.84,12.77,18.16,18.08,18.16,18.98,
三项费用比重(%),4.34,3.96,3.22,3.2,2.44,2.97,4.02,5.74,6.26,4.7,7.67,9.06,8.49,8.88,
非主营比重(%),10.48,8.16,4.04,2.95,-0.04,0.13,0.39,0.21,4.84,5.61,0.61,0.09,-11.25,-3.1,
主营利润比重(%),151.55,149.57,144.8,145.66,146.1,153.67,165.99,197.08,216.94,224,248.69,252.83,254.59,233.55,
