报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2004-12-31,2003-12-31,
应收账款周转率(次),0.85,0.53,0.25,1.14,0.85,0.54,0.26,1.19,0.9,0.58,0.28,1.6,1.17,0.76,0.38,1.98,1.42,0.89,0.44,2.38,1.77,1.15,0.59,3.11,2.32,1.47,0.75,3.55,2.77,1.77,0.9,3.18,2.38,1.45,0.74,3.05,2.35,1.58,0.81,4.31,3.59,2.77,2.17,3.4,2.64,--,0.99,3.46,--,3.7,3.2,
应收账款周转天数(天),319.11,340.01,353.77,316.73,318.77,335.88,345.62,303.8,299.9,312.39,321.54,225.48,230.71,237.66,239.55,181.97,189.75,202.41,204.04,151.13,152.53,156.4,152.46,115.72,116.44,122.2,120.14,101.45,97.47,101.68,100.38,113.15,113.45,124.12,121.03,118.11,114.67,113.92,111.32,83.53,75.14,64.88,41.45,106,102.16,--,91.01,104.07,--,97.31,112.44,
存货周转率(次),60.6,38.74,18.53,93.57,69.56,46.92,22.39,117.32,98,51.43,30.48,177.29,120.53,79.12,40.66,204.87,135.89,82.96,38.3,200.68,133.44,80.97,39.62,194.77,102.17,69.36,43.48,167.9,89.64,58.12,30.16,124.42,84.11,57.91,30.57,132.49,64.29,47.39,22.78,7.19,5.55,4.11,3.12,2.15,1.65,--,0.59,2.42,--,3.31,3.92,
固定资产周转率(次),--,9.55,--,18.55,--,8.34,--,17.89,--,9.02,--,26.79,--,11.84,--,32.02,--,11.51,--,28.01,--,12.29,--,25.95,--,9.58,--,18.33,--,6.78,--,17.37,47.73,10.67,--,33.38,--,17.96,--,43.88,--,24.75,--,25.35,18.45,--,6.11,22.69,--,20.44,1.39,
总资产周转率(次),0.58,0.35,0.17,0.76,0.58,0.37,0.18,0.8,0.64,0.4,0.19,1.05,0.77,0.48,0.23,1.18,0.83,0.51,0.24,1.32,1.03,0.65,0.32,1.72,1.42,0.88,0.43,1.95,1.43,0.88,0.42,1.73,1.28,0.83,0.44,1.85,1.4,0.95,0.48,1.9,1.54,1.16,0.87,1.11,0.95,--,0.34,1.28,--,1.49,1.39,
存货周转天数(天),4.46,4.65,4.86,3.85,3.88,3.84,4.02,3.07,2.76,3.5,2.95,2.03,2.24,2.27,2.21,1.76,1.99,2.17,2.35,1.79,2.02,2.22,2.27,1.85,2.64,2.6,2.07,2.14,3.01,3.1,2.98,2.89,3.21,3.11,2.94,2.72,4.2,3.8,3.95,50.09,48.65,43.76,28.84,167.76,163.66,--,152.93,148.8,--,108.69,91.75,
总资产周转天数(天),469.24,507.33,543.15,474.12,465.52,489.93,512.53,448.82,425.13,445.43,466.08,344.2,350.92,372.52,386.27,305.01,324.4,354.61,371.59,271.84,261.91,275.78,280.72,208.76,190.25,204.55,207.28,184.95,189.21,204.8,212.11,207.6,210.33,217.31,206.47,194.69,193.35,190.36,185.61,189.83,175.51,155.12,102.88,325.23,285.53,--,264.39,280.99,--,241.55,258.29,
流动资产周转率(次),0.68,0.43,0.2,0.92,0.69,0.44,0.21,0.93,0.72,0.45,0.22,1.15,0.85,0.53,0.26,1.3,0.93,0.57,0.27,1.46,1.12,0.71,0.35,1.91,1.62,1.02,0.51,2.3,1.71,1.07,0.52,2.09,1.57,1.01,0.53,2.15,1.62,1.09,0.55,2.06,1.65,1.25,0.94,1.18,1,--,0.36,1.38,--,1.65,158.73,
流动资产周转天数(天),394.74,418.6,442.48,393.06,389.44,411.62,428.16,389.02,376.99,399.11,415.9,311.8,319.07,338.22,350.33,276.54,291.48,318.08,332.59,247.1,241.22,253.56,257.58,188.23,166.22,177.27,177.1,156.57,157.55,168.52,172.71,171.98,172.1,178.43,170.36,167.66,166.24,164.67,162.25,174.88,163.17,144.51,95.95,306.3,268.82,--,246.64,260.42,--,217.69,2.27,
经营现金净流量对销售收入比率(%),0.01,-0.03,-0.08,0.06,0.02,-0.06,-0.11,0,-0.05,-0.1,-0.27,-0.02,-0.05,-0.07,-0.16,0.05,-0.01,-0.03,-0.16,0.06,0,-0.04,-0.2,0.05,0.02,-0.01,-0.13,0.05,0.03,0.01,-0.04,0.13,0.13,0.06,0.03,0.03,0.01,-0.05,-0.16,0.02,-0.01,-0.03,-0.07,0.03,-0.05,-0.1,-0.21,0.04,--,0.04,0.05,
