报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,
应收账款周转率(次),1.14,1.19,1.6,1.98,2.38,3.11,3.55,3.18,3.05,4.31,3.4,3.46,3.7,3.2,
应收账款周转天数(天),316.73,303.8,225.48,181.97,151.13,115.72,101.45,113.15,118.11,83.53,106,104.07,97.31,112.44,
存货周转率(次),93.57,117.32,177.29,204.87,200.68,194.77,167.9,124.42,132.49,7.19,2.15,2.42,3.31,3.92,
固定资产周转率(次),18.55,17.89,26.79,32.02,28.01,25.95,18.33,17.37,33.38,43.88,25.35,22.69,20.44,1.39,
总资产周转率(次),0.76,0.8,1.05,1.18,1.32,1.72,1.95,1.73,1.85,1.9,1.11,1.28,1.49,1.39,
存货周转天数(天),3.85,3.07,2.03,1.76,1.79,1.85,2.14,2.89,2.72,50.09,167.76,148.8,108.69,91.75,
总资产周转天数(天),474.12,448.82,344.2,305.01,271.84,208.76,184.95,207.6,194.69,189.83,325.23,280.99,241.55,258.29,
流动资产周转率(次),0.92,0.93,1.15,1.3,1.46,1.91,2.3,2.09,2.15,2.06,1.18,1.38,1.65,158.73,
流动资产周转天数(天),393.06,389.02,311.8,276.54,247.1,188.23,156.57,171.98,167.66,174.88,306.3,260.42,217.69,2.27,
经营现金净流量对销售收入比率(%),0.06,0,-0.02,0.05,0.06,0.05,0.05,0.13,0.03,0.02,0.03,0.04,0.04,0.05,
资产的经营现金流量回报率(%),0.04,0,-0.02,0.06,0.06,0.07,0.08,0.2,0.06,0.04,0.03,0.05,0.05,0.07,
经营现金净流量与净利润的比率(%),0.65,0.05,-0.18,0.63,0.69,0.75,0.83,2.6,0.77,0.61,0.84,1.14,1.11,1.11,
经营现金净流量对负债比率(%),0.07,0.01,-0.02,0.08,0.08,0.12,0.12,0.3,0.09,0.06,0.04,0.05,0.05,0.08,
现金流量比率(%),6.6,0.53,-2.54,9.02,9.77,12.1,12.04,30.11,8.83,5.57,4.11,5.27,5.24,8.29,</tr>
