报告期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
营业收入(万元),162239,85446,96173,85953,101224,115599,81025,58738,57951,53090,46243,41423,
营业成本(万元),97779,50741,62878,49936,61327,76991,54642,38853,40947,36941,30883,27887,
营业利润(万元),-44091,4516,5651,13745,18598,18584,11377,6695,5505,5388,5201,4437,
利润总额(万元),17420,9589,10023,15905,19321,19261,11755,7261,5889,5406,5190,4414,
所得税费用(万元),3625,2078,2670,2703,2619,3454,1985,1228,953,1053,455,473,
净利润(万元),13795,7510,7352,13203,16702,15807,9770,6033,4936,4353,4735,3941,
基本每股收益,0.22,0.11,0.12,0.29,0.88,1.57,1.3,1.02,0.81,0.72,0.74,0.56,
货币资金(万元),96413,22874,21254,26285,58860,43753,78773,23600,12241,13760,10663,10115,
应收账款(万元),69371,49057,47299,47989,52904,31839,19915,19178,15504,12525,10804,9472,
存货(万元),117810,59268,56638,61468,44109,53331,37957,15676,17064,14637,14340,12243,
流动资产合计(万元),334553,156994,146597,157569,169580,157107,150250,68961,50339,44780,38773,34191,
固定资产净额(万元),138345,100703,62054,55157,54440,43208,25312,13918,12804,12058,11225,10186,
资产总计(万元),654088,417984,388616,374606,358024,285300,206227,99522,70672,60639,51892,47217,
流动负债合计(万元),170661,103547,80144,72703,73031,71504,52614,26866,34156,34158,24675,23178,
非流动负债合计(万元),147046,111727,112057,109320,100709,104996,57742,38027,7451,2050,5642,5388,
负债合计(万元),317707,215274,192202,182022,173740,176499,110357,64893,41608,36208,30318,28567,
所有者权益(或股东权益)合计(万元),336381,202710,196414,192584,184284,108801,95871,34629,29064,24431,21575,18651,
期初现金及现金等价物余额(万元),36025,21254,26285,58860,43753,78996,23600,12241,13760,10663,10115,6573,
经营活动产生的现金流量净额(万元),-20142,-4355,9283,-2615,-2184,-2764,26059,7733,4085,6848,5373,6765,
投资活动产生的现金流量净额(万元),-17781,-6694,-19380,-16412,-37387,-25070,-23024,-8533,-6481,-3038,-1250,-3080,
筹资活动产生的现金流量净额(万元),96672,12490,5065,-13541,54679,-7394,52148,12160,909,-697,-3579,-142,
现金及现金等价物净增加额(万元),58773,1460,-5031,-32575,15107,-35243,55173,11360,-1519,3096,548,3543,
期末现金及现金等价物余额(万元),94797,22715,21254,26285,58860,43753,78773,23600,12241,13760,10663,10115,
