报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),162239,85446,96173,85953,101224,115599,81025,58738,57951,53090,46243,41423,
营业收入(万元),162239,85446,96173,85953,101224,115599,81025,58738,57951,53090,46243,41423,
利息收入(万元),--,--,--,--,--,--,--,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,0,0,0,0,0,
营业总成本(万元),206330,80930,90524,72207,82626,97012,69648,52043,52444,47702,41043,36985,
营业成本(万元),97779,50741,62878,49936,61327,76991,54642,38853,40947,36941,30883,27887,
利息支出(万元),--,--,--,--,--,--,--,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,0,0,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,0,0,0,0,0,
营业税金及附加(万元),942,562,478,418,734,487,381,371,261,225,179,188,
销售费用(万元),10876,4459,4463,4847,4190,3985,3046,2371,2453,2122,1839,1710,
管理费用(万元),90405,20345,17898,16045,13272,14416,11453,9163,7798,7885,7109,6771,
财务费用(万元),2737,1679,1019,105,658,275,7,568,600,341,310,245,
资产减值损失(万元),3592,3145,3788,856,2445,860,118,716,386,188,722,184,
公允价值变动收益(万元),--,--,--,--,--,--,--,0,0,0,0,0,
投资收益(万元),--,--,1,--,--,-3,--,0,-1,0,0,-1,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,0,0,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,0,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,0,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,0,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,0,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,0,0,0,0,0,
营业利润(万元),-44091,4516,5651,13745,18598,18584,11377,6695,5505,5388,5201,4437,
营业外收入(万元),61687,5183,4501,2259,755,938,413,657,425,46,37,29,
营业外支出(万元),177,110,129,99,33,261,36,91,41,27,48,51,
非流动资产处置损失(万元),34,13,3,9,7,254,34,89,15,25,43,0,
利润总额(万元),17420,9589,10023,15905,19321,19261,11755,7261,5889,5406,5190,4414,
所得税费用(万元),3625,2078,2670,2703,2619,3454,1985,1228,953,1053,455,473,
未确认投资损失(万元),--,--,--,--,--,--,--,0,0,0,0,0,
净利润(万元),13795,7510,7352,13203,16702,15807,9770,6033,4936,4353,4735,3941,
归属于母公司所有者的净利润(万元),9290,3865,4187,10309,14116,13293,8109,4961,3917,3510,3572,3218,
被合并方在合并前实现净利润(万元),2463,--,--,--,--,--,--,0,0,0,0,0,
少数股东损益(万元),4505,3646,3165,2893,2586,2515,1660,1072,1019,842,1163,723,
基本每股收益,0.22,0.11,0.12,0.29,0.88,1.57,1.3,1.02,0.81,0.72,0.74,0.56,
稀释每股收益,0.22,0.11,0.12,0.29,0.88,1.57,1.3,1.02,0.81,0.72,0.74,0.56,
