报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),96413,22874,21254,26285,58860,43753,78773,23600,12241,13760,10663,10115,
结算备付金(万元),--,--,--,--,--,--,--,--,0,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,0,--,0,0,
交易性金融资产(万元),--,--,--,--,0,--,--,--,0,--,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应收票据(万元),27449,16843,12110,11704,7606,6100,2749,4822,2792,1714,806,1146,
应收账款(万元),69371,49057,47299,47989,52904,31839,19915,19178,15504,12525,10804,9472,
预付款项(万元),9834,3485,4206,6183,4724,20835,10110,4846,2085,1535,1791,750,
应收保费(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应收利息(万元),--,--,--,--,0,--,--,--,0,--,0,0,
应收股利(万元),--,--,--,--,0,--,--,--,0,--,0,134,
其他应收款(万元),2053,1622,1432,1621,1373,1250,746,840,653,610,368,330,
应收出口退税(万元), --,--,--,--,--,--,--,--,0,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,0,--,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,0,--,0,0,
存货(万元),117810,59268,56638,61468,44109,53331,37957,15676,17064,14637,14340,12243,
待摊费用(万元),--,--,--,--,--,--,--,--,0,--,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,0,--,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,0,--,0,0,
其他流动资产(万元),11623,3844,3657,2320,4,--,--,--,0,--,0,0,
流动资产合计(万元),334553,156994,146597,157569,169580,157107,150250,68961,50339,44780,38773,34191,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,0,--,0,0,
