报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
流动比率(%),1.96,1.52,1.83,2.17,2.32,2.2,2.86,2.57,1.47,1.31,1.57,1.48,
速动比率(%),1.27,0.94,1.12,1.32,1.72,1.45,2.13,1.98,0.97,0.88,0.99,0.95,
现金比率(%),56.49,22.09,26.52,36.15,80.6,61.19,149.72,87.84,35.84,40.28,43.22,43.64,
利息支付倍数(%),736.52,671.26,1083.72,15252.82,3036.07,7116.21,161896.64,1378.89,1081.87,1683.18,1772.74,1900.05,
资产负债率(%),48.57,51.5,49.46,48.59,48.53,61.86,53.51,65.2,58.87,59.71,58.42,60.5,
长期债务与营运资金比率(%),0.04,--,--,--,0,0.13,0.24,0.55,0.3,--,0,0,
股东权益比率(%),51.43,48.5,50.54,51.41,51.47,38.14,46.49,34.8,41.13,40.29,41.58,39.5,
长期负债比率(%),0.92,--,--,--,0,4.03,11.15,23.11,6.79,--,0,0,
股东权益与固定资产比率(%),243.03,201.14,315.97,348.45,337.79,251.06,376.19,245.54,223.69,199.36,--,--,
负债与所有者权益比率(%),94.45,106.2,97.86,94.52,94.28,162.22,115.11,187.39,143.16,148.21,140.52,153.17,
长期资产与长期资金比率(%),93.33,--,--,--,102.26,106.56,47.09,53.03,60.04,--,60.81,69.84,
资本化比率(%),1.75,--,--,--,0,9.56,19.35,39.91,14.17,--,0,0,
固定资产净值率(%),73.57,74.96,68.55,69.41,72.46,71.09,62.48,50.73,51.49,51,--,--,
资本固定化比率(%),94.99,128.75,123.22,112.7,102.26,117.82,58.39,88.25,69.96,64.91,60.81,69.84,
产权比率(%),52.52,51.08,40.8,37.75,39.63,76.29,78.87,144,134.04,139.82,114.37,124.27,
清算价值比率(%),310.2,--,--,--,419.15,279.93,267.72,191.95,173.41,--,209.51,202.79,
固定资产比重(%),21.16,24.11,16,14.75,15.24,15.19,12.36,14.17,18.39,20.21,0,0,
