报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,
基本每股收益(元),0.18,0.12,0,0.22,0.15,0.06,0,0.11,0.11,0.06,0.01,0.12,0.1,0.06,0.01,0.29,0.23,0.16,0.08,0.88,0.68,0.5,0.18,1.57,1.28,1.03,0.33,1.3,1.06,0.76,0.28,1.02,0.94,0,0,0.81,0,0.47,0.26,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.67,7.03,6.71,11.85,11.76,14.66,14.06,13.73,13.43,13.13,12.64,5.99,--,0,0,4.96,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.99,-0.6,-0.7,-0.33,-0.7,-1.99,-1.21,4.01,1.99,-0.35,-0.71,1.6,--,0,0,0.84,0,0,0,
主营业务收入(万元),50444,63072,41453,58406,54119,31892,17821,33187,20420,20105,11734,39709,18420,21685,16359,26969,16872,23736,18376,28293,16634,29123,27174,32034,27847,30860,24859,25479,20022,18956,16568,18333,11609,14716,14079,18034,13583,14789,11546,
主营业务利润(万元),22191,23047,13692,22180,21835,11961,7542,10351,9157,8541,6095,9882,7592,9024,6319,10095,8132,10890,6483,10321,9187,10512,9144,10923,8893,10538,7767,6720,6566,7356,5360,5074,4302,5316,4822,4271,4162,4150,4161,
营业利润(万元),4551,18781,-9727,-12573,-30810,229,-937,157,2653,1861,-156,230,2414,2920,87,3430,3651,5122,1543,4530,3991,6328,3749,3457,5460,6616,3051,2523,2793,4027,2035,586,1524,2790,1796,374,1933,1604,1594,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,-1,0,0,0,
营业外收支净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),5151,7895,1194,5777,6751,3784,1108,2281,3396,2977,935,2770,2940,3575,737,3869,3951,6112,1973,4722,4428,6375,3795,4028,5497,6647,3089,2790,2821,4077,2066,783,1636,2951,1891,469,2062,1625,1733,
净利润(万元),2747,5118,160,3013,4205,2010,62,-78,1940,1793,210,598,1583,1829,178,2372,2458,4064,1415,3587,2990,4877,2663,2502,4064,4576,2151,1698,1973,3012,1427,387,1149,2139,1286,540,1077,1018,1282,
净利润(扣除非经常性损益后)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-20909,-84,-502,-20142,-15064,-6927,-1152,-4355,-9851,-8252,-4903,9283,-296,-3669,-8627,-2615,-8748,-7584,-3422,-2184,-17452,-9054,-10656,-2764,-5921,-12955,-7858,26059,12944,-2285,-4621,7733,6620,2651,-3390,4085,1015,-2606,-546,
现金及现金等价物净增加额(万元),-23997,-8424,-14537,58773,79570,-1791,-1728,1460,-5788,-7657,-8321,-5031,-10859,-8665,-13191,-32575,-26933,-21246,-10014,15107,31966,-19601,-15067,-35243,-21962,-21989,-14524,55173,47733,43759,43241,11360,2913,927,-2908,-1519,-3155,-5731,-5049,
总资产(万元),772037,712316,677749,654088,665082,435224,427243,417984,419045,409170,394718,388616,395026,393805,371899,374606,371843,367719,358194,358024,355250,287119,276852,285300,238127,229656,215626,206227,189574,164746,154756,99522,--,75569,71432,70672,71614,66738,60338,
流动资产(万元),429780,387909,356626,334553,365606,173840,166583,156994,165510,157785,149598,146597,157700,162015,149619,157569,164319,164372,165636,169580,210163,148348,141651,157107,170102,167289,156039,150250,139883,126630,119691,68961,--,52110,50679,50339,51721,47298,43723,
总负债(万元),429235,370645,341191,317707,333691,230934,224317,215274,217804,210737,197606,192202,200106,201309,178784,182022,180021,179195,172704,173740,175384,171411,165710,176499,130669,126711,117552,110357,96046,73614,67303,64893,--,42766,40980,41608,43384,39886,34686,
流动负债(万元),267066,221871,185405,170661,173546,118748,108594,103547,107001,100827,86635,80144,88661,90780,70058,72703,72374,74309,69677,73031,68379,64534,60746,71504,66988,68993,59802,52614,43118,34520,29308,26866,--,33869,30086,34156,32751,29734,30022,
股东权益不含少数股东权益(万元),326208,323461,319381,319194,314391,187954,187007,186945,187026,185091,183296,183087,182488,180906,182600,182422,180048,177589,175285,173870,170325,106863,101988,100170,99408,95311,91381,89230,87287,85316,82153,29010,--,27472,25527,24039,23599,22526,21523,
净资产收益率加权(%),2.49,1.64,0.05,3.6,2.58,1.11,0.03,2.09,2.13,1.09,0.11,2.29,1.96,1.09,0.1,5.79,4.48,3.11,0.81,11.14,9.44,7.28,2.62,13.89,11.4,7.27,2.38,10.61,9.36,7.33,4.8,18.7,--,0,0,17.72,0,0,6.14,
