报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
基本每股收益(元),0.22,0.11,0.12,0.29,0.88,1.57,1.3,1.02,0.81,0.72,0.74,0.56,
每股净资产(元),--,--,--,--,--,11.85,13.73,5.99,4.96,4.16,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,-0.33,4.01,1.6,0.84,1.41,--,--,
主营业务收入(万元),162239,85446,96173,85953,101224,115599,81025,58738,57951,53090,46243,41423,
主营业务利润(万元),63518,34143,32817,35599,39163,38122,26002,19514,16744,15924,15181,13347,
营业利润(万元),-44091,4516,5651,13745,18598,18584,11377,6695,5505,5388,5201,4437,
投资收益(万元),--,--,1,--,--,-3,--,0,-1,--,--,-1,
营业外收支净额(万元),61511,5072,4372,2160,722,678,378,566,383,18,-11,-22,
利润总额(万元),17420,9589,10023,15905,19321,19261,11755,7261,5889,5406,5190,4414,
净利润(万元),9290,3865,4187,10309,14116,13293,8109,4961,3917,3510,3572,3218,
净利润(扣除非经常性损益后)(万元),-26149,-495,217,8535,13506,13861,7836,4480,3589,3341,--,--,
经营活动产生的现金流量净额(万元),-20142,-4355,9283,-2615,-2184,-2764,26059,7733,4085,6848,5373,6765,
现金及现金等价物净增加额(万元),58773,1460,-5031,-32575,15107,-35243,55173,11360,-1519,3096,548,3543,
总资产(万元),654088,417984,388616,374606,358024,285300,206227,99522,70672,60639,51892,47217,
流动资产(万元),334553,156994,146597,157569,169580,157107,150250,68961,50339,44780,38773,34191,
总负债(万元),317707,215274,192202,182022,173740,176499,110357,64893,41608,36208,30318,28567,
流动负债(万元),170661,103547,80144,72703,73031,71504,52614,26866,34156,34158,24675,23178,
股东权益不含少数股东权益(万元),319194,186945,183087,182422,173870,100170,89230,29010,24039,20168,17659,14762,
净资产收益率加权(%),3.6,2.09,2.29,5.79,11.14,13.89,10.61,18.7,17.72,18.72,22.22,20.85,
