报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
总资产利润率(%),1.39,1,0.1,2.11,1.33,0.78,0.14,1.8,1.43,0.78,0.16,1.89,1.48,0.87,0.14,3.52,2.68,1.82,0.48,4.67,3.49,3.03,1.15,5.54,5.34,3.51,1.18,4.74,3.96,3.1,1.07,6.06,--,5.41,2.19,6.98,5.73,4.08,2.48,7.18,9.12,8.35,
主营业务利润率(%),38.03,35.15,33.03,39.15,39.81,39.23,42.32,39.96,45.53,45.97,51.94,34.12,40.62,40.33,38.63,41.42,43.24,41.25,35.28,38.69,39.55,34.91,33.65,32.98,32.55,32.85,31.25,32.09,34.71,35.79,32.35,33.22,35.74,35.21,34.25,28.89,31.25,31.56,36.04,29.99,32.83,32.22,
总资产净利润率(%),1.5,1.04,0.1,2.57,1.63,0.8,0.14,1.86,1.49,0.8,0.17,1.93,1.52,0.89,0.14,3.6,2.74,1.84,0.48,5.19,3.87,3.04,1.13,6.43,5.73,3.7,1.21,6.39,5.19,3.86,1.31,7.09,--,5.59,2.2,7.52,6.2,4.27,2.48,7.74,9.56,8.35,
成本费用利润率(%),8.29,7.55,2.35,8.59,8.65,9.88,5.85,12.33,15.73,13.56,8.17,11.56,14.63,12.82,4.68,22.29,25.23,23.7,11.96,24.1,25.76,22.86,16.86,20.03,22.54,21.61,14.42,16.91,19.43,21.13,14.55,14.15,19.2,20.24,15.61,11.31,15.52,14.66,17.69,11.38,12.87,12,
营业利润率(%),8.78,8.66,-23.46,-27.18,-30.35,-1.42,-5.26,5.29,8.34,5.36,-1.33,5.88,9.6,7.9,0.53,15.99,17.49,15.83,8.4,18.37,19.29,17.9,13.8,16.08,18.1,17.35,12.27,14.04,15.94,17.06,12.28,11.4,15.12,15.92,12.75,9.5,12.86,12.14,13.8,10.15,11.25,10.71,
主营业务成本率(%),61.23,64.1,66.7,60.27,59.9,60.3,56.71,59.38,53.88,53.51,47.51,65.38,58.82,59.31,60.75,58.1,56.27,58.25,64.13,60.59,59.66,64.23,65.35,66.6,67.11,66.79,68.48,67.44,64.93,63.85,67.15,66.15,63.63,64.05,64.92,70.66,68.34,68.05,63.55,69.58,66.78,67.32,
销售净利率(%),6.92,6.8,1.62,8.5,8.52,6.83,3.28,8.79,11.51,10.05,5.53,7.65,10.38,9.03,3.25,15.36,16.92,15.87,9.34,16.5,16.99,15.47,11.73,13.67,15.23,14.48,10.26,12.06,13.51,14.37,10.01,10.27,13.64,14.2,11.1,8.52,10.28,10.33,12.97,8.2,10.24,9.51,
净资产收益率(%),2.46,1.63,0.05,2.91,2,1.1,0.03,2.07,2.11,1.08,0.11,2.29,1.97,1.11,0.1,5.65,4.41,3.09,0.81,8.12,6.18,7.06,2.61,13.27,10.86,7.06,2.35,9.09,7.35,5.2,1.74,17.1,--,12.47,5.04,16.29,14.31,10.21,5.96,17.41,20.23,21.8,
股本报酬率(%),23.43,134.36,1.47,138.7,19.31,114.16,1.66,116.92,17.07,96.72,1.84,101.87,16.64,85.12,1.51,106.63,28.34,83.12,9.74,212.58,70.36,183.92,20.95,395.62,150.58,372.09,39.26,385.75,115.43,301.84,25.53,407.32,113.76,353.58,292.05,354.57,335.36,56.17,267.64,332.89,97.75,81.36,
净资产报酬率(%),3.13,18.01,0.2,18.88,2.67,19.68,0.29,20.31,2.99,17.17,0.33,18.27,3.01,15.57,0.28,19.5,5.2,15.53,0.93,20.31,6.89,24.18,2.87,30.73,11.84,23.49,2.6,26.15,8.02,21.53,1.9,56.98,--,52.21,46.45,59.09,57.54,10.13,50.54,66,21.95,21.13,
