报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
总资产利润率(%),2.11,1.8,1.89,3.52,4.67,5.54,4.74,6.06,6.98,7.18,9.12,8.35,
主营业务利润率(%),39.15,39.96,34.12,41.42,38.69,32.98,32.09,33.22,28.89,29.99,32.83,32.22,
总资产净利润率(%),2.57,1.86,1.93,3.6,5.19,6.43,6.39,7.09,7.52,7.74,9.56,8.35,
成本费用利润率(%),8.59,12.33,11.56,22.29,24.1,20.03,16.91,14.15,11.31,11.38,12.87,12,
营业利润率(%),-27.18,5.29,5.88,15.99,18.37,16.08,14.04,11.4,9.5,10.15,11.25,10.71,
主营业务成本率(%),60.27,59.38,65.38,58.1,60.59,66.6,67.44,66.15,70.66,69.58,66.78,67.32,
销售净利率(%),8.5,8.79,7.65,15.36,16.5,13.67,12.06,10.27,8.52,8.2,10.24,9.51,
净资产收益率(%),2.91,2.07,2.29,5.65,8.12,13.27,9.09,17.1,16.29,17.41,20.23,21.8,
股本报酬率(%),138.7,116.92,101.87,106.63,212.58,395.62,385.75,407.32,354.57,332.89,97.75,81.36,
净资产报酬率(%),18.88,20.31,18.27,19.5,20.31,30.73,26.15,56.98,59.09,66,21.95,21.13,
资产报酬率(%),9.71,9.85,9.23,10.03,10.46,11.72,12.16,19.83,24.3,26.59,9.12,8.35,
销售毛利率(%),--,--,--,--,--,33.4,32.56,33.85,29.34,30.42,33.22,32.68,
三项费用比重(%),64.11,30.99,24.31,24.43,17.9,16.16,17.9,20.6,18.72,19.49,20.02,21.07,
非主营比重(%),353.11,52.9,43.63,13.58,3.74,3.5,3.21,7.79,6.48,0.34,-0.2,-0.53,
主营利润比重(%),364.64,356.08,327.43,223.82,202.7,197.92,221.2,268.74,284.34,294.56,292.5,302.36,
