报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
应收账款周转率(次),2.04,1.34,0.59,2.74,1.54,0.94,0.35,1.77,1.01,0.63,0.24,2.02,1.1,0.73,0.33,1.7,1.05,0.71,0.33,2.39,1.63,1.27,0.74,4.47,3.08,2.15,1.12,4.15,2.58,1.69,0.77,3.39,--,1.64,0.78,4.14,2.55,1.75,0.83,4.55,4.56,4.37,
应收账款周转天数(天),132.3,133.98,153.14,131.39,175.09,191.73,256.12,202.98,268.55,285.04,368.7,178.34,246.42,247.9,271.9,211.29,256.8,253.24,272.4,150.69,165.97,141.31,121.95,80.59,87.53,83.75,80.7,86.85,104.53,106.46,117.07,106.28,--,109.46,114.69,87.06,106.02,102.66,108.76,79.1,78.93,82.32,
存货周转率(次),0.62,0.49,0.22,1.1,0.7,0.47,0.16,0.88,0.44,0.27,0.09,1.06,0.5,0.35,0.16,0.95,0.64,0.53,0.26,1.26,0.87,0.74,0.36,1.69,1.18,0.79,0.4,2.04,1.52,1.14,0.66,2.37,--,1.15,0.56,2.58,1.67,1.11,0.49,2.55,2.32,2.28,
固定资产周转率(次),--,0.77,--,1.36,--,0.49,--,1.05,--,0.52,--,1.64,--,0.7,--,1.57,--,0.77,--,2.07,--,1.25,--,3.36,--,2.2,--,4.09,--,2.54,--,4.34,--,2.16,1.08,4.59,3.3,4.3,0.94,8.66,--,0.88,
总资产周转率(次),0.22,0.15,0.06,0.3,0.19,0.12,0.04,0.21,0.13,0.08,0.03,0.25,0.15,0.1,0.04,0.23,0.16,0.12,0.05,0.31,0.23,0.2,0.1,0.47,0.38,0.26,0.12,0.53,0.38,0.27,0.13,0.69,--,0.39,0.2,0.88,0.6,0.41,0.19,0.94,--,0.88,
存货周转天数(天),437.39,368.32,405.59,325.97,388.27,382.98,550.46,411.19,617.71,671.14,978.26,338.09,537.63,518.43,568.9,380.55,420.63,341.62,346.95,285.99,310.2,244.76,251.4,213.42,229.65,228.17,222.83,176.67,177.87,158.33,136.49,151.67,--,156.44,161.17,139.36,161.42,162.38,184.46,141.2,154.94,158.05,
总资产周转天数(天),1242.52,1176.47,1446.95,1189.3,1408.45,1545.06,2132.7,1698.91,2086.55,2255.64,3000,1428.57,1840.49,1818.18,2054.79,1534.53,1670.79,1550.39,1754.39,1143.95,1185.77,915.1,930.71,765.31,717.89,703.95,763.36,679.25,702.58,669.39,690.71,521.59,--,457.08,454.09,407.84,447.32,435.31,471.45,381.52,--,410.35,
流动资产周转率(次),0.41,0.29,0.12,0.66,0.4,0.3,0.11,0.56,0.33,0.21,0.08,0.63,0.36,0.24,0.11,0.53,0.35,0.25,0.11,0.62,0.4,0.37,0.18,0.75,0.52,0.35,0.16,0.74,0.53,0.36,0.18,0.98,--,0.56,0.28,1.22,0.83,0.57,0.26,1.27,1.27,121.15,
流动资产周转天数(天),665.84,621.98,750.63,545.37,679.42,599,816.7,639.55,806.21,860.42,1136.36,569.26,753.77,755.98,845.07,685.06,764.22,713.72,821.17,580.93,679.76,488.33,494.78,478.6,517.54,512.97,554.53,487.01,507.61,495.46,512.53,365.59,--,320.23,322.81,295.45,326.36,314.69,344.96,283.29,284,2.97,
经营现金净流量对销售收入比率(%),-0.13,-0,-0.01,-0.12,-0.15,-0.14,-0.06,-0.05,-0.19,-0.26,-0.42,0.1,-0.01,-0.1,-0.53,-0.03,-0.15,-0.18,-0.19,-0.02,-0.24,-0.16,-0.39,-0.02,-0.07,-0.23,-0.32,0.32,0.23,-0.06,-0.28,0.13,0.16,0.09,-0.24,0.07,0.03,-0.1,-0.05,0.13,0.12,0.16,
