报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
应收账款周转率(次),2.74,1.77,2.02,1.7,2.39,4.47,4.15,3.39,4.14,4.55,4.56,4.37,
应收账款周转天数(天),131.39,202.98,178.34,211.29,150.69,80.59,86.85,106.28,87.06,79.1,78.93,82.32,
存货周转率(次),1.1,0.88,1.06,0.95,1.26,1.69,2.04,2.37,2.58,2.55,2.32,2.28,
固定资产周转率(次),1.36,1.05,1.64,1.57,2.07,3.36,4.09,4.34,4.59,8.66,--,0.88,
总资产周转率(次),0.3,0.21,0.25,0.23,0.31,0.47,0.53,0.69,0.88,0.94,--,0.88,
存货周转天数(天),325.97,411.19,338.09,380.55,285.99,213.42,176.67,151.67,139.36,141.2,154.94,158.05,
总资产周转天数(天),1189.3,1698.91,1428.57,1534.53,1143.95,765.31,679.25,521.59,407.84,381.52,--,410.35,
流动资产周转率(次),0.66,0.56,0.63,0.53,0.62,0.75,0.74,0.98,1.22,1.27,1.27,121.15,
流动资产周转天数(天),545.37,639.55,569.26,685.06,580.93,478.6,487.01,365.59,295.45,283.29,284,2.97,
经营现金净流量对销售收入比率(%),-0.12,-0.05,0.1,-0.03,-0.02,-0.02,0.32,0.13,0.07,0.13,0.12,0.16,
资产的经营现金流量回报率(%),-0.03,-0.01,0.02,-0.01,-0.01,-0.01,0.13,0.08,0.06,0.11,0.1,0.14,
经营现金净流量与净利润的比率(%),-1.46,-0.58,1.26,-0.2,-0.13,-0.17,2.67,1.28,0.83,1.57,1.13,1.72,
经营现金净流量对负债比率(%),-0.06,-0.02,0.05,-0.01,-0.01,-0.02,0.24,0.12,0.1,0.19,0.18,0.24,
现金流量比率(%),-11.8,-4.21,11.58,-3.6,-2.99,-3.87,49.53,28.78,11.96,20.05,21.78,29.19,</tr>
