报告期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业收入(万元),45708,29317,36705,28020,30451,23017,22197,15284,13857,
营业成本(万元),20400,15047,17803,13487,16954,12963,12274,8196,7212,
营业利润(万元),9305,1291,7329,4997,5799,3343,5127,3567,2669,
利润总额(万元),10108,2033,7783,5519,6076,3989,5589,3789,2917,
所得税费用(万元),1382,-131,878,706,890,633,762,525,386,
净利润(万元),8726,2164,6905,4813,5186,3356,4827,3264,2531,
基本每股收益,0.23,0.06,0.3,0.44,0.47,0.46,0.77,0.52,0.4,
货币资金(万元),36823,18811,19535,41706,41497,40598,10967,10946,9248,
应收账款(万元),23137,9980,7694,5560,7017,5361,4002,1674,1112,
存货(万元),14015,12984,11809,6661,5561,5714,3743,3188,3820,
流动资产合计(万元),83994,48606,55556,55667,55064,52679,19630,16001,14999,
固定资产净额(万元),15697,15145,14469,5872,1398,1230,1223,978,934,
资产总计(万元),126325,70026,75971,67115,61849,56678,21933,17059,16054,
流动负债合计(万元),35477,10111,13581,9915,9288,7031,6313,6024,7657,
非流动负债合计(万元),887,771,993,1015,294,45,332,575,200,
负债合计(万元),36364,10882,14575,10930,9581,7076,6645,6598,7857,
所有者权益(或股东权益)合计(万元),89961,59144,61397,56185,52267,49602,15288,10461,8197,
期初现金及现金等价物余额(万元),18030,19535,41706,41497,40598,10967,10946,9248,6838,
经营活动产生的现金流量净额(万元),15245,-5636,1844,5544,5764,786,2376,3463,2985,
投资活动产生的现金流量净额(万元),1733,7620,-22389,-4644,-3179,-2239,-1338,238,-354,
筹资活动产生的现金流量净额(万元),723,-3801,-1685,-557,-1655,31115,-1000,-2000,-182,
现金及现金等价物净增加额(万元),18438,-1505,-22171,209,899,29632,20,1698,2410,
期末现金及现金等价物余额(万元),36468,18030,19535,41706,41497,40598,10967,10946,9248,
