报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),36823,18811,19535,41706,41497,40598,10967,10946,9248,
结算备付金(万元),--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,0,0,121,
衍生金融资产(万元),--,--,--,--,--,--,0,0,0,
应收票据(万元),220,--,--,--,--,--,0,0,0,
应收账款(万元),23137,9980,7694,5560,7017,5361,4002,1674,1112,
预付款项(万元),1069,506,965,541,438,548,67,20,463,
应收保费(万元),--,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,0,0,0,
应收利息(万元),32,2,11,209,246,192,0,0,0,
应收股利(万元),--,--,--,--,--,--,0,0,0,
其他应收款(万元),2248,1570,1233,537,304,265,851,172,235,
应收出口退税(万元), --,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,0,0,0,
存货(万元),14015,12984,11809,6661,5561,5714,3743,3188,3820,
待摊费用(万元),--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,0,0,0,
其他流动资产(万元),6449,4752,14310,453,--,--,0,0,0,
流动资产合计(万元),83994,48606,55556,55667,55064,52679,19630,16001,14999,
发放贷款及垫款(万元),--,--,--,--,--,--,0,0,0,
可供出售金融资产(万元),1000,2000,2000,--,--,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,0,0,0,
长期应收款(万元),--,--,--,--,--,--,0,0,0,
长期股权投资(万元),--,--,--,--,--,--,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,0,0,0,
固定资产原值(万元),19599,17886,16412,7248,2426,2057,1821,1396,0,
累计折旧(万元),3903,2740,1943,1377,1029,827,599,418,0,
固定资产净值(万元),15697,15145,14469,5872,1398,1230,1223,978,0,
固定资产减值准备(万元),--,--,--,--,--,--,0,0,0,
固定资产(万元),15697,15145,14469,5872,1398,1230,1223,978,934,
在建工程(万元),--,--,--,2882,3065,507,16,0,0,
工程物资(万元),--,--,--,--,--,--,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,0,0,0,
油气资产(万元),--,--,--,--,--,--,0,0,0,
无形资产(万元),2063,2119,2175,2165,2183,2188,899,40,29,
开发支出(万元),--,--,--,--,--,--,0,0,0,
商誉(万元),19053,916,916,--,--,--,0,0,0,
长期待摊费用(万元),--,--,--,--,--,--,72,0,0,
股权分置流通权(万元),--,--,--,--,--,--,0,0,0,
递延所得税资产(万元),1734,1239,855,529,140,74,94,40,92,
其他非流动资产(万元),2784,--,--,--,--,--,0,0,0,
非流动资产合计(万元),42331,21421,20415,11448,6785,3999,2303,1058,1055,
资产总计(万元),126325,70026,75971,67115,61849,56678,21933,17059,16054,
短期借款(万元),2500,--,--,--,--,--,0,0,0,
向中央银行借款(万元),--,--,--,--,--,--,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,0,0,0,
拆入资金(万元),--,--,--,--,--,--,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,0,0,0,
应付票据(万元),2189,862,756,1012,1643,1701,2138,0,0,
应付账款(万元),9446,5261,6100,2851,3322,2806,1922,3038,2263,
