报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,
流动比率(%),2.53,2.79,3.25,2.37,4.95,5.14,5.71,4.81,5,5.07,5.19,4.09,5.6,6.38,5.8,5.61,7.01,7.27,5.54,5.93,8.15,8.64,7.27,7.49,10.25,9.39,3.56,3.11,--,--,--,2.66,1.96,
速动比率(%),1.94,2.36,2.69,1.97,3.73,3.91,4.13,3.52,3.75,3.94,4.06,3.22,4.41,5.23,4.83,4.94,6.09,6.44,4.92,5.33,7.25,7.77,6.28,6.68,9.25,8.57,2.51,2.52,--,--,--,2.13,1.46,
现金比率(%),79.07,99.04,137.6,103.79,150.96,111.36,184.85,186.04,124.65,126.45,163.48,143.84,325.76,404.03,399.89,420.62,468.77,529.99,410.8,446.8,585.97,648.46,536.7,577.38,797.58,714.09,142.4,173.72,--,--,--,181.72,120.78,
利息支付倍数(%),1124.65,1506.06,746.65,-563.74,-1439.07,-893.72,-1113.67,-226.69,-66.07,77.8,99.38,-657.17,-583.12,-682.18,-1259.12,-523.48,-589.8,-741.98,-229.35,-490.37,-409.17,-466.78,-61.67,-626.54,-3929.06,-5758.38,-996.06,-7693.06,--,--,-128.22,-4696.9,-4978.29,
资产负债率(%),28.72,25.67,21.82,28.79,15.57,14.39,13.27,15.54,14.04,14.97,15.12,19.18,14.61,14.11,15.8,16.29,13.72,13.33,17.39,15.49,11.12,10.6,12.76,12.49,9.68,10.77,26.62,30.3,--,--,--,38.68,48.94,
长期债务与营运资金比率(%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,--,0,0,
股东权益比率(%),71.28,74.33,78.18,71.21,84.43,85.61,86.73,84.46,85.96,85.03,84.88,80.82,85.39,85.89,84.2,83.71,86.28,86.67,82.61,84.51,88.88,89.4,87.24,87.51,90.32,89.23,73.38,69.7,--,--,--,61.32,51.06,
长期负债比率(%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,--,0,0,
股东权益与固定资产比率(%),--,663.41,--,573.13,--,392.83,--,390.51,--,397.02,--,424.34,--,941.13,--,956.85,--,1050.74,--,3739.89,--,3874.33,--,4032.59,--,3877.99,--,1250.37,--,--,--,1069.33,--,
负债与所有者权益比率(%),40.28,34.53,27.92,40.42,18.44,16.81,15.3,18.4,16.33,17.6,17.81,23.74,17.11,16.43,18.77,19.45,15.9,15.38,21.05,18.33,12.51,11.86,14.63,14.27,10.71,12.07,36.27,43.46,--,--,--,63.08,95.85,
长期资产与长期资金比率(%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.26,--,--,--,--,14.81,15.06,--,--,--,10.11,12.87,
资本化比率(%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,--,0,0,
固定资产净值率(%),--,78.38,--,80.09,--,83.28,--,84.68,--,86.18,--,88.16,--,79.49,--,81.01,--,81.07,--,57.6,--,57.81,--,59.79,--,63.75,--,67.13,--,--,--,70.05,--,
资本固定化比率(%),40.12,40.9,40.19,47.05,31.93,35.74,34.97,36.22,35.85,35.77,33.79,33.25,31.73,23.17,20.46,20.38,17.6,15.97,14.08,12.98,11.25,10.26,9.02,8.06,7.49,4.92,14.81,15.06,--,--,--,10.11,12.87,
产权比率(%),39.56,33.58,26.98,39.44,17.46,15.77,14.08,17.1,16.1,16.13,16.18,22.12,15.23,14.62,16.95,17.65,14.02,13.67,19.32,17.77,12.42,11.77,14.52,14.18,10.07,11.41,34.16,41.29,--,--,--,57.58,93.41,
清算价值比率(%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,913.3,--,--,--,--,382.04,333.19,--,--,--,282.54,209.29,
固定资产比重(%),--,11.2,--,12.43,--,21.79,--,21.63,--,21.42,--,19.04,--,9.13,--,8.75,--,8.25,--,2.26,--,2.31,--,2.17,--,2.3,0,5.57,--,--,--,5.73,0,
