报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
流动比率(%),2.37,4.81,4.09,5.61,5.93,7.49,3.11,2.66,1.96,
速动比率(%),1.97,3.52,3.22,4.94,5.33,6.68,2.52,2.13,1.46,
现金比率(%),103.79,186.04,143.84,420.62,446.8,577.38,173.72,181.72,120.78,
利息支付倍数(%),-563.74,-226.69,-657.17,-523.48,-490.37,-626.54,-7693.06,-4696.9,-4978.29,
资产负债率(%),28.79,15.54,19.18,16.29,15.49,12.49,30.3,38.68,48.94,
长期债务与营运资金比率(%),--,--,--,--,--,--,0,0,0,
股东权益比率(%),71.21,84.46,80.82,83.71,84.51,87.51,69.7,61.32,51.06,
长期负债比率(%),--,--,--,--,--,--,0,0,0,
股东权益与固定资产比率(%),573.13,390.51,424.34,956.85,3739.89,4032.59,1250.37,1069.33,--,
负债与所有者权益比率(%),40.42,18.4,23.74,19.45,18.33,14.27,43.46,63.08,95.85,
长期资产与长期资金比率(%),--,--,--,--,--,--,15.06,10.11,12.87,
资本化比率(%),--,--,--,--,--,--,0,0,0,
固定资产净值率(%),80.09,84.68,88.16,81.01,57.6,59.79,67.13,70.05,--,
资本固定化比率(%),47.05,36.22,33.25,20.38,12.98,8.06,15.06,10.11,12.87,
产权比率(%),39.44,17.1,22.12,17.65,17.77,14.18,41.29,57.58,93.41,
清算价值比率(%),--,--,--,--,--,--,333.19,282.54,209.29,
固定资产比重(%),12.43,21.63,19.04,8.75,2.26,2.17,5.57,5.73,0,
