报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,
总资产利润率(%),5.64,4.19,0.66,6.91,7.67,3.83,-0.95,3.09,2.13,0.22,0.06,9.09,6.85,5.88,2.18,7.17,6.17,5.18,1.18,8.38,6.35,4.8,0.67,5.92,5.32,4.07,1.02,22.01,--,--,--,19.13,15.77,
主营业务利润率(%),37.59,36.81,36.56,54.26,56.31,53.45,43.28,47.97,47.37,42.21,41.92,50.72,50.77,50.78,52.85,50.75,52.55,53.74,51.19,43.32,41.9,40.58,36.93,42.36,45.16,45.05,46.4,44.21,--,--,45.84,45.91,47.39,
总资产净利润率(%),6.22,4.48,0.68,8.89,8.1,3.93,-0.95,2.96,2.03,0.21,0.06,9.65,6.94,5.9,2.2,7.46,6.26,5.21,1.21,8.75,6.37,4.76,0.68,8.54,7.59,5.8,1,24.76,--,--,--,19.71,15.77,
成本费用利润率(%),17.66,18.17,8.64,27.64,32.04,23.02,-12.98,7.25,6.95,0.79,0.03,26.86,29.58,36.45,29.12,24.19,31.28,37.82,20.94,24.92,26.32,27.58,9.71,20.38,23.41,25.51,7.66,33.08,--,--,1.71,32.26,26.81,
营业利润率(%),13.06,13.23,5.96,20.36,23.73,16.92,-17.91,4.4,2.1,-0.66,-0.25,19.97,21.99,26.07,21.91,17.83,22.04,26.79,16.31,19.04,19.83,20.86,8.6,14.52,18.22,19.74,6.69,23.1,--,--,1.67,23.33,19.26,
主营业务成本率(%),61.26,62,61.54,44.63,43.31,46.13,56.23,51.32,51.96,56.96,57.96,48.5,48.79,48.99,47.09,48.13,46.18,45,46.48,55.67,57.34,58.85,61.77,56.32,54.35,54.47,53.15,55.3,--,--,53.72,53.63,52.05,
销售净利率(%),13.38,13.69,5.89,19.09,21.46,15.74,-12.46,7.38,7.17,1.04,0.69,18.81,19.55,22.88,18.73,17.18,20.05,23.15,14.19,17.03,17.47,18.11,7.36,14.58,16.27,17.4,6.85,21.75,--,--,1.32,21.35,18.27,
净资产收益率(%),8.01,5.75,0.87,9.64,9.05,4.37,-1.09,3.64,2.5,0.27,0.11,11.02,8.02,6.84,2.59,8.57,7.16,5.98,1.43,9.92,7.14,5.37,0.77,6.77,5.9,4.56,1.39,31.57,--,--,0.25,31.2,30.88,
股本报酬率(%),14.34,17.32,2.17,31.7,15.87,15.94,-1.79,13.13,3.93,6.65,0.2,40.04,21.34,25.19,13.52,55.99,35.56,40.25,6.96,56.91,33.15,33.05,4.6,49.81,34.49,34.78,--,--,--,--,--,--,--,
净资产报酬率(%),7.91,9.79,0.85,14.04,9.09,9.59,-1.09,8.29,2.48,4.3,0.07,14.41,8.02,9.58,2.59,11.02,7.16,8.2,1.43,11.89,7.14,7.25,0.77,8.43,5.9,6.03,1.39,35.49,--,--,--,35.2,30.88,
资产报酬率(%),5.64,7.28,0.66,10,7.67,8.21,-0.95,7,2.13,3.66,0.06,11.65,6.85,8.23,2.18,9.22,6.17,7.11,1.18,10.05,6.35,6.48,0.67,7.38,5.32,5.38,1.02,24.74,--,--,--,21.58,15.77,
销售毛利率(%),38.74,38,38.46,--,56.69,53.87,43.77,--,48.04,43.04,42.04,--,51.21,51.01,52.91,--,53.82,55,53.52,--,42.66,41.15,38.23,--,45.65,45.53,46.85,44.7,--,--,46.28,46.37,47.95,
三项费用比重(%),23.25,21.65,28.98,34.27,35.38,34.93,62.34,43.57,43.9,41.43,41.3,29.67,28.12,23.79,30.52,32.19,29.54,26.59,33.97,23.37,21.34,19.12,27.3,27.39,26.62,24.36,39.72,20.33,--,--,44.04,22.75,25.92,
非主营比重(%),14.07,14.74,26.78,19.05,21.76,11.69,-19.16,57.98,68.68,184.02,1082.76,5.83,3.91,2.02,3.1,9.46,8.47,2.77,5.91,4.55,5.15,3.67,2.03,16.21,4.46,2.4,6.52,8.27,--,--,0.24,3.69,8.14,
主营利润比重(%),248.43,238.8,457.82,245.38,222.27,284.98,-280.05,691.71,705.65,5401.19,162160.78,239.21,221.86,190.83,233.68,257.65,218.24,195.05,295.37,217.13,200.44,187.36,420.82,244.42,236.76,222.68,648.82,175.58,--,--,2732.63,185.22,225.07,
