报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
总资产利润率(%),6.91,3.09,9.09,7.17,8.38,5.92,22.01,19.13,15.77,
主营业务利润率(%),54.26,47.97,50.72,50.75,43.32,42.36,44.21,45.91,47.39,
总资产净利润率(%),8.89,2.96,9.65,7.46,8.75,8.54,24.76,19.71,15.77,
成本费用利润率(%),27.64,7.25,26.86,24.19,24.92,20.38,33.08,32.26,26.81,
营业利润率(%),20.36,4.4,19.97,17.83,19.04,14.52,23.1,23.33,19.26,
主营业务成本率(%),44.63,51.32,48.5,48.13,55.67,56.32,55.3,53.63,52.05,
销售净利率(%),19.09,7.38,18.81,17.18,17.03,14.58,21.75,21.35,18.27,
净资产收益率(%),9.64,3.64,11.02,8.57,9.92,6.77,31.57,31.2,30.88,
股本报酬率(%),31.7,13.13,40.04,55.99,56.91,49.81,--,--,--,
净资产报酬率(%),14.04,8.29,14.41,11.02,11.89,8.43,35.49,35.2,30.88,
资产报酬率(%),10,7,11.65,9.22,10.05,7.38,24.74,21.58,15.77,
销售毛利率(%),--,--,--,--,--,--,44.7,46.37,47.95,
三项费用比重(%),34.27,43.57,29.67,32.19,23.37,27.39,20.33,22.75,25.92,
非主营比重(%),19.05,57.98,5.83,9.46,4.55,16.21,8.27,3.69,8.14,
主营利润比重(%),245.38,691.71,239.21,257.65,217.13,244.42,175.58,185.22,225.07,
