报告期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
营业收入(万元),230911,226604,170498,148224,106669,65796,34608,20529,14186,6685,
营业成本(万元),82207,76421,58001,52327,39070,23582,12297,7553,5633,3079,
营业利润(万元),63583,72083,55411,50279,33173,21742,10745,6137,3495,1787,
利润总额(万元),65372,73996,59224,50321,33120,21993,10790,6135,3446,1568,
所得税费用(万元),14606,11962,8964,8152,5085,3349,1580,918,776,355,
净利润(万元),50765,62034,50259,42169,28035,18644,9211,5217,2671,1213,
基本每股收益,0.37,0.89,0.77,1.29,1.28,1.7,2.25,1.45,0.89,9.33,
货币资金(万元),201563,144364,153704,153018,124616,135106,150360,4109,2107,746,
应收账款(万元),5439,5183,4347,3996,3695,2232,1298,757,768,364,
存货(万元),33929,30934,22929,23368,20953,11419,6709,3345,1702,1505,
流动资产合计(万元),322951,313511,191222,185871,161709,161762,167598,9243,5085,3580,
固定资产净额(万元),60158,49676,42875,38565,38997,7368,5679,4587,1974,715,
资产总计(万元),532836,490541,270117,245533,210473,189417,175365,14943,7720,4497,
流动负债合计(万元),60629,33479,24336,21422,16950,13394,12913,4228,3492,2276,
非流动负债合计(万元),1838,1676,1012,833,812,411,15,15,0,0,
负债合计(万元),62466,35155,25348,22255,17761,13805,12928,4243,3492,2276,
所有者权益(或股东权益)合计(万元),470370,455386,244770,223278,192712,175612,162437,10700,4227,2221,
期初现金及现金等价物余额(万元),144136,153704,150518,118116,134826,150360,4109,2107,746,62,
经营活动产生的现金流量净额(万元),68465,63489,56064,62651,11122,17399,5461,4188,2536,1280,
投资活动产生的现金流量净额(万元),23645,-221361,-23639,-17126,-16897,-20042,-7876,-3213,-2068,-596,
筹资活动产生的现金流量净额(万元),-34735,148310,-29210,-13123,-10936,-12891,148667,1027,892,0,
现金及现金等价物净增加额(万元),57427,-9568,3186,32402,-16710,-15533,146251,2002,1361,684,
期末现金及现金等价物余额(万元),201563,144136,153704,150518,118116,134826,150360,4109,2107,746,
