报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
销售商品、提供劳务收到的现金(万元),270881,255799,189655,170418,113639,79921,40742,24411,16833,8060,
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,0,0,0,
向中央银行借款净增加额(万元,--,--,--,--,--,--,--,0,0,0,
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,0,0,0,
收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,0,0,0,
收到再保险业务现金净额(万元),--,--,--,--,--,--,--,0,0,0,
保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,0,0,0,
处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,0,0,0,
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,0,0,0,
拆入资金净增加额(万元),--,--,--,--,--,--,--,0,0,0,
回购业务资金净增加额(万元),--,--,--,--,--,--,--,0,0,0,
收到的税费返还(万元),1139,88,--,--,--,1,--,0,0,0,
收到的其他与经营活动有关的现金(万元),6011,9339,9880,10112,5295,1936,149,176,7,712,
经营活动现金流入小计(万元),278031,265226,199535,180530,118935,81858,40891,24587,16839,8772,
购买商品、接受劳务支付的现金(万元),73794,81702,57639,45251,47206,31676,16751,10095,6917,5101,
客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,0,0,0,
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,0,0,0,
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,0,0,0,
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,0,0,0,
支付保单红利的现金(万元),--,--,--,--,--,--,--,0,0,0,
支付给职工以及为职工支付的现金(万元),39861,34550,25435,18960,13194,6692,3034,1794,992,498,
支付的各项税费(万元),45453,38945,30618,25462,14361,9211,5419,3450,2432,564,
支付的其他与经营活动有关的现金(万元),50458,46540,29779,28206,33051,16880,10226,5061,3961,1328,
经营活动现金流出小计(万元),209566,201736,143471,117879,107812,64459,35430,20399,14303,7492,
经营活动产生的现金流量净额(万元),68465,63489,56064,62651,11122,17399,5461,4188,2536,1280,
收回投资所收到的现金(万元),158000,89000,--,--,--,--,--,0,137,0,
取得投资收益所收到的现金(万元),5114,2800,--,--,--,--,--,0,3,7,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),70,25,12,14,3,3,6,15,4,9,
处置子公司及其他营业单位收到的现金净额(万元),--,600,--,--,--,--,--,0,0,0,
收到的其他与投资活动有关的现金(万元),1002,--,--,--,--,--,--,0,0,0,
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,0,0,0,
投资活动现金流入小计(万元),164187,92426,12,14,3,3,6,15,144,17,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),15042,26955,19652,16823,15830,19045,7883,3228,1521,364,
投资所支付的现金(万元),125500,286754,4000,18,70,1000,--,0,26,249,
质押贷款净增加额(万元),--,--,--,--,--,--,--,0,0,0,
取得子公司及其他营业单位支付的现金净额(万元),--,--,--,300,1000,--,--,0,664,0,
支付的其他与投资活动有关的现金(万元),--,78,--,--,--,--,--,0,0,0,
增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,0,0,0,
投资活动现金流出小计(万元),140542,313786,23652,17140,16900,20045,7883,3228,2212,613,
投资活动产生的现金流量净额(万元),23645,-221361,-23639,-17126,-16897,-20042,-7876,-3213,-2068,-596,
吸收投资收到的现金(万元),9681,184710,3598,--,--,--,143561,745,0,0,
