报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
流动比率(%),5.54,5.99,3.8,5.33,5.23,4.93,3.5,9.36,11.84,10.7,5.55,7.86,8.7,9.17,3.98,8.68,11.66,12.51,6.39,9.54,11.54,13.56,14.3,12.08,20.04,33,31.63,12.98,3.38,3.58,--,2.19,--,1.46,1.57,
速动比率(%),5.12,5.45,3.47,4.77,4.88,4.52,3.24,8.44,10.77,9.95,5.23,6.92,7.9,8.4,3.64,7.59,10.3,10.81,5.6,8.3,10.45,12.38,13.15,11.22,18.97,31.35,30.1,12.46,2.26,2.67,--,1.4,--,0.97,0.91,
现金比率(%),416.32,453.67,248.35,332.46,308.82,260.72,166.79,431.2,524.86,499.94,479.23,631.6,661.6,749.18,328.12,714.31,898.88,974.11,465.31,735.22,902.79,1084.01,1125.45,1008.7,1683.84,2869.22,2788.08,1164.42,116.61,183.32,--,97.18,--,60.33,32.78,
利息支付倍数(%),-2627.19,-2935.42,-2307.73,-1416.43,-2163.56,-2513.44,-2348.34,-1343.86,-1505.82,-1590.2,-1497.92,-1250.07,-1638.39,-1900.09,-1797.2,-1363.44,-1575.06,-1573.44,-1677.92,-831.21,-1058.87,-1184.19,-1376.08,-504.38,-565.96,-546.28,-584.93,-7029.31,51757.96,36371.13,--,36928.98,33834.26,62018.17,-66108.45,
资产负债率(%),12.24,10.89,16.5,11.72,12,12.57,18.43,7.17,6.11,7.29,12.94,9.38,8.89,8.48,19.47,9.06,6.76,6.33,12.3,8.44,7.02,6.05,5.94,7.29,4.41,2.71,2.88,7.37,21.3,19.57,--,28.39,--,45.24,50.62,
长期债务与营运资金比率(%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,0,--,0,0,
股东权益比率(%),87.76,89.11,83.5,88.28,88,87.43,81.57,92.83,93.89,92.71,87.06,90.62,91.11,91.52,80.53,90.94,93.24,93.67,87.7,91.56,92.98,93.95,94.06,92.71,95.59,97.29,97.12,92.63,78.7,80.43,--,71.61,--,54.76,49.38,
长期负债比率(%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,0,--,0,0,
股东权益与固定资产比率(%),--,767.06,--,776.95,--,870.03,--,916.49,--,1076.94,--,570.57,--,559.56,--,578.6,--,516.57,--,493.86,--,911.84,--,2357.64,--,2622.46,--,2860.5,--,336.34,--,233.28,--,--,--,
负债与所有者权益比率(%),13.94,12.22,19.77,13.28,13.64,14.38,22.59,7.72,6.5,7.86,14.86,10.36,9.75,9.26,24.18,9.97,7.25,6.75,14.03,9.22,7.55,6.44,6.31,7.86,4.62,2.79,2.97,7.96,27.07,24.33,--,39.65,--,82.61,102.51,
长期资产与长期资金比率(%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.3,--,--,--,35.87,37.57,--,53.28,--,62.32,41.3,
资本化比率(%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,0,--,0,0,
固定资产净值率(%),--,74.13,--,76.01,--,75.79,--,77.89,--,76.92,--,81.23,--,83.5,--,85.83,--,89.25,--,92.61,--,91.79,--,85.57,--,87.07,--,89.3,--,91.17,--,93.65,--,--,--,
资本固定化比率(%),38.78,40.79,46.19,44.62,44.2,45.22,45,38.87,33.28,27.46,34,32.23,27.73,27.29,29.56,26.72,25.66,26.17,26.21,25.3,23.03,22.23,18.74,15.75,12.3,11,9.35,4.78,35.87,37.57,--,53.28,--,62.32,41.3,
产权比率(%),13.56,11.92,19.38,12.89,13.27,14.02,22.19,7.35,6.19,7.51,14.58,9.94,9.43,8.94,23.78,9.59,7,6.44,13.74,8.8,7.32,6.21,6.13,7.63,4.61,2.78,2.96,7.95,26.98,24.24,--,39.51,--,82.61,102.51,
清算价值比率(%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2267.03,--,--,--,464.93,506.58,--,346.84,--,216.5,190.98,
固定资产比重(%),--,11.62,--,11.36,--,10.05,--,10.13,--,8.61,--,15.88,--,16.36,--,15.72,--,18.13,--,18.54,--,10.3,--,3.93,0,3.71,--,3.24,0,23.91,--,30.7,--,0,0,
