报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
流动比率(%),5.33,9.36,7.86,8.68,9.54,12.08,12.98,2.19,1.46,1.57,
速动比率(%),4.77,8.44,6.92,7.59,8.3,11.22,12.46,1.4,0.97,0.91,
现金比率(%),332.46,431.2,631.6,714.31,735.22,1008.7,1164.42,97.18,60.33,32.78,
利息支付倍数(%),-1416.43,-1343.86,-1250.07,-1363.44,-831.21,-504.38,-7029.31,36928.98,62018.17,-66108.45,
资产负债率(%),11.72,7.17,9.38,9.06,8.44,7.29,7.37,28.39,45.24,50.62,
长期债务与营运资金比率(%),--,--,--,--,--,--,--,0,0,0,
股东权益比率(%),88.28,92.83,90.62,90.94,91.56,92.71,92.63,71.61,54.76,49.38,
长期负债比率(%),--,--,--,--,--,--,--,0,0,0,
股东权益与固定资产比率(%),776.95,916.49,570.57,578.6,493.86,2357.64,2860.5,233.28,--,--,
负债与所有者权益比率(%),13.28,7.72,10.36,9.97,9.22,7.86,7.96,39.65,82.61,102.51,
长期资产与长期资金比率(%),--,--,--,--,--,--,--,53.28,62.32,41.3,
资本化比率(%),--,--,--,--,--,--,--,0,0,0,
固定资产净值率(%),76.01,77.89,81.23,85.83,92.61,85.57,89.3,93.65,--,--,
资本固定化比率(%),44.62,38.87,32.23,26.72,25.3,15.75,4.78,53.28,62.32,41.3,
产权比率(%),12.89,7.35,9.94,9.59,8.8,7.63,7.95,39.51,82.61,102.51,
清算价值比率(%),--,--,--,--,--,--,--,346.84,216.5,190.98,
固定资产比重(%),11.36,10.13,15.88,15.72,18.54,3.93,3.24,30.7,0,0,
