报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,
基本每股收益(元),0.55,0.4,0.19,0.37,0.39,0.25,0.31,0.89,0.82,0.59,0.3,0.77,0.73,0.54,0.54,1.29,1.08,0.71,0.54,1.28,1.11,0.82,0.49,1.7,1.35,0.82,0.75,2.25,1.77,1.33,1.45,
每股净资产(元),--,--,--,--,--,3.08,--,--,6.2,5.95,5.66,3.72,3.69,3.5,6.36,6.81,6.55,6.18,8.75,8.81,8.64,8.35,8.02,16.06,15.7,15.17,30.46,29.71,4.38,3.94,2.61,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.26,--,--,0.61,0.59,0.19,0.85,0.6,0.55,0.39,1.91,1.07,0.69,0.21,0.51,0.6,0.41,0.06,1.59,0.92,0.46,0.06,1,1.09,0.92,1.02,
主营业务收入(万元),86368,75049,73605,39630,67949,57741,65592,48544,60355,59941,57764,31999,44682,46203,47614,31950,41039,38812,36423,25706,28144,24868,27951,18122,19595,15058,13022,9544,8909,16155,5741,
主营业务利润(万元),56086,50492,46914,22525,43629,37469,41280,31055,39244,40446,36675,20537,28676,30594,30492,20349,26137,24531,23059,16102,17279,15241,17874,11565,12407,9343,8157,6051,5878,--,3644,
营业利润(万元),27483,34490,35363,-1590,23946,16102,25125,5392,19007,24981,22705,1055,14601,19151,20603,8208,14627,13785,13660,4678,7346,8647,12501,4437,6867,5611,4827,2109,2168,--,1167,
投资收益(万元),0,9088,3015,517,928,959,1517,2203,720,162,95,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
营业外收支净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),27049,36029,35405,-1903,24543,15970,26761,5390,19813,24995,23797,3047,14918,20620,20639,8622,14279,13750,13670,4448,7375,8620,12677,4548,6868,5744,4834,2163,2148,--,1195,
净利润(万元),22096,29907,28320,-3253,20897,13394,22484,5076,16781,21166,20526,2392,12552,17555,17760,6809,12065,11508,11787,3837,6219,7285,10695,3869,5826,4852,4096,1939,1823,--,1071,
净利润(扣除非经常性损益后)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),64271,46190,12563,68465,51812,37470,11656,63489,44300,42633,13891,56064,39745,36294,12755,62651,34973,22497,4665,11122,13192,8868,1352,17399,10045,5050,302,5461,4487,3786,4188,
现金及现金等价物净增加额(万元),89258,64537,20186,57427,47367,19004,16148,-9568,-6993,9102,134157,3186,801,2449,9906,32402,10535,2650,-2272,-16710,-10262,-12111,-14190,-15533,-17151,-17946,-12953,146251,1546,3066,2002,
总资产(万元),587124,552379,551921,532836,531769,511336,531655,490541,481181,467659,473141,270117,266180,251280,259310,245533,230526,216587,218219,210473,203129,194417,186443,189417,179669,170547,171476,175365,22836,20078,14943,
流动资产(万元),387284,351576,339051,322951,324963,309192,336496,313511,330839,348604,333084,191222,198936,188524,197584,185871,175381,163494,168064,161709,159629,153810,153583,161762,158547,152296,155907,167598,16390,14011,9243,
总负债(万元),71846,60146,91088,62466,63838,64278,97983,35155,29389,34069,61207,25348,23653,21304,50487,22255,15578,13704,26844,17761,14255,11761,11072,13805,7926,4630,4943,12928,4864,3929,4243,
流动负债(万元),69855,58654,89289,60629,62085,62661,96239,33479,27952,32565,60067,24336,22872,20551,49654,21422,15036,13065,26293,16950,13829,11346,10744,13394,7911,4615,4928,12913,4849,3914,4228,
股东权益不含少数股东权益(万元),510475,488383,457930,468002,469578,448625,434948,456202,451687,433072,411934,244770,242527,229976,208823,223278,214948,202883,191375,192712,188874,182656,175371,175612,171743,165917,166533,162437,17972,16149,10700,
净资产收益率加权(%),17.05,12.67,5.87,11.76,12.47,7.93,4.82,15.69,14.73,11.29,6.49,22.02,21.23,15.68,7.65,20.57,17.54,11.78,5.93,15.45,13.41,10.04,5.91,11.06,8.83,5.39,2.49,60.18,0,40.58,69.42,
