报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.37,0.89,0.77,1.29,1.28,1.7,2.25,1.45,0.89,9.33,
每股净资产(元),--,--,3.72,6.81,8.81,16.06,29.71,2.61,1.41,17.08,
每股经营活动产生的现金流量净额(元),--,--,0.85,1.91,0.51,1.59,1,1.02,0.85,9.85,
主营业务收入(万元),230911,226604,170498,148224,106669,65796,34608,20529,14186,6685,
主营业务利润(万元),144904,147420,110299,94076,66496,41470,21975,12770,8428,3596,
营业利润(万元),63583,72083,55411,50279,33173,21742,10745,6137,3495,1787,
投资收益(万元),3922,3180,--,--,--,--,--,0,-135,7,
营业外收支净额(万元),1789,1913,3813,42,-52,250,45,-1,-48,-219,
利润总额(万元),65372,73996,59224,50321,33120,21993,10790,6135,3446,1568,
净利润(万元),53521,63550,50259,42169,28035,18644,9211,5217,2671,1213,
净利润(扣除非经常性损益后)(万元),47583,60921,47030,42210,28083,18431,9174,5219,2922,1871,
经营活动产生的现金流量净额(万元),68465,63489,56064,62651,11122,17399,5461,4188,2536,1280,
现金及现金等价物净增加额(万元),57427,-9568,3186,32402,-16710,-15533,146251,2002,1361,684,
总资产(万元),532836,490541,270117,245533,210473,189417,175365,14943,7720,4497,
流动资产(万元),322951,313511,191222,185871,161709,161762,167598,9243,5085,3580,
总负债(万元),62466,35155,25348,22255,17761,13805,12928,4243,3492,2276,
流动负债(万元),60629,33479,24336,21422,16950,13394,12913,4228,3492,2276,
股东权益不含少数股东权益(万元),468002,456202,244770,223278,192712,175612,162437,10700,4227,2221,
净资产收益率加权(%),11.76,15.69,22.02,20.57,15.45,11.06,60.18,69.42,82.94,77.18,
