报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
总资产利润率(%),14.1,10.81,5.23,9.53,10.41,6.87,4.14,12.65,11.99,8.9,4.34,18.61,17.98,14.05,6.85,17.17,15.34,10.76,5.4,13.32,11.91,9.25,5.74,9.84,8.22,5.25,2.39,5.25,31.84,27.14,--,34.91,--,34.59,26.97,
主营业务利润率(%),65.31,65.53,63.74,62.75,63.98,63.85,62.93,65.06,65.35,65.52,63.49,64.69,64.81,65.11,64.04,63.47,63.41,63.25,63.31,62.34,62.24,62.7,63.95,63.03,62.73,62.32,62.64,63.5,63.53,62.19,--,62.2,61.71,59.41,53.79,
总资产净利润率(%),14.78,11,5.32,9.92,10.83,7.01,4.31,16.31,15.36,11.28,5.52,19.49,18.71,14.22,7.04,18.49,16.04,10.91,5.5,14.02,12.33,9.37,5.69,10.22,8.32,5.17,2.36,9.68,38.49,31.11,--,46.04,--,43.72,26.97,
成本费用利润率(%),65.97,79.19,86.88,38.45,52.28,50.79,64.7,47.05,61.46,69.81,68.8,52.32,67.51,76.73,77.65,51.45,56.48,57.54,61.33,45.18,54.8,67.51,83.47,50.1,58.12,60.33,59.85,45.3,52.7,67.29,--,42.67,51.11,32.67,31.53,
营业利润率(%),41.42,46.99,48.04,27.54,34.07,33.43,38.3,31.81,37.45,40.51,39.31,32.5,39.25,42.37,43.27,33.92,36.18,36.48,37.5,31.1,35.19,40.04,44.73,33.04,36.3,37.17,37.07,31.05,34.46,40.03,--,29.89,33.61,24.64,26.73,
主营业务成本率(%),33.23,33.07,35.06,35.6,34.65,34.76,35.62,33.72,33.43,33.16,35.11,34.02,33.82,33.39,34.35,35.3,35.34,35.56,35.54,36.63,36.7,36.24,34.82,35.84,36,36.47,36.22,35.53,35.34,36.71,--,36.79,37.33,39.71,46.06,
销售净利率(%),35.21,40.17,39.2,21.98,28.93,28.48,33.58,27.38,32.41,35.35,35.53,29.48,34.56,37.64,37.3,28.45,30.41,30.96,32.36,26.28,29.89,34.04,38.26,28.34,30.99,31.87,31.45,26.61,29.01,33.73,--,25.41,28.04,18.83,18.14,
净资产收益率(%),15.73,11.92,6.18,11.44,12.09,8,5.17,13.93,12.95,9.63,4.98,20.53,19.74,15.36,8.5,18.89,16.45,11.48,6.16,14.55,12.81,9.84,6.1,10.62,8.6,5.39,2.46,5.67,40.46,33.74,--,48.76,43.06,63.17,54.61,
股本报酬率(%),56.29,55.85,19.62,47.52,38.01,35.4,30.25,104.59,79.28,73.75,28.19,91.44,72.75,66.01,54.13,147.95,107.78,85.43,53.89,142.41,110.64,90.39,48.9,181.96,135.1,90.42,74.91,180.88,--,--,--,--,--,--,--,
净资产报酬率(%),16.06,16.68,6.26,14.85,11.83,11.53,5.08,16.72,12.78,12.38,4.98,24.58,19.74,18.89,8.51,21.74,16.45,13.81,6.16,16.16,12.81,10.82,6.1,11.33,8.6,5.96,2.46,6.09,40.46,36.62,--,51.66,--,63.17,54.61,
资产报酬率(%),14.1,14.86,5.23,13.11,10.41,10.08,4.14,15.52,11.99,11.48,4.34,22.28,17.98,17.29,6.85,19.77,15.34,12.94,5.4,14.8,11.91,10.17,5.74,10.51,8.22,5.8,2.39,5.64,31.84,29.45,--,37,--,34.59,26.97,
销售毛利率(%),66.77,66.93,64.94,64.4,65.35,65.24,64.38,66.28,66.57,66.84,64.89,65.98,66.18,66.61,65.65,64.7,64.66,64.44,64.46,63.37,63.3,63.76,65.18,64.16,64,63.53,63.78,64.47,64.66,63.29,62.88,63.21,62.67,60.29,53.94,
三项费用比重(%),28.83,26.21,19.1,36.39,31.25,32.07,25.99,34.45,28.04,24.9,23.38,31.08,24.89,22.43,19.86,29.46,26.91,26.59,24.5,31.06,26.87,22.42,18.28,29.75,25.69,24.76,24.65,32.33,28.84,21.78,--,32.25,27.07,33.78,28.18,
非主营比重(%),13.45,19.16,8.63,8.74,8.19,9.32,11.78,6.88,4.21,2.8,4.99,6.44,3.24,3.65,0.17,0.08,-0.89,-0.09,0.08,-0.16,0.62,0.7,1.38,1.14,0.8,1.32,0.14,0.41,-0.1,0.17,--,-0.02,-0.6,-5.32,-13.49,
主营利润比重(%),155.86,136.36,132.51,221.66,181.91,184.29,154.25,199.23,169.61,158.06,154.11,186.24,159.79,148.06,147.74,186.95,176.81,173.56,168.68,200.77,175.76,155.49,141,188.57,171.43,165.44,168.74,203.66,184.59,155.06,--,208.13,184.72,244.53,229.34,
