报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
总资产利润率(%),9.53,12.65,18.61,17.17,13.32,9.84,5.25,34.91,34.59,26.97,
主营业务利润率(%),62.75,65.06,64.69,63.47,62.34,63.03,63.5,62.2,59.41,53.79,
总资产净利润率(%),9.92,16.31,19.49,18.49,14.02,10.22,9.68,46.04,43.72,26.97,
成本费用利润率(%),38.45,47.05,52.32,51.45,45.18,50.1,45.3,42.67,32.67,31.53,
营业利润率(%),27.54,31.81,32.5,33.92,31.1,33.04,31.05,29.89,24.64,26.73,
主营业务成本率(%),35.6,33.72,34.02,35.3,36.63,35.84,35.53,36.79,39.71,46.06,
销售净利率(%),21.98,27.38,29.48,28.45,26.28,28.34,26.61,25.41,18.83,18.14,
净资产收益率(%),11.44,13.93,20.53,18.89,14.55,10.62,5.67,48.76,63.17,54.61,
股本报酬率(%),47.52,104.59,91.44,147.95,142.41,181.96,180.88,--,--,--,
净资产报酬率(%),14.85,16.72,24.58,21.74,16.16,11.33,6.09,51.66,63.17,54.61,
资产报酬率(%),13.11,15.52,22.28,19.77,14.8,10.51,5.64,37,34.59,26.97,
销售毛利率(%),64.4,66.28,65.98,64.7,63.37,64.16,64.47,63.21,60.29,53.94,
三项费用比重(%),36.39,34.45,31.08,29.46,31.06,29.75,32.33,32.25,33.78,28.18,
非主营比重(%),8.74,6.88,6.44,0.08,-0.16,1.14,0.41,-0.02,-5.32,-13.49,
主营利润比重(%),221.66,199.23,186.24,186.95,200.77,188.57,203.66,208.13,244.53,229.34,
