报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
应收账款周转率(次),13.48,18.1,6.3,43.48,15.82,15.02,6.4,47.56,18.56,18.57,6.11,40.87,15.33,14.5,6.31,38.55,16.06,15.17,6.12,36,22.58,22.24,8.56,37.28,17.17,14.63,5.28,33.68,18.04,13.28,--,26.92,--,25.07,18.39,
应收账款周转天数(天),20.04,9.94,14.29,8.28,17.07,11.99,14.06,7.57,14.54,9.69,14.74,8.81,17.62,12.41,14.27,9.34,16.81,11.87,14.7,10,11.96,8.1,10.51,9.66,15.73,12.31,17.03,10.69,14.97,13.55,--,13.37,--,14.36,19.58,
存货周转率(次),2.45,1.49,0.82,2.53,2.49,1.5,0.85,2.84,2.26,1.65,0.96,2.51,2.25,1.6,0.82,2.36,1.98,1.24,0.62,2.41,2.24,1.55,0.82,2.6,2.26,1.43,0.66,2.45,2.02,1.71,--,2.99,--,3.51,2.05,
固定资产周转率(次),--,2.38,--,4.19,--,2.44,--,4.89,--,2.83,--,4.18,--,2.35,--,3.82,--,1.92,--,4.59,--,3.84,--,10.02,16.79,4.68,--,6.74,10.93,3.44,--,8.95,--,--,1.49,
总资产周转率(次),0.42,0.27,0.14,0.45,0.37,0.25,0.13,0.6,0.47,0.32,0.16,0.66,0.54,0.38,0.19,0.65,0.53,0.35,0.17,0.53,0.41,0.28,0.15,0.36,0.27,0.16,0.08,0.36,1.33,0.92,--,1.81,--,--,1.49,
存货周转天数(天),110.33,120.86,109.49,142.02,108.28,119.7,106.41,126.87,119.63,109.21,93.46,143.68,120.21,112.56,110.17,152.46,136.41,145.51,145.16,149.14,120.59,116.5,109.81,138.38,119.36,126.09,136.1,147.17,133.78,104.97,--,120.27,--,102.49,175.97,
总资产周转天数(天),643.32,656.93,663.23,797.7,721.54,731.11,701.48,604.23,569.62,564.09,579.15,544.38,498.8,476.57,477.2,553.76,512.04,510.93,529.72,674.79,654.55,654.07,605.25,998.06,1005.21,1108.37,1198.4,989.83,203.48,195.1,--,198.71,--,--,242.16,
流动资产周转率(次),0.66,0.44,0.22,0.73,0.6,0.4,0.2,0.9,0.68,0.44,0.22,0.9,0.72,0.5,0.25,0.85,0.69,0.46,0.22,0.66,0.5,0.33,0.18,0.4,0.29,0.18,0.08,0.39,1.96,1.39,--,2.87,--,3.27,186.74,
流动资产周转天数(天),407.98,408.35,404.68,496.14,450.6,454.43,445.99,400.94,395.84,412.75,408.53,398.1,375.1,359.14,362.46,422.09,391.36,389.02,407.42,545.87,535.93,537.8,507.61,901.13,923.39,1025.06,1118.01,919.78,138.06,129.54,--,125.62,--,109.95,1.93,
经营现金净流量对销售收入比率(%),0.27,0.31,0.17,0.3,0.27,0.3,0.18,0.28,0.25,0.36,0.24,0.33,0.29,0.39,0.27,0.42,0.3,0.3,0.13,0.1,0.16,0.17,0.05,0.26,0.21,0.18,0.02,0.16,0.18,0.23,--,0.2,0.19,0.18,0.19,
资产的经营现金流量回报率(%),0.11,0.08,0.02,0.13,0.1,0.07,0.02,0.13,0.09,0.09,0.03,0.21,0.15,0.14,0.05,0.26,0.15,0.1,0.02,0.05,0.06,0.05,0.01,0.09,0.06,0.03,0,0.03,0.2,0.19,--,0.28,--,0.33,0.28,
经营现金净流量与净利润的比率(%),0.78,0.77,0.44,1.35,0.94,1.07,0.53,1.02,0.77,1.02,0.68,1.12,0.83,1.03,0.72,1.49,0.99,0.97,0.4,0.4,0.55,0.49,0.13,0.93,0.68,0.56,0.07,0.59,0.62,0.69,--,0.8,0.67,0.95,1.06,
经营现金净流量对负债比率(%),0.89,0.77,0.14,1.1,0.81,0.58,0.12,1.81,1.51,1.25,0.23,2.21,1.68,1.7,0.25,2.82,2.25,1.64,0.17,0.63,0.93,0.75,0.12,1.26,1.27,1.09,0.06,0.42,0.92,0.96,--,0.99,--,0.73,0.56,
现金流量比率(%),92.01,78.75,14.07,112.93,83.45,59.8,12.11,189.64,158.48,130.92,23.13,230.38,173.77,176.6,25.69,292.46,232.6,172.2,17.74,65.62,95.4,78.16,12.59,129.9,126.98,109.43,6.12,42.29,92.53,96.73,--,99.06,--,72.63,56.25,</tr>
