报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
应收账款周转率(次),43.48,47.56,40.87,38.55,36,37.28,33.68,26.92,25.07,18.39,
应收账款周转天数(天),8.28,7.57,8.81,9.34,10,9.66,10.69,13.37,14.36,19.58,
存货周转率(次),2.53,2.84,2.51,2.36,2.41,2.6,2.45,2.99,3.51,2.05,
固定资产周转率(次),4.19,4.89,4.18,3.82,4.59,10.02,6.74,8.95,--,1.49,
总资产周转率(次),0.45,0.6,0.66,0.65,0.53,0.36,0.36,1.81,--,1.49,
存货周转天数(天),142.02,126.87,143.68,152.46,149.14,138.38,147.17,120.27,102.49,175.97,
总资产周转天数(天),797.7,604.23,544.38,553.76,674.79,998.06,989.83,198.71,--,242.16,
流动资产周转率(次),0.73,0.9,0.9,0.85,0.66,0.4,0.39,2.87,3.27,186.74,
流动资产周转天数(天),496.14,400.94,398.1,422.09,545.87,901.13,919.78,125.62,109.95,1.93,
经营现金净流量对销售收入比率(%),0.3,0.28,0.33,0.42,0.1,0.26,0.16,0.2,0.18,0.19,
资产的经营现金流量回报率(%),0.13,0.13,0.21,0.26,0.05,0.09,0.03,0.28,0.33,0.28,
经营现金净流量与净利润的比率(%),1.35,1.02,1.12,1.49,0.4,0.93,0.59,0.8,0.95,1.06,
经营现金净流量对负债比率(%),1.1,1.81,2.21,2.82,0.63,1.26,0.42,0.99,0.73,0.56,
现金流量比率(%),112.93,189.64,230.38,292.46,65.62,129.9,42.29,99.06,72.63,56.25,</tr>
