报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),109147,59178,24532,17501,50254,82350,37983,18157,17622,
营业收入(万元),109147,59178,24532,17501,50254,82350,37983,18157,17622,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),94739,48692,18945,13781,30877,50988,22501,12380,10635,
营业成本(万元),66722,32795,14895,8791,22765,39202,16942,7569,9058,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1367,499,284,243,434,901,312,89,121,
销售费用(万元),2160,1195,513,440,584,1032,428,177,127,
管理费用(万元),16003,12511,6102,6005,7220,8194,4336,4009,1136,
财务费用(万元),387,-342,-2583,-2963,-1804,77,67,146,169,
资产减值损失(万元),8100,2034,-267,1265,1679,1581,417,390,25,
公允价值变动收益(万元),4384,--,--,--,--,--,--,--,--,
投资收益(万元),313,252,337,159,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),-6,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),19105,10738,5924,3879,19377,31362,15482,5777,6986,
营业外收入(万元),3152,1973,1177,1252,1008,6323,1508,890,1315,
营业外支出(万元),412,407,156,40,195,153,79,27,38,
非流动资产处置损失(万元),57,19,--,0,74,4,4,4,6,
利润总额(万元),21845,12304,6944,5090,20191,37532,16911,6640,8264,
所得税费用(万元),3445,983,513,794,2829,4882,4243,616,276,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),18400,11321,6431,4297,17362,32651,12667,6024,7987,
归属于母公司所有者的净利润(万元),20375,10461,6581,4339,17362,32651,12667,6024,7987,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-1975,860,-150,-42,--,--,--,--,--,
基本每股收益,0.23,0.12,0.16,0.16,1.42,3.27,1.27,0.6,0.8,
稀释每股收益,0.23,0.12,0.16,0.16,1.42,3.27,1.27,0.6,0.8,
