报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
销售商品、提供劳务收到的现金(万元),73401,37510,32735,23895,21918,92209,54666,20851,21662,
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,
向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,
收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,
收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,
保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,
处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,
拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,
回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,
收到的税费返还(万元),2122,666,918,389,401,4679,585,467,408,
收到的其他与经营活动有关的现金(万元),3064,5320,5758,4351,1627,4652,3499,782,115,
经营活动现金流入小计(万元),78588,43496,39412,28635,23946,101540,58750,22099,22184,
购买商品、接受劳务支付的现金(万元),55259,33271,15411,8830,11755,65519,33534,9553,11048,
客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,
支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,
支付给职工以及为职工支付的现金(万元),12140,7828,4165,2922,3850,4174,2900,1343,571,
支付的各项税费(万元),11733,5687,3477,3102,8376,16421,5545,2242,1054,
支付的其他与经营活动有关的现金(万元),6070,6113,2982,3318,2837,6324,3871,3983,1514,
经营活动现金流出小计(万元),85202,52898,26035,18172,26818,92438,45850,17121,14187,
经营活动产生的现金流量净额(万元),-6614,-9402,13377,10463,-2872,9102,12900,4978,7997,
收回投资所收到的现金(万元),15700,57800,59300,24780,--,--,--,--,--,
取得投资收益所收到的现金(万元),319,247,337,159,--,--,--,--,--,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),134,385,2,1,55,21,17,1,0,
处置子公司及其他营业单位收到的现金净额(万元),343,--,--,--,--,--,--,--,--,
收到的其他与投资活动有关的现金(万元),4479,2000,--,--,--,92,28,16,181,
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,
投资活动现金流入小计(万元),20974,60432,59638,24940,55,112,45,17,182,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),9322,24987,36911,4283,1282,3625,1965,2177,7964,
投资所支付的现金(万元),60030,57100,61900,33480,--,--,--,--,--,
质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,
取得子公司及其他营业单位支付的现金净额(万元),--,13201,--,--,--,--,--,--,--,
支付的其他与投资活动有关的现金(万元),--,3617,--,2254,--,--,--,--,--,
增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,
投资活动现金流出小计(万元),69352,98904,98811,40017,1282,3625,1965,2177,7964,
投资活动产生的现金流量净额(万元),-48378,-38472,-39173,-15078,-1226,-3513,-1920,-2160,-7782,
吸收投资收到的现金(万元),136960,4960,3000,1490,104502,--,--,--,--,
其中：子公司吸收少数股东投资收到的现金(万元),6000,3200,3000,1490,--,--,--,--,--,
取得借款收到的现金(万元),12508,4400,--,--,--,2000,6300,16500,10800,
发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,
收到其他与筹资活动有关的现金(万元),--,441,--,--,--,--,--,--,--,
筹资活动现金流入小计(万元),149468,9800,3000,1490,104502,2000,6300,16500,10800,
偿还债务支付的现金(万元),11763,6273,--,--,--,3800,5500,17600,8700,
分配股利、利润或偿付利息所支付的现金(万元),5918,4446,2667,4001,6668,784,6037,522,451,
其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,
支付其他与筹资活动有关的现金(万元),256,--,--,--,950,--,--,--,--,
筹资活动现金流出小计(万元),17936,10720,2667,4001,7617,4584,11537,18122,9151,
筹资活动产生的现金流量净额(万元),131532,-919,333,-2511,96885,-2584,-5237,-1622,1649,
汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),76540,-48793,-25463,-7126,92787,3004,5743,1196,1864,
加:期初现金及现金等价物余额(万元),23427,72220,97683,104809,12022,9018,3275,2079,215,
期末现金及现金等价物余额(万元),99967,23427,72220,97683,104809,12022,9018,3275,2079,
净利润(万元),18400,11321,6431,4297,17362,32651,12667,6024,7987,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,
未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,
资产减值准备(万元),8100,2034,-267,1265,1679,1581,417,390,25,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),3823,2418,866,814,822,731,501,368,53,
无形资产摊销(万元),423,368,142,113,113,98,68,67,--,
长期待摊费用摊销(万元),120,50,69,79,74,48,39,5,--,
待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,
预提费用的增加(万元),--,--,--,--,--,--,--,--,--,
处置固定资产、无形资产和其他长期资产的损失(万元),35,1,-1,-0,54,-1,4,4,6,
固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,
公允价值变动损失(万元),-4384,--,--,--,--,--,--,--,--,
递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,
预计负债(万元),--,--,--,--,--,--,--,--,--,
财务费用(万元),631,444,--,--,-1595,20,55,126,150,
投资损失(万元),-313,-252,-337,-159,--,--,--,--,--,
递延所得税资产减少(万元),-776,-839,-484,-88,476,-1555,-299,50,-178,
递延所得税负债增加(万元),126,--,--,--,--,--,--,--,--,
存货的减少(万元),137,-5362,-4893,372,17168,-22151,-12304,394,-3208,
经营性应收项目的减少(万元),-62793,-48984,12930,8817,-9483,-22169,-6678,-2402,-831,
经营性应付项目的增加(万元),29858,29398,-1080,-5047,-29542,19849,18430,-49,4869,
已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,
