报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
流动比率(%),2.18,2.87,4.22,4.91,3,2.83,3.47,3.39,4.46,4.19,14.07,10.4,10.51,11.26,13.28,13.49,12.6,14.34,17.68,9.98,9.39,7.14,2.53,1.82,1.43,--,--,1.34,1.5,1.1,
速动比率(%),1.75,2.41,3.67,4.35,2.18,2.01,2.47,2.38,3.19,3.13,11.77,8.48,8.7,9.44,11.65,11.75,11.15,12.72,15.6,8.71,7.96,6.03,1.53,0.98,0.72,--,--,0.77,1.05,0.65,
现金比率(%),33.12,53.49,133.12,163.9,44.29,45.41,57.96,67.8,102.39,194.61,732.26,574.77,539.78,678.42,751.5,817.99,732.83,942.31,1142.11,616.59,576.1,449.92,35.45,27.89,21.47,--,--,34.22,35.27,21.76,
利息支付倍数(%),-8601.15,-5696.22,-3725.21,5747.74,3079.29,2495.1,3160.86,-3499.23,-1146.94,-565.19,-333.28,-168.87,-175.73,-167.37,-174.74,-71.77,-92.58,-125.06,-183.78,-1019.09,-1597.47,-4681.58,-38440.21,48531.25,32173.02,--,--,25514.04,4662.8,5001.84,
资产负债率(%),36.73,27.21,18.95,16.59,20.81,22.02,18.2,18.29,15.58,17.54,5.07,6.82,8.12,7.83,6.71,6.65,7.29,6.4,5.18,9.19,9.77,12.94,33.31,46.47,59.08,--,--,58.44,39.38,53.3,
长期债务与营运资金比率(%),0.02,0.02,0.02,0.02,0.04,0.04,0.05,0.05,0.05,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股东权益比率(%),63.27,72.79,81.05,83.41,79.19,77.98,81.8,81.71,84.42,82.46,94.93,93.18,91.88,92.17,93.29,93.35,92.71,93.6,94.82,90.81,90.23,87.06,66.69,53.53,40.92,--,--,41.56,60.62,46.7,
长期负债比率(%),0.72,0.85,1.04,1.09,1.54,1.57,1.96,2.04,2.26,2.24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股东权益与固定资产比率(%),--,548.07,--,555.08,--,501.34,--,477.39,--,714.86,--,1522.02,--,2356.75,--,2253.33,--,2145.54,--,2097.49,--,2090.38,--,659.19,509.98,--,--,296.44,--,--,
负债与所有者权益比率(%),58.05,37.38,23.38,19.89,26.27,28.24,22.26,22.39,18.45,21.28,5.34,7.32,8.84,8.5,7.19,7.12,7.86,6.84,5.47,10.12,10.83,14.86,49.94,86.8,144.36,--,--,140.59,64.97,114.12,
长期资产与长期资金比率(%),34.76,34.75,32.48,31.51,55.05,54.59,53.99,55.6,49.41,44.82,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
资本化比率(%),1.12,1.15,1.27,1.29,1.91,1.97,2.34,2.44,2.61,2.64,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产净值率(%),--,83.49,--,85.14,--,80.82,--,83.67,--,80.16,--,74.69,--,67.21,--,70.61,--,73.96,--,77.44,--,80.21,--,83.49,85.53,--,--,88.63,--,--,
资本固定化比率(%),35.15,35.15,32.9,31.92,56.13,55.69,55.28,57,50.73,46.04,32.67,33.1,15.92,12.77,11.68,11.1,8.78,8.85,8.83,9.05,9.1,8.83,23.78,29.03,38.09,--,--,52.83,67.55,89.17,
产权比率(%),57.44,36.75,22.75,19.24,25.35,27.68,21.68,21.78,17.86,20.66,5.16,7.14,8.84,8.5,7.19,7.12,7.86,6.84,5.47,10.12,10.83,14.86,49.94,86.8,144.36,--,--,140.59,64.97,113.62,
清算价值比率(%),267.59,361.64,522.76,599.46,468.27,435.02,527.44,523.99,616.22,545.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产比重(%),--,13.28,--,15.03,--,15.55,--,17.12,--,11.53,--,6.12,--,3.91,--,4.14,--,4.36,--,4.33,--,4.16,--,8.12,8.02,--,--,14.02,--,--,
