报告日期,2017-09-30,2017-06-30,2017-03-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,
基本每股收益(元),0.26,0.14,0.06,0.15,0.09,0.03,0.12,0.08,0.05,0.04,0.16,0.13,0.08,0.06,0.13,0.1,0.14,1.42,1.27,1.08,0.82,3.27,
每股净资产(元),--,--,--,--,2.08,--,--,2.02,1.98,4.35,4.3,4.27,4.22,6.37,6.28,6.24,12.73,12.59,12.42,12.69,6.19,5.37,
每股经营活动产生的现金流量净额(元),--,--,--,--,-0.04,--,--,-0.09,-0.07,-0.08,0.33,0.06,0.08,0,0.33,0.31,0.09,-0.22,-0.39,-0.22,-0.15,0.91,
主营业务收入(万元),44854,43986,36906,24907,24328,17901,20252,15184,12635,11107,5447,6299,6182,6604,3073,5891,6316,9431,7213,10548,23062,22448,
主营业务利润(万元),16311,13611,12715,8825,9084,6144,9300,7357,5868,3359,1544,2412,2651,2745,1262,2732,3022,4838,3946,5942,12330,12177,
营业利润(万元),11857,8087,6285,4491,5139,2030,2694,2874,3076,2094,1155,1414,1646,1709,417,989,2109,1894,2859,4332,10292,8557,
投资收益(万元),1068,2269,291,2,1058,5,11,70,58,113,47,31,90,168,--,--,--,--,--,--,--,--,
营业外收支净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),12117,8001,6745,5763,5446,2789,3888,3136,3241,2039,1617,1842,1686,1799,980,1192,2125,2084,3368,4345,10394,12641,
净利润(万元),11140,8092,6077,5427,4962,2569,3276,2632,2792,1762,1553,1794,1662,1572,910,765,1842,2250,3110,3822,8179,11417,
净利润(扣除非经常性损益后)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),1087,-7241,-8734,4523,-3664,-1025,-9402,-7866,-6478,-3230,13377,2572,3342,5,8724,8174,1214,-2872,-5198,-2934,-1548,9102,
现金及现金等价物净增加额(万元),-35852,-38663,-2839,-3108,-1845,-1961,-48793,-44931,-8919,-5961,-25463,-15337,341,-6168,-8513,2120,1198,92787,91338,100513,-1802,3004,
总资产(万元),565455,477766,432678,263152,259067,246862,236284,223496,223662,187725,189384,188186,185730,183568,181677,178978,179044,184918,183611,194375,92742,100261,
流动资产(万元),439693,355516,317321,146186,146565,135242,126246,127777,138756,129498,130974,160660,163863,163558,166894,164150,164062,169722,168539,179427,78035,84681,
总负债(万元),207686,129994,82001,54756,57051,44939,43218,34814,39239,9521,12913,15283,14552,12316,13242,11451,9282,16998,17941,25147,30889,46587,
流动负债(万元),201469,123745,75270,48770,51846,38948,37213,28635,33100,9201,12593,15283,14552,12316,13242,11451,9282,16998,17941,25147,30889,46587,
股东权益不含少数股东权益(万元),343554,332926,334767,191011,184352,183937,180873,178536,175053,173935,172173,170620,168826,169831,167438,166527,169763,167920,165670,169228,61853,53674,
净资产收益率加权(%),7.52,4.24,1.83,7,4.11,1.41,5.94,3.97,2.62,1.02,3.87,2.99,1.92,0.93,2.25,1.54,--,13.38,12.8,12.74,--,87.42,
