报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.23,0.12,0.16,0.16,1.42,3.27,1.27,0.6,0.8,
每股净资产(元),--,--,4.3,6.31,12.59,5.37,2.1,1.49,0.93,
每股经营活动产生的现金流量净额(元),--,--,0.33,0.39,-0.22,0.91,1.29,0.5,0.8,
主营业务收入(万元),109147,59178,24532,17501,50254,82350,37983,18157,17622,
主营业务利润(万元),41058,25885,9353,8467,27055,42247,20729,10499,8443,
营业利润(万元),19105,10738,5924,3879,19377,31362,15482,5777,6986,
投资收益(万元),313,252,337,159,--,--,--,--,--,
营业外收支净额(万元),2740,1566,1020,1212,814,6170,1429,862,1277,
利润总额(万元),21845,12304,6944,5090,20191,37532,16911,6640,8264,
净利润(万元),20375,10461,6581,4339,17362,32651,12667,6024,7987,
净利润(扣除非经常性损益后)(万元),15434,9601,6089,2063,16206,31171,13816,5658,7092,
经营活动产生的现金流量净额(万元),-6614,-9402,13377,10463,-2872,9102,12900,4978,7997,
现金及现金等价物净增加额(万元),76540,-48793,-25463,-7126,92787,3004,5743,1196,1864,
总资产(万元),413114,236284,189384,181788,184918,100261,50580,24508,19981,
流动资产(万元),303138,126246,130974,162954,169722,84681,39474,14473,11659,
总负债(万元),68544,43218,12913,12082,16998,46587,29557,9652,10649,
流动负债(万元),61780,37213,12593,12082,16998,46587,29557,9652,10603,
股东权益不含少数股东权益(万元),328352,180873,172173,168259,167920,53674,21023,14856,9332,
净资产收益率加权(%),9.7,5.94,3.87,2.58,13.38,87.42,67.48,49.98,146.86,
