报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
总资产利润率(%),4.27,2.82,1.33,4.45,4.62,2.7,0.96,4.79,3.23,2.02,0.92,3.4,2.58,1.69,0.84,2.36,1.94,1.46,1.03,9.39,8.23,6.17,8.82,32.57,20.56,--,--,25.04,24.58,39.97,
主营业务利润率(%),33.91,32.54,34.45,37.62,35.83,36.06,34.32,43.74,42.61,38.87,30.24,38.12,40.92,42.21,41.57,48.38,45.92,47.14,47.85,53.84,54.42,54.36,53.47,51.3,50.2,--,--,54.57,57.82,47.91,
总资产净利润率(%),4.93,3.02,1.36,5.67,4.87,2.83,0.98,5.32,3.5,2.19,0.92,3.47,2.63,1.71,0.85,2.34,1.92,1.43,1.01,12.18,10.65,8.15,8.48,43.29,27.61,--,--,33.74,27.08,39.97,
成本费用利润率(%),26.48,22.22,22.91,25.21,25.21,23.53,18.02,26.37,27.92,29.78,22.86,36.15,38.47,37.88,38.6,40.67,38.91,41.26,54.09,69.15,78.93,77.88,81.42,75.97,69.66,--,--,76.57,55.38,77.88,
营业利润率(%),20.86,17.77,17.03,17.5,17.37,16.98,11.34,18.14,20.67,21.78,18.86,24.15,24.99,26.24,25.88,22.16,23.01,25.38,33.39,38.56,42.83,43.51,44.63,38.08,38.07,--,--,40.76,31.82,39.65,
主营业务成本率(%),64.71,66.23,64.29,61.13,63.34,63.22,64.95,55.42,56.76,60.82,69.66,60.72,58.11,57.13,58.09,50.23,52.81,51.68,51.01,45.3,44.72,44.82,46.03,47.6,48.78,--,--,44.6,41.69,51.4,
销售净利率(%),19.19,16.64,15.63,16.86,18.1,16.58,13.2,19.13,18.55,19.01,15.61,26.22,25.48,24.55,23.4,24.55,23.01,21.36,29.17,34.55,37.02,35.71,35.47,39.65,35.45,--,--,33.35,33.18,45.33,
净资产收益率(%),7.37,4.26,1.82,6.21,6.78,4.08,1.4,5.78,4.02,2.6,1.01,3.82,2.95,1.92,0.93,2.58,2.1,1.57,1.09,10.34,9.12,7.1,13.22,60.83,50.25,--,--,60.25,40.55,85.59,
股本报酬率(%),24.5,26.4,5.86,29.68,13.73,18.72,2.67,21.75,8.18,12.34,4.33,25.9,12.16,16.7,5.79,27.86,13.18,20.08,13.82,147.69,113.32,104.98,81.79,--,--,--,--,--,--,--,
净资产报酬率(%),6.74,7.48,1.65,8.49,5.83,8.2,1.17,9.95,3.83,5.91,0.97,5.87,2.81,3.9,0.9,4.38,2.09,3.2,1.09,11.73,9.12,8.27,13.22,63.83,53.57,--,--,64.58,40.55,85.59,
资产报酬率(%),4.27,5.44,1.33,7.08,4.62,6.4,0.96,8.13,3.23,4.87,0.92,5.47,2.58,3.6,0.84,4.09,1.94,2.99,1.03,10.65,8.23,7.2,8.82,34.17,21.92,--,--,26.84,24.58,39.97,
销售毛利率(%),35.29,33.77,35.71,--,36.66,36.78,35.05,--,43.24,39.18,30.34,--,41.89,42.87,41.91,--,47.19,48.32,49,--,55.28,55.18,53.97,52.4,51.22,--,--,55.4,58.31,48.6,
三项费用比重(%),14.57,14.57,14.23,17,18.53,18.95,20.79,22.58,20.05,13.54,10.55,16.44,13.48,14.17,12.16,19.89,18.19,13,10.04,11.94,10.62,10.67,8.82,11.3,9.85,--,--,12.72,23.85,8.12,
非主营比重(%),15.87,19.9,11.14,13.97,24.31,25.85,27.39,14.78,7.28,5.31,2.81,19.54,15.92,11.15,14.39,26.92,19.38,6.6,0.74,4.03,3.45,0.78,0.99,16.44,8.38,--,--,8.45,12.98,15.45,
主营利润比重(%),158.72,178.53,188.51,187.95,171.83,184.91,220.26,210.38,197.07,174.78,164.74,134.68,146.58,154.84,152.57,166.34,163.27,173.49,142.23,134,122.7,123.97,118.63,112.56,120.81,--,--,122.58,158.12,102.17,
