报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
应收账款周转率(次),1.92,1.26,0.61,2.49,1.92,1.24,0.55,3.24,2.47,1.59,1.23,1.85,1.02,0.69,0.33,0.77,0.61,0.45,0.25,2.07,1.55,1.31,0.88,5.26,4.33,--,--,5.67,4.27,4.89,
应收账款周转天数(天),140.66,143.13,146.53,144.56,140.66,145.55,163.37,111.21,109.29,113.41,72.94,194.28,263.62,262.74,273.72,465.24,445.62,399.73,366,173.79,174.5,137.79,101.89,68.5,62.39,--,--,63.47,84.28,73.59,
存货周转率(次),1.34,1.17,0.62,1.85,1.1,0.67,0.3,1.06,0.73,0.49,0.34,0.66,0.46,0.31,0.19,0.41,0.4,0.31,0.16,0.75,0.57,0.45,0.31,1.41,0.97,--,--,1.61,1.67,1.91,
固定资产周转率(次),--,1.29,--,2.13,--,1.05,--,2.27,--,1.27,--,2.57,--,1.73,--,2.25,--,1.54,--,6.22,--,4.14,--,10.81,7.79,--,--,--,--,0.88,
总资产周转率(次),0.26,0.18,0.09,0.34,0.27,0.17,0.07,0.28,0.19,0.12,0.06,0.13,0.1,0.07,0.04,0.1,0.08,0.07,0.03,0.35,0.29,0.23,0.24,1.09,0.78,--,--,1.01,--,0.88,
存货周转天数(天),201.6,153.91,144.3,194.82,245.59,269.14,296.44,338.54,369.31,369.69,263.54,544.63,592.24,585.37,481.28,871.67,683.2,573.07,570.7,477.77,477.03,398.32,294.41,254.58,277.83,--,--,223.01,215.93,188.27,
总资产周转天数(天),1050.58,991.19,1030.93,1071.11,1004.46,1055.72,1214.57,1294.96,1431.6,1565.22,1528.01,2723.15,2616.28,2586.21,2486.19,3769.63,3237.41,2682.56,2593.66,1021.57,938.8,789.13,376.57,329.7,346.69,--,--,355.84,--,408.21,
流动资产周转率(次),0.34,0.25,0.12,0.51,0.49,0.31,0.14,0.46,0.3,0.18,0.09,0.17,0.12,0.08,0.04,0.11,0.09,0.07,0.04,0.4,0.32,0.25,0.28,1.33,0.95,--,--,1.41,1.39,151.14,
流动资产周转天数(天),797.4,732.9,756.3,708.1,547.78,581.4,657.41,782.44,897.31,1022.73,1055.1,2156.98,2288.14,2301.79,2222.22,3422.05,2973.57,2462.38,2380.95,911.16,837.47,707.27,317.46,271.37,285.41,--,--,255.65,259.05,2.38,
经营现金净流量对销售收入比率(%),0.01,-0.09,-0.24,-0.06,0.07,-0.09,-0.06,-0.16,-0.2,-0.27,-0.29,0.55,0.13,0.26,0,0.6,0.57,0.67,0.19,-0.06,-0.13,-0.09,-0.07,0.11,0.16,--,--,0.34,0.27,0.45,
资产的经营现金流量回报率(%),0,-0.02,-0.02,-0.02,0.02,-0.01,-0,-0.04,-0.04,-0.03,-0.02,0.07,0.01,0.02,0,0.06,0.05,0.05,0.01,-0.02,-0.03,-0.02,-0.02,0.09,0.09,--,--,0.26,0.2,0.4,
经营现金净流量与净利润的比率(%),0.05,-0.54,-1.51,-0.36,0.37,-0.52,-0.43,-0.83,-1.09,-1.44,-1.86,2.08,0.53,1.06,0,2.44,2.48,3.13,0.66,-0.17,-0.34,-0.24,-0.19,0.28,0.45,--,--,1.02,0.83,1,
经营现金净流量对负债比率(%),0.01,-0.06,-0.11,-0.1,0.08,-0.06,-0.02,-0.22,-0.23,-0.17,-0.34,1.04,0.17,0.23,0,0.87,0.66,0.71,0.13,-0.17,-0.29,-0.12,-0.05,0.2,0.16,--,--,0.44,0.52,0.75,
现金流量比率(%),0.54,-5.85,-11.6,-10.7,9.27,-7.07,-2.63,-25.27,-27.47,-19.57,-35.11,106.22,16.83,22.97,0.04,86.6,65.88,71.38,13.08,-16.9,-28.97,-11.67,-5.01,19.54,15.76,--,--,43.64,51.57,75.42,</tr>
