报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
应收账款周转率(次),2.49,3.24,1.85,0.77,2.07,5.26,5.67,4.27,4.89,
应收账款周转天数(天),144.56,111.21,194.28,465.24,173.79,68.5,63.47,84.28,73.59,
存货周转率(次),1.85,1.06,0.66,0.41,0.75,1.41,1.61,1.67,1.91,
固定资产周转率(次),2.13,2.27,2.57,2.25,6.22,10.81,--,--,0.88,
总资产周转率(次),0.34,0.28,0.13,0.1,0.35,1.09,1.01,--,0.88,
存货周转天数(天),194.82,338.54,544.63,871.67,477.77,254.58,223.01,215.93,188.27,
总资产周转天数(天),1071.11,1294.96,2723.15,3769.63,1021.57,329.7,355.84,--,408.21,
流动资产周转率(次),0.51,0.46,0.17,0.11,0.4,1.33,1.41,1.39,151.14,
流动资产周转天数(天),708.1,782.44,2156.98,3422.05,911.16,271.37,255.65,259.05,2.38,
经营现金净流量对销售收入比率(%),-0.06,-0.16,0.55,0.6,-0.06,0.11,0.34,0.27,0.45,
资产的经营现金流量回报率(%),-0.02,-0.04,0.07,0.06,-0.02,0.09,0.26,0.2,0.4,
经营现金净流量与净利润的比率(%),-0.36,-0.83,2.08,2.44,-0.17,0.28,1.02,0.83,1,
经营现金净流量对负债比率(%),-0.1,-0.22,1.04,0.87,-0.17,0.2,0.44,0.52,0.75,
现金流量比率(%),-10.7,-25.27,106.22,86.6,-16.9,19.54,43.64,51.57,75.42,</tr>
