报告期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
营业收入(万元),127135,87874,70054,66841,54434,42934
营业成本(万元),95884,66853,53497,50216,40122,31054
营业利润(万元),14860,9470,6156,6122,5311,4798
利润总额(万元),15996,9925,6853,6640,5904,5515
所得税费用(万元),2247,1333,880,959,798,748
净利润(万元),13749,8592,5973,5681,5106,4767
基本每股收益,0.55,1.13,0.96,0.91,0.81,0.79
货币资金(万元),12600,16848,7043,6908,8972,9538
应收账款(万元),67919,40747,25694,19216,18735,13791
存货(万元),33617,24079,17153,16177,14945,11493
流动资产合计(万元),120073,97384,53292,44708,44655,36632
固定资产净额(万元),53113,30510,18410,15005,13612,12187
资产总计(万元),190162,137661,80808,67546,62924,50498
流动负债合计(万元),86502,50629,32864,26151,27566,20476
非流动负债合计(万元),8276,3798,1483,1099,674,428
负债合计(万元),94778,54427,34347,27249,28240,20903
所有者权益(或股东权益)合计(万元),95384,83234,46461,40296,34684,29595
期初现金及现金等价物余额(万元),13830,5336,5761,7416,8652,6836
经营活动产生的现金流量净额(万元),443,2436,4141,6772,7280,3136
投资活动产生的现金流量净额(万元),-19136,-22147,-4859,-6799,-6033,-3210
筹资活动产生的现金流量净额(万元),13752,27807,240,-1351,-2476,1845
现金及现金等价物净增加额(万元),-4804,8494,-425,-1654,-1237,1817
期末现金及现金等价物余额(万元),9026,13830,5336,5761,7416,8652
