报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
营业总收入(万元),127135,87874,70054,66841,54434,42934
营业收入(万元),127135,87874,70054,66841,54434,42934
利息收入(万元),--,--,--,--,--,--
已赚保费(万元),--,--,--,--,--,--
手续费及佣金收入(万元),--,--,--,--,--,--
房地产销售收入(万元),--,--,--,--,--,--
其他业务收入(万元),--,--,--,--,--,--
营业总成本(万元),112376,78678,63906,60723,49182,38176
营业成本(万元),95884,66853,53497,50216,40122,31054
利息支出(万元),--,--,--,--,--,--
手续费及佣金支出(万元),--,--,--,--,--,--
房地产销售成本(万元),--,--,--,--,--,--
研发费用(万元),--,--,--,--,--,--
退保金(万元),--,--,--,--,--,--
赔付支出净额(万元),--,--,--,--,--,--
提取保险合同准备金净额(万元),--,--,--,--,--,--
保单红利支出(万元),--,--,--,--,--,--
分保费用(万元),--,--,--,--,--,--
其他业务成本(万元),--,--,--,--,--,--
营业税金及附加(万元),890,557,578,422,351,313
销售费用(万元),3511,3215,2900,2835,2703,1915
管理费用(万元),10321,7636,6097,5790,5314,4334
财务费用(万元),-620,-961,10,430,104,435
资产减值损失(万元),2390,1377,824,1030,587,125
公允价值变动收益(万元),--,--,--,--,--,15
投资收益(万元),100,274,8,4,60,24
对联营企业和合营企业的投资收益(万元),3,4,8,4,-0,--
汇兑收益(万元),--,--,--,--,--,--
期货损益(万元),--,--,--,--,--,--
托管收益(万元),--,--,--,--,--,--
补贴收入(万元),--,--,--,--,--,--
其他业务利润(万元),--,--,--,--,--,--
营业利润(万元),14860,9470,6156,6122,5311,4798
营业外收入(万元),1287,611,756,616,667,752
营业外支出(万元),151,156,59,97,74,35
非流动资产处置损失(万元),89,49,49,60,6,13
利润总额(万元),15996,9925,6853,6640,5904,5515
所得税费用(万元),2247,1333,880,959,798,748
未确认投资损失(万元),--,--,--,--,--,--
净利润(万元),13749,8592,5973,5681,5106,4767
归属于母公司所有者的净利润(万元),13878,8729,6024,5719,5124,4725
被合并方在合并前实现净利润(万元),--,--,--,--,--,--
少数股东损益(万元),-129,-137,-52,-38,-18,42
基本每股收益,0.55,1.13,0.96,0.91,0.81,0.79
稀释每股收益,0.55,1.13,0.96,0.91,0.81,0.79
