报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
销售商品、提供劳务收到的现金(万元),88338,68609,59514,68122,51129,41063
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--
向中央银行借款净增加额(万元,--,--,--,--,--,--
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--
收到原保险合同保费取得的现金(万元),--,--,--,--,--,--
收到再保险业务现金净额(万元),--,--,--,--,--,--
保户储金及投资款净增加额(万元),--,--,--,--,--,--
处置交易性金融资产净增加额(万元),--,--,--,--,--,--
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--
拆入资金净增加额(万元),--,--,--,--,--,--
回购业务资金净增加额(万元),--,--,--,--,--,--
收到的税费返还(万元),2753,1460,1148,295,642,1008
收到的其他与经营活动有关的现金(万元),927,1620,1342,1292,1067,1083
经营活动现金流入小计(万元),92017,71689,62003,69708,52838,43154
购买商品、接受劳务支付的现金(万元),58087,42942,35668,44081,31893,27190
客户贷款及垫款净增加额(万元),--,--,--,--,--,--
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--
支付保单红利的现金(万元),--,--,--,--,--,--
支付给职工以及为职工支付的现金(万元),22603,18899,16189,13448,8720,8678
支付的各项税费(万元),6567,4173,3535,3191,2191,2080
支付的其他与经营活动有关的现金(万元),4318,3238,2470,2216,2753,2070
经营活动现金流出小计(万元),91574,69252,57863,62936,45557,40018
经营活动产生的现金流量净额(万元),443,2436,4141,6772,7280,3136
收回投资所收到的现金(万元),19000,--,--,--,--,84
取得投资收益所收到的现金(万元),97,270,--,--,60,40
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),220,53,325,4,--,34
处置子公司及其他营业单位收到的现金净额(万元),--,20,112,3,--,--
收到的其他与投资活动有关的现金(万元),2070,--,--,--,--,--
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--
投资活动现金流入小计(万元),21387,343,436,7,60,158
购建固定资产、无形资产和其他长期资产所支付的现金(万元),28824,9174,5295,6756,5943,3368
投资所支付的现金(万元),9700,12800,--,50,150,--
质押贷款净增加额(万元),--,--,--,--,--,--
取得子公司及其他营业单位支付的现金净额(万元),--,515,--,--,--,--
支付的其他与投资活动有关的现金(万元),2000,--,--,--,--,--
增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--
投资活动现金流出小计(万元),40524,22489,5295,6806,6093,3368
投资活动产生的现金流量净额(万元),-19136,-22147,-4859,-6799,-6033,-3210
吸收投资收到的现金(万元),--,28827,192,48,--,3095
其中：子公司吸收少数股东投资收到的现金(万元),--,--,192,48,--,--
取得借款收到的现金(万元),17465,2200,2700,--,1580,4500
发行债券收到的现金(万元),--,--,--,--,--,--
收到其他与筹资活动有关的现金(万元),4372,1707,1147,1376,885,395
筹资活动现金流入小计(万元),21837,32734,4039,1424,2465,7991
偿还债务支付的现金(万元),2291,800,2000,1580,3500,5000
分配股利、利润或偿付利息所支付的现金(万元),2132,101,83,49,52,245
其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--
支付其他与筹资活动有关的现金(万元),3662,4026,1716,1147,1389,900
筹资活动现金流出小计(万元),8085,4926,3799,2775,4941,6145
筹资活动产生的现金流量净额(万元),13752,27807,240,-1351,-2476,1845
汇率变动对现金及现金等价物的影响(万元),137,397,53,-276,-8,46
现金及现金等价物净增加额(万元),-4804,8494,-425,-1654,-1237,1817
加:期初现金及现金等价物余额(万元),13830,5336,5761,7416,8652,6836
期末现金及现金等价物余额(万元),9026,13830,5336,5761,7416,8652
净利润(万元),13749,8592,5973,5681,5106,4767
少数股东损益(万元),--,--,--,--,--,--
未确认的投资损失(万元),--,--,--,--,--,--
资产减值准备(万元),2390,1377,824,1030,587,125
固定资产折旧、油气资产折耗、生产性物资折旧(万元),3640,2466,2156,1821,1537,1333
无形资产摊销(万元),95,90,91,78,22,13
长期待摊费用摊销(万元),163,142,132,131,163,131
待摊费用的减少(万元),--,--,--,--,--,--
预提费用的增加(万元),--,--,--,--,--,--
处置固定资产、无形资产和其他长期资产的损失(万元),85,11,42,60,4,8
固定资产报废损失(万元),--,--,6,--,--,--
公允价值变动损失(万元),--,--,--,--,--,-15
递延收益增加(减：减少)(万元),--,--,--,--,--,--
预计负债(万元),--,--,--,--,--,--
财务费用(万元),239,-296,39,325,73,224
投资损失(万元),-100,-274,-8,-4,-60,-24
递延所得税资产减少(万元),-258,-152,-143,-131,-116,7
递延所得税负债增加(万元),--,--,--,--,--,--
存货的减少(万元),-9914,-6953,-1408,-1631,-3789,-3627
经营性应收项目的减少(万元),-19247,-15143,-7830,-1274,-5312,-1413
经营性应付项目的增加(万元),9603,12576,4266,649,9251,1563
已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--
已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--
其他(万元),--,--,0,36,-185,46
经营活动产生现金流量净额(万元),443,2436,4141,6772,7280,3136
债务转为资本(万元),--,--,--,--,--,--
一年内到期的可转换公司债券(万元),--,--,--,--,--,--
融资租入固定资产(万元),--,--,--,--,--,--
现金的期末余额(万元),9026,13830,5336,5761,7416,8652
现金的期初余额(万元),13830,5336,5761,7416,8652,6836
现金等价物的期末余额(万元),--,--,--,--,--,--
现金等价物的期初余额(万元),--,--,--,--,--,--
现金及现金等价物的净增加额(万元),-4804,8494,-425,-1654,-1237,1817
