报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31
流动比率(%),1.85,2.09,2.27,1.39,1.49,1.72,1.76,1.92,2.22,2.57,1.66,1.62,--,1.55,--,1.71,1.62,1.79
速动比率(%),1.41,1.62,1.84,1,0.99,1.15,1.24,1.45,1.66,1.96,1.14,1.1,--,1,--,1.09,1.08,1.23
现金比率(%),13.38,29.3,102.18,14.57,12.99,20.45,29.5,33.28,38.44,42.08,16.73,21.43,--,22.21,--,26.42,32.55,46.58
利息支付倍数(%),1525.95,1433.04,1107.04,-2480.73,-84956.25,-5301.02,2369.3,-933.21,-656.68,-1977.97,-1564.32,68744.31,-7979.89,-2166.03,-2381.18,1643.73,5753.25,1367.53
资产负债率(%),41.5,36.77,35.67,49.84,47.41,41.38,39.87,39.54,36.39,31.82,41.86,42.5,--,42.71,--,40.34,44.88,41.39
长期债务与营运资金比率(%),0.04,0.04,0.05,0.17,0.16,0.1,0.06,0.04,0.04,0.03,--,--,--,--,--,--,--,--
股东权益比率(%),58.5,63.23,64.33,50.16,52.59,58.62,60.13,60.46,63.61,68.18,58.14,57.5,--,57.29,--,59.66,55.12,58.61
长期负债比率(%),1.2,1.64,1.95,2.96,3.44,2.67,1.6,1.47,1.66,1.5,--,--,--,--,--,--,--,--
股东权益与固定资产比率(%),--,359.57,--,179.59,--,250.86,--,272.81,--,417.75,--,252.37,--,238.67,--,268.55,--,--
负债与所有者权益比率(%),70.93,58.15,55.45,99.37,90.16,70.6,66.3,65.39,57.21,46.67,72,73.93,--,74.54,--,67.62,81.42,70.63
长期资产与长期资金比率(%),45.51,43.62,38.53,69.39,65.44,59.67,56.49,47.24,38.8,36.11,--,--,--,--,--,--,--,--
资本化比率(%),2,2.53,2.95,5.57,6.15,4.36,2.59,2.38,2.54,2.15,--,--,--,--,--,--,--,--
固定资产净值率(%),--,74.86,--,77.66,--,71.36,--,71.34,--,62.65,--,64.67,--,66.31,--,64.97,--,--
资本固定化比率(%),46.44,44.75,39.7,73.48,69.72,62.39,57.99,48.39,39.81,36.91,57.51,59.22,--,62.35,--,56.67,52.67,46.85
产权比率(%),69.46,56.91,54.08,96.59,87.2,67.4,64.19,63.27,55.38,44.92,68.93,70.73,--,72.33,--,64.9,79.48,69.19
清算价值比率(%),243.38,274.51,283.76,202.36,213.31,246.6,252.15,254.2,275.27,315.46,--,--,--,--,--,--,--,--
固定资产比重(%),--,17.59,--,27.93,--,23.37,--,22.16,--,16.32,--,22.78,--,24.01,--,22.21,--,--
