报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
流动比率(%),1.39,1.92,1.62,1.71,1.62,1.79
速动比率(%),1,1.45,1.1,1.09,1.08,1.23
现金比率(%),14.57,33.28,21.43,26.42,32.55,46.58
利息支付倍数(%),-2480.73,-933.21,68744.31,1643.73,5753.25,1367.53
资产负债率(%),49.84,39.54,42.5,40.34,44.88,41.39
长期债务与营运资金比率(%),0.17,0.04,--,--,--,--
股东权益比率(%),50.16,60.46,57.5,59.66,55.12,58.61
长期负债比率(%),2.96,1.47,--,--,--,--
股东权益与固定资产比率(%),179.59,272.81,252.37,268.55,--,--
负债与所有者权益比率(%),99.37,65.39,73.93,67.62,81.42,70.63
长期资产与长期资金比率(%),69.39,47.24,--,--,--,--
资本化比率(%),5.57,2.38,--,--,--,--
固定资产净值率(%),77.66,71.34,64.67,64.97,--,--
资本固定化比率(%),73.48,48.39,59.22,56.67,52.67,46.85
产权比率(%),96.59,63.27,70.73,64.9,79.48,69.19
清算价值比率(%),202.36,254.2,--,--,--,--
固定资产比重(%),27.93,22.16,22.78,22.21,--,--
