报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31
基本每股收益(元),0.71,0.36,0.12,0.55,0.34,0.17,0.25,1.13,0.7,0.44,0.22,0.96,0.7,0.39,0.16,0.91,0.81,0.79
每股净资产(元),--,--,--,--,--,3.4,--,--,9.45,9.19,7.57,7.35,--,6.78,--,6.4,5.49,4.68
每股经营活动产生的现金流量净额(元),--,--,--,--,--,-0.27,--,--,0.03,-0.12,-0.1,0.66,--,-0.08,0,1.07,1.16,0.5
主营业务收入(万元),141976,79514,29228,127135,85325,47926,23712,87874,55990,34426,16218,70054,49724,30273,14023,66841,54434,42934
主营业务利润(万元),37600,20055,6905,30361,19886,11009,5621,20463,13288,8060,3773,15979,11287,6874,2945,16203,13960,11568
营业利润(万元),22636,11189,3148,14860,9196,4614,2347,9470,5770,3098,1509,6156,4415,2550,1056,6122,5311,4798
投资收益(万元),1018,442,87,100,86,86,78,274,52,7,--,8,4,0,--,4,60,24
营业外收支净额(万元),-54,-60,322,1136,863,405,30,455,250,282,44,697,549,180,84,519,592,717
利润总额(万元),22582,11128,3470,15996,10059,5019,2377,9925,6020,3381,1553,6853,4964,2730,1140,6640,5904,5515
净利润(万元),19334,9621,3036,13878,8672,4368,2114,8729,5245,3075,1368,6024,4379,2443,985,5719,5124,4725
净利润(扣除非经常性损益后)(万元),17933,8956,2764,12851,7946,4030,2090,8109,--,2836,1349,5434,--,2296,911,5278,4620,4114
经营活动产生的现金流量净额(万元),-7602,-7371,559,443,-6239,-6683,-2316,2436,225,-985,-626,4141,1188,-493,27,6772,7280,3136
现金及现金等价物净增加额(万元),2685,16416,83103,-4804,-6355,-5569,-767,8494,8737,6609,-295,-425,391,-163,-1345,-1654,-1237,1817
总资产(万元),337010,301668,287719,190162,171800,146821,142024,137661,125575,113413,82200,80808,--,74855,--,67546,62924,50498
流动资产(万元),245442,216307,214244,120073,108810,93125,92499,97384,93777,84875,54717,53292,--,48115,--,44708,44655,36632
总负债(万元),139849,110921,102629,94778,81456,60760,56619,54427,45697,36088,34410,34347,--,31967,--,27249,28240,20903
流动负债(万元),132924,103599,94474,86502,72867,54083,52551,50629,42150,33035,32940,32864,--,31019,--,26151,27566,20476
股东权益不含少数股东权益(万元),196844,190455,184780,95066,89928,85626,84983,82787,79342,77229,47683,46318,--,42735,--,40294,34571,29464
净资产收益率加权(%),11.94,6.72,3.14,15.64,10.01,5.14,2.55,12.61,8.14,5.38,2.91,13.91,--,5.88,2.42,15.28,16,19.67
