报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31
基本每股收益(元),0.71,0.36,0.12,0.55,0.34,0.17,0.25,1.13,0.7,0.44,0.22,0.96,0.7,0.39,0.16
每股净资产(元),--,--,--,--,--,3.4,--,--,9.45,9.19,7.57,7.35,--,6.78,--
每股经营活动产生的现金流量净额(元),--,--,--,--,--,-0.27,--,--,0.03,-0.12,-0.1,0.66,--,-0.08,0
主营业务收入(万元),62463,50286,29228,41811,37398,24215,23712,31883,21564,18207,16218,20330,19451,16250,14023
主营业务利润(万元),17545,13151,6905,10475,8877,5388,5621,7176,5228,4287,3773,4692,4412,3929,2945
营业利润(万元),11447,8041,3148,5664,4582,2267,2347,3699,2672,1589,1509,1741,1865,1494,1056
投资收益(万元),576,355,87,14,0,8,78,222,45,--,--,3,4,--,--
营业外收支净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
利润总额(万元),11454,7658,3470,5937,5040,2643,2377,3904,2640,1827,1553,1889,2234,1590,1140
净利润(万元),9713,6585,3036,5206,4305,2254,2114,3484,2170,1707,1368,1645,1937,1457,985
净利润(扣除非经常性损益后)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
经营活动产生的现金流量净额(万元),-7602,-7371,559,443,-6239,-6683,-2316,2436,225,-985,-626,4141,1188,-493,27
现金及现金等价物净增加额(万元),2685,16416,83103,-4804,-6355,-5569,-767,8494,8737,6609,-295,-425,391,-163,-1345
总资产(万元),337010,301668,287719,190162,171800,146821,142024,137661,125575,113413,82200,80808,--,74855,--
流动资产(万元),245442,216307,214244,120073,108810,93125,92499,97384,93777,84875,54717,53292,--,48115,--
总负债(万元),139849,110921,102629,94778,81456,60760,56619,54427,45697,36088,34410,34347,--,31967,--
流动负债(万元),132924,103599,94474,86502,72867,54083,52551,50629,42150,33035,32940,32864,--,31019,--
股东权益不含少数股东权益(万元),196844,190455,184780,95066,89928,85626,84983,82787,79342,77229,47683,46318,--,42735,--
净资产收益率加权(%),11.94,6.72,3.14,15.64,10.01,5.14,2.55,12.61,8.14,5.38,2.91,13.91,--,5.88,2.42
