报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
基本每股收益(元),0.55,1.13,0.96,0.91,0.81,0.79
每股净资产(元),--,--,7.35,6.4,5.49,4.68
每股经营活动产生的现金流量净额(元),--,--,0.66,1.07,1.16,0.5
主营业务收入(万元),127135,87874,70054,66841,54434,42934
主营业务利润(万元),30361,20463,15979,16203,13960,11568
营业利润(万元),14860,9470,6156,6122,5311,4798
投资收益(万元),100,274,8,4,60,24
营业外收支净额(万元),1136,455,697,519,592,717
利润总额(万元),15996,9925,6853,6640,5904,5515
净利润(万元),13878,8729,6024,5719,5124,4725
净利润(扣除非经常性损益后)(万元),12851,8109,5434,5278,4620,4114
经营活动产生的现金流量净额(万元),443,2436,4141,6772,7280,3136
现金及现金等价物净增加额(万元),-4804,8494,-425,-1654,-1237,1817
总资产(万元),190162,137661,80808,67546,62924,50498
流动资产(万元),120073,97384,53292,44708,44655,36632
总负债(万元),94778,54427,34347,27249,28240,20903
流动负债(万元),86502,50629,32864,26151,27566,20476
股东权益不含少数股东权益(万元),95066,82787,46318,40294,34571,29464
净资产收益率加权(%),15.64,12.61,13.91,15.28,16,19.67
