报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31
总资产利润率(%),5.72,3.18,1.05,7.23,5.03,2.97,1.47,6.24,4.14,2.67,1.62,7.39,--,3.21,--,8.41,8.11,9.44
主营业务利润率(%),26.48,25.22,23.62,23.88,23.31,22.97,23.7,23.29,23.73,23.41,23.26,22.81,22.7,22.71,21,24.24,25.65,26.94
总资产净利润率(%),7.32,3.9,1.27,8.39,5.58,3.06,1.49,7.87,5.03,3.12,1.63,8.05,--,3.37,--,8.71,9,9.44
成本费用利润率(%),18.92,16.28,13.34,14.54,13.41,11.71,11.23,12.84,12.19,10.95,10.61,10.86,11.14,10.03,8.82,11.12,12.15,14.49
营业利润率(%),15.94,14.07,10.77,11.69,10.78,9.63,9.9,10.78,10.31,9,9.31,8.79,8.88,8.42,7.53,9.16,9.76,11.17
主营业务成本率(%),72.9,74.06,75.55,75.42,76.14,76.48,75.62,76.08,75.63,75.92,75.78,76.37,76.53,76.35,77.58,75.13,73.71,72.33
销售净利率(%),13.58,12.07,10.36,10.81,10.13,9.09,8.81,9.78,9.28,8.8,8.22,8.53,8.72,7.93,6.9,8.5,9.38,11.1
净资产收益率(%),9.82,5.05,1.64,14.6,9.64,5.1,2.49,10.54,6.61,3.98,2.87,13.01,--,5.72,--,14.19,14.82,16.04
股本报酬率(%),68.59,97.49,10.77,115.2,34.29,71.91,24.86,248.2,61.83,167.41,21.15,254.42,68.84,183.01,--,--,--,--
净资产报酬率(%),9.78,14.37,1.64,30.43,9.56,21.06,2.44,25.05,6.5,18.19,2.79,34.5,--,26.88,--,34.18,14.72,16.11
资产报酬率(%),5.72,9.09,1.05,15.27,5.03,12.34,1.47,15.15,4.14,12.4,1.62,19.84,--,15.4,--,20.39,8.11,9.44
销售毛利率(%),27.1,25.94,24.45,--,23.86,23.52,24.38,--,24.37,24.08,24.22,23.63,23.47,23.65,22.42,24.87,26.29,27.67
三项费用比重(%),10.57,11.18,12.59,10.39,11.2,12.41,12.97,11.26,11.97,13.08,13.52,12.86,12.29,12.59,13.15,13.55,14.92,15.57
非主营比重(%),4.27,3.43,11.79,7.73,9.43,9.78,4.55,7.35,5.02,8.56,2.85,10.29,11.15,6.6,7.34,7.87,11.04,13.43
主营利润比重(%),166.5,180.22,198.99,189.81,197.7,219.33,236.5,206.19,220.72,238.42,242.89,233.18,227.38,251.81,258.41,244,236.48,209.76
