报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
总资产利润率(%),7.23,6.24,7.39,8.41,8.11,9.44
主营业务利润率(%),23.88,23.29,22.81,24.24,25.65,26.94
总资产净利润率(%),8.39,7.87,8.05,8.71,9,9.44
成本费用利润率(%),14.54,12.84,10.86,11.12,12.15,14.49
营业利润率(%),11.69,10.78,8.79,9.16,9.76,11.17
主营业务成本率(%),75.42,76.08,76.37,75.13,73.71,72.33
销售净利率(%),10.81,9.78,8.53,8.5,9.38,11.1
净资产收益率(%),14.6,10.54,13.01,14.19,14.82,16.04
股本报酬率(%),115.2,248.2,254.42,--,--,--
净资产报酬率(%),30.43,25.05,34.5,34.18,14.72,16.11
资产报酬率(%),15.27,15.15,19.84,20.39,8.11,9.44
销售毛利率(%),--,--,23.63,24.87,26.29,27.67
三项费用比重(%),10.39,11.26,12.86,13.55,14.92,15.57
非主营比重(%),7.73,7.35,10.29,7.87,11.04,13.43
主营利润比重(%),189.81,206.19,233.18,244,236.48,209.76
