报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31
应收账款周转率(次),1.62,1.05,0.44,2.34,1.72,1.11,0.56,2.65,1.88,1.3,0.62,3.12,--,1.49,--,3.52,3.35,3.11
应收账款周转天数(天),167.05,171.89,206.47,153.85,156.79,161.49,161.78,136.1,143.91,138.82,146.13,115.4,--,120.85,--,102.2,107.56,115.63
存货周转率(次),2.26,1.43,0.6,3.32,2.14,1.33,0.7,3.24,2.08,1.4,0.71,3.21,--,1.39,--,3.23,3.04,2.7
固定资产周转率(次),--,1.5,--,3.04,--,1.48,--,3.59,--,1.86,--,4.19,--,1.84,--,--,--,0.85
总资产周转率(次),0.54,0.32,0.12,0.78,0.55,0.34,0.17,0.8,0.54,0.35,0.2,0.94,--,0.43,--,1.02,--,0.85
存货周转天数(天),119.73,125.8,151.24,108.31,126.41,135.64,129.42,111.02,130.08,128.23,125.98,112.15,--,129.61,--,111.56,118.61,133.23
总资产周转天数(天),501.3,556.76,735.9,464.16,489.66,534.28,530.66,447.54,497.6,507.76,452.26,381.19,--,423.33,--,351.36,--,423.43
流动资产周转率(次),0.78,0.47,0.17,1.17,0.83,0.5,0.25,1.17,0.76,0.5,0.3,1.43,--,0.65,--,1.5,1.34,117.2
流动资产周转天数(天),347.54,380.71,514.58,307.88,326.24,357.78,360.43,308.64,354.61,361.23,299.7,251.8,--,275.95,--,240.66,268.8,3.07
经营现金净流量对销售收入比率(%),-0.05,-0.09,0.02,0,-0.07,-0.14,-0.1,0.03,0,-0.03,-0.04,0.06,0.02,-0.02,0,0.1,0.13,0.07
资产的经营现金流量回报率(%),-0.02,-0.02,0,0,-0.04,-0.05,-0.02,0.02,0,-0.01,-0.01,0.05,--,-0.01,--,0.1,0.12,0.06
经营现金净流量与净利润的比率(%),-0.39,-0.77,0.18,0.03,-0.72,-1.53,-1.11,0.28,0.04,-0.33,-0.47,0.69,0.27,-0.21,0.03,1.19,1.43,0.66
经营现金净流量对负债比率(%),-0.05,-0.07,0.01,0,-0.08,-0.11,-0.04,0.04,0,-0.03,-0.02,0.12,--,-0.02,--,0.25,0.26,0.15
现金流量比率(%),-5.72,-7.11,0.59,0.51,-8.56,-12.36,-4.41,4.81,0.53,-2.98,-1.9,12.6,--,-1.59,--,25.9,26.41,15.31,</tr>
