报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
应收账款周转率(次),2.34,2.65,3.12,3.52,3.35,3.11
应收账款周转天数(天),153.85,136.1,115.4,102.2,107.56,115.63
存货周转率(次),3.32,3.24,3.21,3.23,3.04,2.7
固定资产周转率(次),3.04,3.59,4.19,--,--,0.85
总资产周转率(次),0.78,0.8,0.94,1.02,--,0.85
存货周转天数(天),108.31,111.02,112.15,111.56,118.61,133.23
总资产周转天数(天),464.16,447.54,381.19,351.36,--,423.43
流动资产周转率(次),1.17,1.17,1.43,1.5,1.34,117.2
流动资产周转天数(天),307.88,308.64,251.8,240.66,268.8,3.07
经营现金净流量对销售收入比率(%),0,0.03,0.06,0.1,0.13,0.07
资产的经营现金流量回报率(%),0,0.02,0.05,0.1,0.12,0.06
经营现金净流量与净利润的比率(%),0.03,0.28,0.69,1.19,1.43,0.66
经营现金净流量对负债比率(%),0,0.04,0.12,0.25,0.26,0.15
现金流量比率(%),0.51,4.81,12.6,25.9,26.41,15.31,</tr>
