报告期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业收入(万元),402600,308773,191224,117515,74193,
营业成本(万元),216640,169963,105508,62268,36381,
营业利润(万元),31456,15305,14944,13629,9095,
利润总额(万元),32151,16188,16246,14380,9602,
所得税费用(万元),6600,2234,3233,2698,1998,
净利润(万元),25551,13953,13013,11682,7604,
基本每股收益,3.15,1.72,1.61,1.44,0.94,
货币资金(万元),84802,51098,41047,24135,12891,
应收账款(万元),250,271,390,418,2192,
存货(万元),29677,31221,24088,19047,11159,
流动资产合计(万元),121581,89917,72435,48522,29814,
固定资产净额(万元),72835,28547,23141,8044,5891,
资产总计(万元),214997,159455,114186,68964,39881,
流动负债合计(万元),131529,98296,66925,34229,16799,
非流动负债合计(万元),34,76,131,618,648,
负债合计(万元),131562,98372,67056,34847,17447,
所有者权益(或股东权益)合计(万元),83434,61083,47130,34117,22435,
期初现金及现金等价物余额(万元),50004,40965,24059,12866,9283,
经营活动产生的现金流量净额(万元),71787,45519,41645,22204,10498,
投资活动产生的现金流量净额(万元),-33969,-36029,-24739,-11012,-5864,
筹资活动产生的现金流量净额(万元),-3200,-450,0,0,-1050,
现金及现金等价物净增加额(万元),34617,9040,16906,11193,3583,
期末现金及现金等价物余额(万元),84622,50004,40965,24059,12866,
