报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),402600,308773,191224,117515,74193,
营业收入(万元),402600,308773,191224,117515,74193,
利息收入(万元),--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,
营业总成本(万元),371395,293734,176510,103886,65098,
营业成本(万元),216640,169963,105508,62268,36381,
利息支出(万元),--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,
研发费用(万元),--,--,--,--,--,
退保金(万元),--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,
分保费用(万元),--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,
营业税金及附加(万元),4331,2801,1755,1062,734,
销售费用(万元),112443,92497,48935,27254,18740,
管理费用(万元),37184,27947,20049,13053,9010,
财务费用(万元),295,257,141,107,67,
资产减值损失(万元),502,270,121,142,166,
公允价值变动收益(万元),--,--,--,--,--,
投资收益(万元),251,266,230,--,0,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,
期货损益(万元),--,--,--,--,--,
托管收益(万元),--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,
营业利润(万元),31456,15305,14944,13629,9095,
营业外收入(万元),1447,1193,1620,818,537,
营业外支出(万元),752,310,318,67,31,
非流动资产处置损失(万元),148,73,182,24,27,
利润总额(万元),32151,16188,16246,14380,9602,
所得税费用(万元),6600,2234,3233,2698,1998,
未确认投资损失(万元),--,--,--,--,--,
净利润(万元),25551,13953,13013,11682,7604,
归属于母公司所有者的净利润(万元),25551,13953,13013,11682,7604,
被合并方在合并前实现净利润(万元),--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,
基本每股收益,3.15,1.72,1.61,1.44,0.94,
稀释每股收益,3.15,1.72,1.61,1.44,0.94,
