报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),483908,379476,242014,152451,89988,
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,
向中央银行借款净增加额(万元,--,--,--,--,--,
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,
收到原保险合同保费取得的现金(万元),--,--,--,--,--,
收到再保险业务现金净额(万元),--,--,--,--,--,
保户储金及投资款净增加额(万元),--,--,--,--,--,
处置交易性金融资产净增加额(万元),--,--,--,--,--,
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,
拆入资金净增加额(万元),--,--,--,--,--,
回购业务资金净增加额(万元),--,--,--,--,--,
收到的税费返还(万元),950,791,623,563,409,
收到的其他与经营活动有关的现金(万元),4736,1817,2098,1353,618,
经营活动现金流入小计(万元),489595,382085,244734,154367,91015,
购买商品、接受劳务支付的现金(万元),201300,165558,102171,70867,43553,
客户贷款及垫款净增加额(万元),--,--,--,--,--,
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,
支付保单红利的现金(万元),--,--,--,--,--,
支付给职工以及为职工支付的现金(万元),109946,87081,46277,28770,17740,
支付的各项税费(万元),39910,29032,18107,11959,7715,
支付的其他与经营活动有关的现金(万元),66652,54894,36535,20567,11509,
经营活动现金流出小计(万元),417808,336566,203089,132163,80517,
经营活动产生的现金流量净额(万元),71787,45519,41645,22204,10498,
收回投资所收到的现金(万元),--,--,--,--,--,
取得投资收益所收到的现金(万元),251,266,230,--,0,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),28,132,175,4,14,
处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,
收到的其他与投资活动有关的现金(万元),66007,59160,28740,--,--,
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,
投资活动现金流入小计(万元),66285,59558,29145,4,14,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),35155,35452,25145,11016,5878,
投资所支付的现金(万元),--,--,--,--,--,
质押贷款净增加额(万元),--,--,--,--,--,
取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,
支付的其他与投资活动有关的现金(万元),65100,60135,28740,--,--,
增加质押和定期存款所支付的现金(万元),--,--,--,--,--,
投资活动现金流出小计(万元),100255,95587,53885,11016,5878,
投资活动产生的现金流量净额(万元),-33969,-36029,-24739,-11012,-5864,
吸收投资收到的现金(万元),--,--,--,--,--,
其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,
取得借款收到的现金(万元),--,--,--,--,--,
发行债券收到的现金(万元),--,--,--,--,--,
收到其他与筹资活动有关的现金(万元),--,--,--,--,--,
筹资活动现金流入小计(万元),0,0,0,0,0,
偿还债务支付的现金(万元),--,--,--,--,--,
分配股利、利润或偿付利息所支付的现金(万元),3200,450,--,--,1050,
其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,
支付其他与筹资活动有关的现金(万元),--,--,--,--,--,
筹资活动现金流出小计(万元),3200,450,0,0,1050,
筹资活动产生的现金流量净额(万元),-3200,-450,0,0,-1050,
汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,
现金及现金等价物净增加额(万元),34617,9040,16906,11193,3583,
加:期初现金及现金等价物余额(万元),50004,40965,24059,12866,9283,
期末现金及现金等价物余额(万元),84622,50004,40965,24059,12866,
净利润(万元),25551,13953,13013,11682,7604,
少数股东损益(万元),--,--,--,--,--,
未确认的投资损失(万元),--,--,--,--,--,
资产减值准备(万元),502,270,121,142,166,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),4305,3281,1875,1033,765,
无形资产摊销(万元),205,204,87,56,20,
长期待摊费用摊销(万元),4570,4139,2222,1139,425,
待摊费用的减少(万元),--,--,--,--,--,
预提费用的增加(万元),--,--,--,--,--,
处置固定资产、无形资产和其他长期资产的损失(万元),144,69,173,21,10,
固定资产报废损失(万元),--,--,6,--,13,
公允价值变动损失(万元),--,--,--,--,--,
递延收益增加(减：减少)(万元),--,--,--,--,--,
预计负债(万元),--,--,--,--,--,
财务费用(万元),--,--,--,--,--,
投资损失(万元),-251,-266,-230,--,-0,
递延所得税资产减少(万元),525,-1793,-560,-77,-17,
递延所得税负债增加(万元),--,--,--,--,--,
存货的减少(万元),1544,-7133,-5040,-7889,-6817,
经营性应收项目的减少(万元),-7,-567,-2087,232,-2052,
经营性应付项目的增加(万元),34699,33361,32066,15866,10382,
已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,
已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,
其他(万元),--,--,--,--,--,
经营活动产生现金流量净额(万元),71787,45519,41645,22204,10498,
债务转为资本(万元),--,--,--,--,--,
一年内到期的可转换公司债券(万元),--,--,--,--,--,
融资租入固定资产(万元),--,--,--,--,--,
现金的期末余额(万元),84622,50004,40965,24059,12866,
现金的期初余额(万元),50004,40965,24059,12866,9283,
现金等价物的期末余额(万元),--,--,--,--,--,
现金等价物的期初余额(万元),--,--,--,--,--,
现金及现金等价物的净增加额(万元),34617,9040,16906,11193,3583,
