报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),84802,51098,41047,24135,12891,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),--,--,--,--,--,
应收账款(万元),250,271,390,418,2192,
预付款项(万元),3567,3962,4076,3671,2757,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,--,--,--,--,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),2838,3357,2529,1235,815,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),29677,31221,24088,19047,11159,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),447,8,306,16,--,
流动资产合计(万元),121581,89917,72435,48522,29814,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,
固定资产原值(万元),84203,35781,--,--,--,
累计折旧(万元),11368,7234,--,--,--,
固定资产净值(万元),72835,28547,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,
固定资产(万元),72835,28547,23141,8044,5891,
在建工程(万元),2059,18085,104,2648,270,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),7980,8171,8356,1508,1496,
开发支出(万元),--,--,--,--,--,
商誉(万元),--,--,--,--,--,
长期待摊费用(万元),7335,10354,8836,6965,2189,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),1961,2486,693,133,55,
其他非流动资产(万元),1245,1896,622,1144,166,
非流动资产合计(万元),93415,69539,41751,20442,10068,
资产总计(万元),214997,159455,114186,68964,39881,
短期借款(万元),--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),--,--,--,--,--,
应付账款(万元),38331,25362,16789,5881,3656,
预收账款(万元),76951,63001,42488,23741,9754,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),5,15,4,1,2,
应交税费(万元),8016,5568,4247,2418,2115,
应付利息(万元),--,--,--,--,--,
应付股利(万元),--,--,450,450,450,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),8216,4340,2937,1728,812,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,
其他流动负债(万元),11,11,11,11,11,
流动负债合计(万元),131529,98296,66925,34229,16799,
长期借款(万元),--,--,--,--,--,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,
长期递延收益(万元),34,76,131,618,648,
递延所得税负债(万元),--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,
非流动负债合计(万元),34,76,131,618,648,
负债合计(万元),131562,98372,67056,34847,17447,
实收资本(或股本)(万元),8100,8100,8100,8100,8100,
资本公积(万元),3543,3543,3543,3543,3543,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),3010,2165,1386,795,399,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),68781,47275,34101,21679,10393,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),83434,61083,47130,34117,22435,
少数股东权益(万元),--,--,--,--,--,
所有者权益(或股东权益)合计(万元),83434,61083,47130,34117,22435,
负债和所有者权益(或股东权益)总计(万元),214997,159455,114186,68964,39881,
