报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
流动比率(%),1.84,1.95,2.04,0.92,--,0.79,--,0.91,1.08,1.42,1.77,
速动比率(%),1.64,1.76,1.82,0.7,--,0.54,--,0.6,0.72,0.86,1.11,
现金比率(%),68.84,59.96,155.19,64.47,--,47.41,--,51.98,61.33,70.51,76.74,
利息支付倍数(%),-10331.65,-4438.29,31888.82,10994.92,8817.61,3757.81,-17376.53,6395.94,11654.37,13571.38,14502.19,
资产负债率(%),40.81,37.47,35.23,61.19,--,61.97,--,61.69,58.73,50.53,43.75,
长期债务与营运资金比率(%),--,--,--,--,--,--,--,--,--,--,--,
股东权益比率(%),59.19,62.53,64.77,38.81,--,38.03,--,38.31,41.27,49.47,56.25,
长期负债比率(%),--,--,--,--,--,--,--,--,--,--,--,
股东权益与固定资产比率(%),--,310.06,--,114.55,--,--,--,213.98,--,--,--,
负债与所有者权益比率(%),68.95,59.93,54.39,157.68,--,162.95,--,161.05,142.28,102.14,77.77,
长期资产与长期资金比率(%),--,--,--,--,--,--,--,--,--,--,--,
资本化比率(%),--,--,--,--,--,--,--,--,--,--,--,
固定资产净值率(%),--,83.53,--,86.5,--,--,--,79.78,--,--,--,
资本固定化比率(%),41.98,42.98,43.4,111.96,--,134.02,--,113.84,88.59,59.92,44.87,
产权比率(%),68.86,59.92,54.37,157.64,--,162.83,--,160.92,142,100.33,74.88,
清算价值比率(%),--,--,--,--,--,--,--,--,--,--,--,
固定资产比重(%),--,20.17,--,33.88,--,--,--,17.9,--,--,--,
